Rank,name,Sum,333,222,444,555,333oh,pyram,skewb
1.0,Ahmad Fayaz Twaibie,13.0,1.0,1.0,2.0,2.0,1.0,4.0,2.0
2.0,Aftaab Askary,20.0,2.0,5.0,1.0,1.0,2.0,6.0,3.0
3.0,Javad Mahbubi,22.0,5.0,3.0,3.0,2.0,5.0,1.0,3.0
4.0,Sanzar Haiwad,24.0,4.0,2.0,6.0,2.0,6.0,3.0,1.0
5.0,Alireza Gholami (علیرضا غلامی),28.0,6.0,7.0,5.0,2.0,3.0,2.0,3.0
6.0,Hadi Ramezani (هادی رمضانی),30.0,3.0,4.0,6.0,2.0,6.0,6.0,3.0
7.0,Mustafa Hussaini,32.0,7.0,6.0,4.0,2.0,4.0,6.0,3.0
8.0,Ilia Abdullahi,39.0,8.0,9.0,6.0,2.0,6.0,5.0,3.0
9.0,Mohammad Hanif Hoseini (محمد حنیف حسینی),40.0,9.0,8.0,6.0,2.0,6.0,6.0,3.0
10.0,Ali Hosseini (علی حسینی),44.0,10.0,11.0,6.0,2.0,6.0,6.0,3.0
10.0,Levi Roland Harshman,44.0,11.0,10.0,6.0,2.0,6.0,6.0,3.0
12.0,Yaser Habibi,47.0,12.0,12.0,6.0,2.0,6.0,6.0,3.0
