Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Tarek Bazizi,41.0,4.0,6.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0
2.0,Slimane Siroukane,59.0,15.0,12.0,5.0,4.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,5.0,2.0,3.0
3.0,Fadi Aissaoui,67.0,9.0,15.0,7.0,4.0,2.0,2.0,2.0,2.0,7.0,3.0,4.0,3.0,4.0,3.0
4.0,Abdeldjalil Merzougui,69.0,7.0,4.0,16.0,4.0,2.0,2.0,2.0,2.0,12.0,3.0,6.0,2.0,4.0,3.0
5.0,Aymen Aissaoui,72.0,3.0,5.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,34.0,4.0,3.0
6.0,Belkacem Mohand,78.0,17.0,6.0,9.0,2.0,2.0,2.0,2.0,2.0,21.0,1.0,6.0,6.0,1.0,1.0
7.0,Mouhamed Islem Boukri,85.0,12.0,3.0,16.0,4.0,2.0,2.0,2.0,2.0,25.0,3.0,6.0,1.0,4.0,3.0
8.0,Yassine Bettahar,91.0,1.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,6.0,59.0,4.0,3.0
9.0,Mohamed Islam Lakhdari,95.0,13.0,9.0,16.0,4.0,2.0,2.0,2.0,2.0,17.0,3.0,6.0,12.0,4.0,3.0
10.0,Mesmoudi Abderrahmane,101.0,18.0,11.0,16.0,4.0,2.0,2.0,2.0,2.0,18.0,3.0,6.0,10.0,4.0,3.0
11.0,Hayat Farah Benantar,114.0,8.0,8.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,21.0,4.0,3.0
12.0,Dacine Grazza,119.0,36.0,19.0,16.0,4.0,2.0,2.0,2.0,2.0,11.0,3.0,6.0,9.0,4.0,3.0
13.0,Ahmed Yacine Bouferroum,120.0,19.0,12.0,13.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,15.0,4.0,3.0
14.0,Khaled Bazizi,123.0,22.0,33.0,16.0,4.0,2.0,2.0,2.0,2.0,13.0,3.0,6.0,11.0,4.0,3.0
15.0,Hichem Abdallah Abbas,140.0,30.0,31.0,10.0,4.0,2.0,2.0,2.0,2.0,14.0,3.0,6.0,27.0,4.0,3.0
16.0,Oubeida Baali Cherif,149.0,24.0,29.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,19.0,4.0,3.0
17.0,Nouha Boussahi,154.0,26.0,35.0,16.0,4.0,2.0,2.0,2.0,2.0,20.0,3.0,6.0,29.0,4.0,3.0
17.0,Youcef Kouadria,154.0,5.0,17.0,8.0,4.0,2.0,2.0,2.0,2.0,9.0,3.0,6.0,87.0,4.0,3.0
17.0,Radwan Boucetta,154.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,87.0,4.0,3.0
20.0,Mohamed Mustapha Hadji,160.0,37.0,15.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,31.0,4.0,3.0
20.0,El Aghbari Ali,160.0,11.0,10.0,16.0,4.0,2.0,2.0,2.0,2.0,8.0,3.0,6.0,87.0,4.0,3.0
22.0,Khalil Djoudi,161.0,50.0,36.0,11.0,4.0,2.0,2.0,2.0,2.0,23.0,3.0,6.0,13.0,4.0,3.0
23.0,Yahia Siroukane,165.0,27.0,23.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,38.0,4.0,3.0
24.0,Abderrahim Sakeur,168.0,45.0,30.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,16.0,4.0,3.0
24.0,Amine Bouteraa,168.0,47.0,18.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,26.0,4.0,3.0
26.0,Abderrahmane Hamoudi,182.0,34.0,22.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,49.0,4.0,3.0
27.0,Ibrahim Elkhalil Belkacemi,184.0,6.0,14.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,87.0,4.0,3.0
28.0,Ben Sekhiri Wail Ibrahim,187.0,49.0,28.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,33.0,4.0,3.0
29.0,Salah Eddine Azzouz,190.0,43.0,24.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,46.0,4.0,3.0
30.0,Khemici Ahmed Yacine,191.0,44.0,27.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,43.0,4.0,3.0
31.0,Ismail Hachemi,200.0,62.0,37.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,24.0,4.0,3.0
32.0,Zoubir Lebbihiat,205.0,29.0,64.0,16.0,4.0,2.0,2.0,2.0,2.0,29.0,3.0,5.0,40.0,4.0,3.0
33.0,Mouaadh Ferdji,210.0,38.0,25.0,16.0,4.0,2.0,2.0,2.0,2.0,16.0,3.0,6.0,87.0,4.0,3.0
34.0,Otman Manel,216.0,66.0,59.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,14.0,4.0,3.0
35.0,Mohamed Mezghiche,218.0,33.0,21.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,87.0,4.0,3.0
36.0,Meddour Imene,219.0,68.0,44.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,30.0,4.0,3.0
37.0,Alaa Benammar,223.0,73.0,53.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,20.0,4.0,3.0
38.0,Abderrahmane Khaili,230.0,40.0,26.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,87.0,4.0,3.0
38.0,Hadil Wissal Meradi,230.0,52.0,46.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,55.0,4.0,3.0
40.0,Mohamed Khalil Moussaoui,231.0,35.0,32.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,87.0,4.0,3.0
41.0,Mezouini Zineddine,234.0,85.0,55.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,17.0,4.0,3.0
42.0,Seif Houache,236.0,31.0,48.0,16.0,4.0,2.0,2.0,2.0,2.0,26.0,3.0,6.0,87.0,4.0,3.0
42.0,Anfel Elgherissi,236.0,61.0,47.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,51.0,4.0,3.0
44.0,Haouache Serine,239.0,55.0,60.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,47.0,4.0,3.0
45.0,Abderrahman Hamza,245.0,89.0,63.0,14.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,18.0,4.0,3.0
46.0,Amine Boukadoum,246.0,41.0,41.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,87.0,4.0,3.0
47.0,Yanis Khorsi,249.0,58.0,62.0,16.0,3.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,54.0,3.0,3.0
48.0,Berrebie Zoubir,250.0,48.0,38.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,87.0,4.0,3.0
49.0,Omar Aghiles Ghrnaout,257.0,94.0,54.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,32.0,4.0,3.0
50.0,Mohamed Abderrahmen Maouch,258.0,65.0,58.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,58.0,4.0,3.0
51.0,Ilyassine Boudelal,260.0,56.0,40.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,87.0,4.0,3.0
52.0,Achraf Boussahi,265.0,25.0,91.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,72.0,4.0,3.0
53.0,Abdelmokit Abed,267.0,46.0,57.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,87.0,4.0,3.0
53.0,Nassim Belaiche,267.0,110.0,55.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,25.0,4.0,3.0
55.0,Abdesalam Derdour,268.0,23.0,95.0,16.0,4.0,2.0,2.0,2.0,2.0,19.0,3.0,6.0,87.0,4.0,3.0
56.0,Younes Haffedh,273.0,84.0,73.0,16.0,4.0,2.0,2.0,2.0,2.0,31.0,3.0,6.0,41.0,4.0,3.0
56.0,Ishak Hechaichi,273.0,118.0,39.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,39.0,4.0,3.0
58.0,Mohamed Mezghiche,274.0,69.0,51.0,16.0,4.0,2.0,2.0,2.0,2.0,33.0,3.0,6.0,77.0,4.0,3.0
59.0,Haithem Chirane,277.0,14.0,137.0,6.0,4.0,2.0,2.0,2.0,2.0,5.0,3.0,6.0,87.0,4.0,3.0
