Rank,name,Sum,333,222,444,555,333oh,minx,pyram,skewb,sq1
1.0,Pau Plana Casas,11.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,Albert Mandicó Sampol,17.0,0.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0
3.0,Francesc Martos Carrión,30.0,4.0,7.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0
4.0,Arnau Ferrer Cabanes,32.0,5.0,4.0,4.0,2.0,2.0,2.0,4.0,7.0,2.0
5.0,Kevin Ramírez Macías,36.0,8.0,8.0,4.0,2.0,2.0,2.0,5.0,3.0,2.0
6.0,Albert Cinca Bons,38.0,1.0,3.0,2.0,2.0,2.0,2.0,17.0,7.0,2.0
6.0,Aleix Bossa Gonzàlez,38.0,7.0,6.0,4.0,2.0,2.0,2.0,7.0,6.0,2.0
8.0,Raúl Martínez Velázquez,42.0,3.0,10.0,4.0,2.0,2.0,2.0,10.0,7.0,2.0
9.0,Nicolás D'Annunzio Muñoz,44.0,13.0,9.0,4.0,2.0,2.0,2.0,6.0,4.0,2.0
10.0,Martí Casals Anglada,47.0,6.0,5.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
11.0,José María Ribera Veganzones,52.0,9.0,11.0,4.0,2.0,2.0,2.0,13.0,7.0,2.0
12.0,Adrià Martínez Rodríguez,55.0,12.0,13.0,4.0,2.0,2.0,2.0,11.0,7.0,2.0
13.0,David Francome Padilla,63.0,16.0,19.0,4.0,2.0,2.0,2.0,9.0,7.0,2.0
13.0,Marc Capdevila Ginestet,63.0,21.0,15.0,4.0,2.0,2.0,2.0,8.0,7.0,2.0
15.0,Jordi Baena,65.0,10.0,19.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
15.0,Javier Vázquez Bernal,65.0,17.0,12.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
17.0,Romà Balleret,66.0,11.0,19.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
18.0,Jan Forcada Quevedo,67.0,20.0,14.0,4.0,2.0,2.0,2.0,14.0,7.0,2.0
19.0,David Margolin,69.0,14.0,19.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
20.0,Guilherme Samuel Sampaio Teixeira,70.0,15.0,19.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
21.0,Anna Plana Casas,73.0,23.0,19.0,4.0,2.0,2.0,2.0,12.0,7.0,2.0
21.0,Felix Giménez Semente,73.0,18.0,19.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
23.0,Adrià Isal Garcia,74.0,24.0,16.0,4.0,2.0,2.0,2.0,15.0,7.0,2.0
23.0,Biel Cornella Marfil,74.0,19.0,19.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
25.0,Pol Sebastià Lluscà,77.0,22.0,19.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
26.0,Gabriel de Carvalho Mouta,79.0,26.0,17.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
27.0,Martí Sansa,80.0,25.0,19.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
28.0,Guillem Amat,82.0,27.0,19.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
29.0,Ricard de Haro Flores,83.0,28.0,19.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
30.0,Edgar Ferrer Teixidó,84.0,29.0,19.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
31.0,Serni Ribera Veganzones,85.0,31.0,18.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
31.0,Miguel Ángel Pereira,85.0,30.0,19.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
33.0,Àneu Escribano Lusilla,87.0,32.0,19.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
33.0,Marc Alemany Guiu,87.0,33.0,19.0,4.0,2.0,2.0,2.0,16.0,7.0,2.0
35.0,Sergi Sansa,89.0,34.0,19.0,4.0,2.0,2.0,2.0,17.0,7.0,2.0
