Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Theo Goluboff,42.0,2.0,1.0,1.0,2.0,1.0,1.0,5.0,6.0,1.0,2.0,3.0,2.0,4.0,4.0,5.0,2.0
2.0,Gael Augusto Lapeyre,50.0,3.0,2.0,4.0,3.0,3.0,3.0,7.0,3.0,3.0,1.0,5.0,1.0,3.0,2.0,5.0,2.0
3.0,Bautista Bonazzola,118.0,1.0,4.0,2.0,1.0,2.0,2.0,22.0,8.0,2.0,20.0,13.0,20.0,6.0,8.0,5.0,2.0
4.0,Manuel Gutman,124.0,5.0,18.0,3.0,4.0,5.0,6.0,1.0,11.0,10.0,12.0,4.0,19.0,17.0,7.0,1.0,1.0
5.0,Federico da Fonseca,133.0,14.0,9.0,9.0,5.0,4.0,4.0,22.0,12.0,14.0,16.0,6.0,5.0,1.0,5.0,5.0,2.0
6.0,Guido Dipietro,156.0,9.0,10.0,6.0,6.0,8.0,13.0,2.0,1.0,15.0,14.0,8.0,22.0,21.0,17.0,2.0,2.0
7.0,Francisco Hamlin,168.0,7.0,3.0,10.0,9.0,9.0,10.0,20.0,5.0,4.0,21.0,15.0,16.0,26.0,6.0,5.0,2.0
8.0,Matías Ponte,204.0,10.0,7.0,7.0,8.0,11.0,11.0,22.0,7.0,18.0,18.0,11.0,21.0,27.0,19.0,5.0,2.0
9.0,Marcos Masini,220.0,11.0,6.0,12.0,18.0,29.0,24.0,19.0,29.0,7.0,23.0,14.0,7.0,5.0,9.0,5.0,2.0
10.0,Damián Campos,221.0,15.0,26.0,14.0,14.0,7.0,8.0,22.0,22.0,6.0,31.0,2.0,17.0,14.0,16.0,5.0,2.0
11.0,Genaro Sahib Leguizamon,229.0,17.0,13.0,15.0,13.0,6.0,5.0,22.0,29.0,13.0,38.0,17.0,10.0,9.0,15.0,5.0,2.0
12.0,Agustín Bernasconi,300.0,12.0,17.0,13.0,15.0,12.0,12.0,22.0,20.0,9.0,56.0,22.0,45.0,28.0,10.0,5.0,2.0
13.0,Felipe Maierowicz,311.0,13.0,14.0,22.0,51.0,41.0,40.0,22.0,29.0,20.0,6.0,7.0,23.0,15.0,1.0,5.0,2.0
14.0,Ramiro Mendez,322.0,4.0,5.0,5.0,10.0,41.0,40.0,22.0,29.0,5.0,69.0,9.0,8.0,20.0,48.0,5.0,2.0
15.0,Luka Arce González,335.0,32.0,20.0,36.0,26.0,16.0,20.0,22.0,24.0,28.0,10.0,18.0,24.0,11.0,41.0,5.0,2.0
16.0,Francisco Cabral de Jesus,359.0,28.0,21.0,18.0,17.0,10.0,7.0,22.0,26.0,17.0,58.0,29.0,36.0,23.0,40.0,5.0,2.0
17.0,Carlos Villanueva,382.0,50.0,34.0,23.0,34.0,18.0,16.0,10.0,17.0,42.0,4.0,10.0,43.0,39.0,35.0,5.0,2.0
18.0,Nicolas Campanario,410.0,38.0,30.0,41.0,23.0,22.0,22.0,3.0,16.0,22.0,27.0,21.0,34.0,42.0,62.0,5.0,2.0
19.0,Facundo Finola,411.0,24.0,12.0,17.0,31.0,24.0,26.0,22.0,29.0,21.0,22.0,49.0,35.0,50.0,42.0,5.0,2.0
20.0,Andrés Claros,421.0,29.0,15.0,24.0,27.0,25.0,31.0,13.0,15.0,33.0,69.0,25.0,40.0,34.0,34.0,5.0,2.0
21.0,Axel Bazán,436.0,19.0,29.0,34.0,69.0,41.0,40.0,22.0,29.0,45.0,3.0,56.0,18.0,2.0,22.0,5.0,2.0
22.0,Cesar Leandro Alvarado,444.0,30.0,38.0,8.0,16.0,41.0,40.0,22.0,29.0,24.0,69.0,28.0,9.0,32.0,51.0,5.0,2.0
23.0,Fabrizio Rocco,453.0,42.0,57.0,25.0,19.0,14.0,15.0,22.0,29.0,35.0,69.0,19.0,28.0,35.0,37.0,5.0,2.0
24.0,Matias Ripoll,458.0,6.0,24.0,19.0,21.0,41.0,40.0,22.0,29.0,11.0,40.0,83.0,55.0,22.0,38.0,5.0,2.0
25.0,Romina Peretti,469.0,40.0,63.0,31.0,22.0,17.0,17.0,22.0,2.0,38.0,41.0,20.0,32.0,61.0,56.0,5.0,2.0
26.0,Federico Ojeda,501.0,20.0,8.0,42.0,84.0,41.0,40.0,22.0,10.0,12.0,55.0,42.0,6.0,85.0,27.0,5.0,2.0
27.0,Aaron Scarpati Curin,506.0,31.0,33.0,21.0,28.0,21.0,40.0,22.0,29.0,55.0,36.0,31.0,26.0,45.0,81.0,5.0,2.0
28.0,Ariel Burak,520.0,34.0,22.0,53.0,48.0,33.0,29.0,22.0,13.0,26.0,69.0,94.0,29.0,8.0,33.0,5.0,2.0
29.0,Francisco Thalasselis,555.0,18.0,58.0,11.0,7.0,15.0,14.0,22.0,29.0,36.0,69.0,66.0,86.0,65.0,52.0,5.0,2.0
30.0,Juan Ignacio Caneppa,560.0,79.0,36.0,39.0,30.0,27.0,40.0,22.0,20.0,39.0,69.0,55.0,12.0,67.0,20.0,3.0,2.0
31.0,Lucas Fauci Bassarsky,580.0,68.0,41.0,51.0,45.0,41.0,40.0,22.0,17.0,46.0,46.0,47.0,61.0,25.0,23.0,5.0,2.0
32.0,Leonardo Ezequiel Cruz,598.0,27.0,27.0,87.0,60.0,41.0,40.0,4.0,14.0,31.0,7.0,33.0,150.0,40.0,30.0,5.0,2.0
33.0,Fernando Lomazzi,607.0,83.0,32.0,85.0,122.0,41.0,40.0,8.0,29.0,32.0,34.0,46.0,32.0,13.0,3.0,5.0,2.0
34.0,Pablo Andres Amavet,634.0,35.0,45.0,66.0,105.0,41.0,40.0,22.0,29.0,49.0,69.0,59.0,37.0,18.0,12.0,5.0,2.0
35.0,Juan Cruz Oriti Tizio,649.0,66.0,86.0,49.0,132.0,41.0,40.0,22.0,17.0,29.0,69.0,37.0,27.0,16.0,11.0,5.0,2.0
36.0,Carlos Pedro Casado de Achával,652.0,49.0,80.0,67.0,24.0,19.0,19.0,11.0,9.0,79.0,33.0,57.0,88.0,53.0,58.0,4.0,2.0
37.0,Carolina Visentin,657.0,58.0,99.0,76.0,47.0,41.0,40.0,22.0,25.0,50.0,5.0,12.0,57.0,64.0,54.0,5.0,2.0
38.0,Alexander Claros,719.0,44.0,27.0,68.0,72.0,41.0,40.0,9.0,29.0,22.0,69.0,64.0,138.0,36.0,53.0,5.0,2.0
39.0,Lautaro Germaniez,739.0,15.0,36.0,33.0,132.0,41.0,40.0,22.0,29.0,27.0,69.0,108.0,41.0,58.0,81.0,5.0,2.0
40.0,Franco Cano,751.0,25.0,34.0,40.0,38.0,41.0,40.0,16.0,29.0,60.0,69.0,108.0,95.0,89.0,60.0,5.0,2.0
41.0,Valentin Penna,792.0,90.0,45.0,48.0,132.0,41.0,40.0,22.0,29.0,54.0,69.0,45.0,47.0,80.0,43.0,5.0,2.0
42.0,Agustina Ranalle,806.0,61.0,171.0,37.0,12.0,13.0,9.0,22.0,29.0,146.0,69.0,54.0,111.0,29.0,36.0,5.0,2.0
