Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Grigor Shahverdyan,27.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,6.0
2.0,Eduard Hakobyan,69.0,5.0,4.0,14.0,10.0,4.0,2.0,2.0,7.0,5.0,3.0,2.0,4.0,7.0
3.0,Mayis Jraghatspanyan,70.0,3.0,5.0,9.0,10.0,4.0,2.0,2.0,5.0,6.0,5.0,6.0,6.0,7.0
4.0,Alberto Danielyan,83.0,7.0,12.0,11.0,10.0,4.0,2.0,2.0,3.0,3.0,9.0,4.0,9.0,7.0
5.0,Aramayis Adloyan (Արամայիս Ադլոյան),84.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,4.0,7.0,11.0,30.0,10.0,7.0
6.0,Boris Meliksetian,98.0,21.0,9.0,7.0,5.0,4.0,2.0,2.0,12.0,1.0,2.0,23.0,7.0,3.0
7.0,Raffi Mirzoyan (Րաֆֆի Միրզոյան),103.0,11.0,6.0,3.0,4.0,3.0,1.0,2.0,15.0,7.0,11.0,14.0,19.0,7.0
8.0,Hayk Mergeryan,108.0,31.0,7.0,18.0,10.0,4.0,2.0,2.0,13.0,7.0,4.0,1.0,2.0,7.0
9.0,Jaden Smith,113.0,8.0,10.0,25.0,10.0,2.0,2.0,2.0,2.0,7.0,11.0,22.0,5.0,7.0
10.0,Davit Taranyan,117.0,4.0,24.0,10.0,10.0,4.0,2.0,2.0,8.0,7.0,11.0,9.0,19.0,7.0
10.0,Eduard Chichyan,117.0,13.0,17.0,5.0,10.0,4.0,2.0,2.0,10.0,7.0,7.0,20.0,19.0,1.0
12.0,Vahe Oustakarayan,120.0,24.0,2.0,16.0,10.0,4.0,2.0,2.0,19.0,4.0,11.0,11.0,13.0,2.0
13.0,Davit Petrosyan (Давит Петросян),126.0,27.0,11.0,12.0,10.0,4.0,2.0,2.0,17.0,7.0,11.0,8.0,11.0,4.0
14.0,Gevorg Poghosyan,137.0,9.0,23.0,25.0,10.0,4.0,2.0,2.0,11.0,7.0,11.0,7.0,19.0,7.0
15.0,Gagik Gevorgyan,156.0,30.0,20.0,17.0,7.0,4.0,2.0,2.0,22.0,7.0,11.0,24.0,3.0,7.0
16.0,Gevorg Melkumyan,158.0,32.0,8.0,25.0,10.0,4.0,2.0,2.0,18.0,7.0,11.0,13.0,19.0,7.0
17.0,Hayk Hovhannisyan,164.0,16.0,19.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,10.0,19.0,7.0
18.0,Levon Pamukyan (Լեւոն Պամուկյան),165.0,20.0,13.0,8.0,6.0,1.0,2.0,2.0,14.0,7.0,11.0,55.0,19.0,7.0
18.0,Shant Tonoyan,165.0,15.0,25.0,4.0,10.0,4.0,2.0,2.0,6.0,7.0,11.0,55.0,19.0,5.0
20.0,Tigran Harutyunyan,173.0,18.0,18.0,13.0,8.0,4.0,2.0,2.0,32.0,7.0,11.0,32.0,19.0,7.0
21.0,Michael Mkrtchyan,177.0,12.0,60.0,6.0,3.0,4.0,2.0,2.0,32.0,7.0,11.0,12.0,19.0,7.0
22.0,Andranik Fitanyan,183.0,33.0,15.0,25.0,10.0,4.0,2.0,2.0,32.0,7.0,11.0,27.0,8.0,7.0
23.0,Hayk Aghayan,187.0,10.0,31.0,25.0,10.0,4.0,2.0,2.0,23.0,7.0,11.0,36.0,19.0,7.0
23.0,Narek Sargsyan,187.0,19.0,22.0,25.0,10.0,4.0,2.0,2.0,9.0,7.0,6.0,55.0,19.0,7.0
