Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Riley Dexter,164.0,3.0,9.0,3.0,4.0,12.0,17.0,23.0,6.0,3.0,19.0,11.0,2.0,14.0,21.0,13.0,4.0
2.0,Jayden McNeill,171.0,7.0,3.0,8.0,6.0,7.0,10.0,10.0,1.0,6.0,26.0,21.0,33.0,10.0,6.0,13.0,4.0
3.0,Jode Brewster,199.0,2.0,6.0,4.0,5.0,9.0,14.0,24.0,25.0,10.0,20.0,12.0,20.0,30.0,4.0,10.0,4.0
4.0,Bryan Eng,237.0,10.0,3.0,2.0,3.0,5.0,5.0,72.0,33.0,4.0,23.0,16.0,16.0,12.0,16.0,13.0,4.0
5.0,Joshua Hounslow,261.0,18.0,16.0,14.0,13.0,16.0,22.0,13.0,7.0,11.0,9.0,17.0,9.0,39.0,40.0,13.0,4.0
6.0,Feliks Zemdegs,272.0,1.0,2.0,1.0,1.0,1.0,1.0,14.0,9.0,1.0,80.0,1.0,55.0,66.0,22.0,13.0,4.0
7.0,Tommy Kiprillis,289.0,12.0,15.0,10.0,20.0,21.0,18.0,31.0,3.0,9.0,47.0,25.0,45.0,8.0,8.0,13.0,4.0
8.0,Jonathan Charlesworth,311.0,25.0,11.0,12.0,12.0,10.0,15.0,72.0,11.0,26.0,30.0,13.0,46.0,2.0,9.0,13.0,4.0
9.0,David Epstein,319.0,4.0,7.0,7.0,8.0,35.0,49.0,72.0,4.0,28.0,25.0,29.0,14.0,19.0,1.0,13.0,4.0
10.0,Phoenix Patterson,358.0,5.0,1.0,24.0,32.0,22.0,19.0,72.0,104.0,7.0,10.0,31.0,5.0,4.0,5.0,13.0,4.0
11.0,Andy Gong,360.0,13.0,7.0,9.0,14.0,4.0,6.0,72.0,13.0,18.0,88.0,23.0,35.0,30.0,11.0,13.0,4.0
12.0,Liam Highducheck,483.0,29.0,33.0,5.0,9.0,8.0,12.0,29.0,22.0,41.0,42.0,46.0,75.0,69.0,46.0,13.0,4.0
13.0,Myles Jarman,513.0,60.0,25.0,21.0,30.0,14.0,13.0,26.0,29.0,54.0,22.0,36.0,56.0,45.0,65.0,13.0,4.0
