Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,Thomas Strasser,89.0,1.0,5.0,1.0,1.0,2.0,2.0,1.0,4.0,7.0,16.0,4.0,19.0,17.0,8.0,1.0
2.0,Jakob Fiechter,108.0,9.0,9.0,4.0,11.0,7.0,12.0,13.0,2.0,3.0,7.0,11.0,12.0,1.0,4.0,3.0
3.0,Florian Truckenthanner,115.0,2.0,4.0,2.0,4.0,12.0,9.0,13.0,15.0,4.0,18.0,2.0,7.0,5.0,15.0,3.0
4.0,Viktor Kalmar,125.0,4.0,6.0,6.0,7.0,6.0,11.0,13.0,4.0,5.0,22.0,10.0,8.0,7.0,13.0,3.0
5.0,Thomas Heiden,140.0,6.0,2.0,11.0,13.0,16.0,20.0,10.0,15.0,17.0,5.0,14.0,4.0,2.0,2.0,3.0
6.0,Simon Praschl,149.0,7.0,3.0,10.0,15.0,20.0,14.0,6.0,15.0,12.0,10.0,8.0,9.0,6.0,11.0,3.0
7.0,Alexander Helbok,173.0,20.0,27.0,9.0,8.0,9.0,17.0,13.0,6.0,14.0,9.0,13.0,10.0,12.0,3.0,3.0
8.0,Daniel Grabski,180.0,17.0,19.0,8.0,3.0,3.0,5.0,13.0,7.0,16.0,19.0,1.0,1.0,46.0,19.0,3.0
9.0,Jakob Kogler,185.0,11.0,17.0,7.0,10.0,15.0,10.0,2.0,3.0,13.0,6.0,26.0,13.0,20.0,29.0,3.0
10.0,Maxim Pürstinger,190.0,8.0,8.0,25.0,23.0,18.0,30.0,5.0,7.0,8.0,20.0,12.0,15.0,3.0,5.0,3.0
11.0,Marcel Niedl,201.0,10.0,15.0,5.0,21.0,19.0,19.0,13.0,9.0,11.0,3.0,15.0,28.0,29.0,1.0,3.0
12.0,Andreas Wagner,245.0,15.0,48.0,17.0,5.0,5.0,4.0,11.0,14.0,20.0,28.0,22.0,21.0,11.0,21.0,3.0
13.0,Chiara Giesinger,253.0,12.0,14.0,22.0,29.0,40.0,30.0,13.0,15.0,23.0,1.0,19.0,6.0,14.0,12.0,3.0
14.0,Michael Röhrer,259.0,31.0,46.0,12.0,6.0,4.0,3.0,12.0,15.0,44.0,8.0,6.0,22.0,41.0,6.0,3.0
15.0,Peter Rois,294.0,22.0,37.0,13.0,14.0,13.0,6.0,13.0,15.0,24.0,26.0,40.0,20.0,39.0,9.0,3.0
16.0,Nikolaus Lindinger,299.0,13.0,30.0,3.0,2.0,1.0,1.0,13.0,13.0,2.0,34.0,34.0,58.0,59.0,33.0,3.0
17.0,Fabian Staber,302.0,35.0,41.0,14.0,12.0,10.0,13.0,8.0,15.0,44.0,2.0,17.0,23.0,27.0,38.0,3.0
18.0,Felix Strasser,329.0,25.0,23.0,42.0,27.0,21.0,16.0,13.0,15.0,21.0,31.0,38.0,3.0,15.0,36.0,3.0
19.0,Pablo Grasböck,342.0,18.0,25.0,20.0,18.0,14.0,21.0,13.0,15.0,9.0,34.0,7.0,29.0,93.0,23.0,3.0
20.0,Ricky Julián Domingo Ingrao,356.0,42.0,22.0,49.0,46.0,33.0,30.0,13.0,15.0,26.0,13.0,29.0,16.0,9.0,10.0,3.0
21.0,Alwin Federsel,360.0,3.0,1.0,35.0,58.0,40.0,30.0,13.0,15.0,27.0,34.0,44.0,1.0,18.0,38.0,3.0
22.0,Raphael Riener,379.0,26.0,44.0,24.0,25.0,22.0,23.0,4.0,10.0,32.0,29.0,24.0,35.0,40.0,38.0,3.0
23.0,Florian Hainbucher,415.0,16.0,51.0,23.0,19.0,24.0,30.0,13.0,12.0,6.0,34.0,44.0,56.0,57.0,27.0,3.0
24.0,Christopher Haslinger,417.0,19.0,12.0,16.0,9.0,8.0,8.0,13.0,15.0,62.0,34.0,44.0,43.0,93.0,38.0,3.0
25.0,Thomas Millen,420.0,29.0,33.0,26.0,32.0,30.0,30.0,13.0,15.0,10.0,34.0,21.0,13.0,93.0,38.0,3.0
26.0,Elias Lampert,430.0,52.0,66.0,33.0,20.0,11.0,7.0,9.0,15.0,67.0,4.0,27.0,45.0,33.0,38.0,3.0
27.0,Stefan Huber,433.0,5.0,29.0,19.0,35.0,31.0,29.0,13.0,15.0,18.0,34.0,42.0,45.0,89.0,26.0,3.0
28.0,Stefan Stoiber,451.0,21.0,36.0,21.0,16.0,23.0,27.0,13.0,15.0,28.0,33.0,9.0,75.0,93.0,38.0,3.0
29.0,Julian Presch,455.0,46.0,60.0,34.0,58.0,40.0,30.0,13.0,15.0,36.0,34.0,16.0,24.0,24.0,22.0,3.0
30.0,Marc Lorünser,460.0,51.0,41.0,40.0,34.0,29.0,30.0,13.0,15.0,56.0,24.0,23.0,18.0,76.0,7.0,3.0
31.0,David Kindermann,469.0,61.0,40.0,32.0,37.0,34.0,30.0,13.0,15.0,40.0,34.0,20.0,25.0,53.0,32.0,3.0
32.0,Henry Peng,477.0,39.0,31.0,15.0,17.0,40.0,18.0,13.0,15.0,103.0,30.0,44.0,33.0,38.0,38.0,3.0
33.0,Chris Meusburger,486.0,14.0,15.0,36.0,22.0,40.0,30.0,13.0,15.0,38.0,34.0,25.0,70.0,93.0,38.0,3.0
34.0,Jakob Krappinger,490.0,61.0,37.0,43.0,58.0,40.0,30.0,13.0,15.0,35.0,34.0,44.0,34.0,13.0,30.0,3.0
35.0,Sebastian Greinöcker,497.0,73.0,11.0,58.0,45.0,40.0,30.0,13.0,15.0,71.0,34.0,32.0,11.0,23.0,38.0,3.0
36.0,Laurenz Burner,502.0,34.0,37.0,31.0,24.0,26.0,30.0,13.0,15.0,22.0,34.0,33.0,69.0,93.0,38.0,3.0
37.0,Pranjal Khan,516.0,24.0,64.0,37.0,40.0,38.0,30.0,13.0,15.0,1.0,32.0,36.0,126.0,19.0,38.0,3.0
38.0,Philipp Schiemer,522.0,38.0,7.0,18.0,30.0,25.0,22.0,13.0,15.0,103.0,34.0,44.0,39.0,93.0,38.0,3.0
39.0,Noah Treichler,532.0,58.0,32.0,76.0,58.0,40.0,30.0,13.0,15.0,55.0,11.0,44.0,47.0,26.0,24.0,3.0
40.0,David Burany,540.0,47.0,53.0,82.0,56.0,40.0,30.0,13.0,15.0,42.0,14.0,44.0,5.0,65.0,31.0,3.0
