Rank,name,Sum,333,222,444,555,666,777,333oh,clock,minx,pyram,skewb,sq1
1.0,Javid Nabizade,23.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,2.0,1.0,5.0
2.0,Rüstəm Həsənov,64.0,9.0,6.0,2.0,3.0,5.0,3.0,2.0,4.0,10.0,9.0,4.0,7.0
3.0,Aslan Kazimov,77.0,14.0,8.0,6.0,7.0,5.0,3.0,11.0,4.0,6.0,8.0,3.0,2.0
4.0,Əli Qəhrəmanlı,94.0,6.0,2.0,10.0,9.0,5.0,3.0,4.0,1.0,2.0,28.0,23.0,1.0
5.0,Elmir Mirzəyev,98.0,4.0,3.0,3.0,4.0,5.0,3.0,3.0,4.0,25.0,13.0,19.0,12.0
6.0,Suleyman Khalilov,115.0,11.0,5.0,15.0,14.0,5.0,3.0,15.0,4.0,25.0,4.0,2.0,12.0
7.0,Rəsul Ağababayev,127.0,2.0,12.0,5.0,14.0,5.0,3.0,13.0,4.0,25.0,11.0,21.0,12.0
8.0,Fazil Quliyev,130.0,8.0,9.0,9.0,6.0,3.0,3.0,12.0,4.0,5.0,46.0,13.0,12.0
9.0,Uzeyir Elivasli,147.0,3.0,13.0,12.0,14.0,5.0,3.0,5.0,4.0,25.0,21.0,30.0,12.0
10.0,Əli Mehdizadə,148.0,10.0,21.0,8.0,8.0,5.0,3.0,18.0,4.0,4.0,34.0,24.0,9.0
11.0,Ali Aliyev,152.0,29.0,7.0,36.0,14.0,5.0,3.0,17.0,4.0,15.0,5.0,5.0,12.0
12.0,Tamerlan Karimli,163.0,30.0,17.0,24.0,14.0,5.0,3.0,19.0,4.0,8.0,16.0,11.0,12.0
13.0,Raul Ismayilli,178.0,13.0,4.0,16.0,14.0,5.0,3.0,16.0,4.0,17.0,20.0,54.0,12.0
14.0,Ənvər Bayramlı,180.0,34.0,15.0,11.0,12.0,5.0,3.0,9.0,4.0,25.0,43.0,9.0,10.0
15.0,Nizami Memmedov,193.0,26.0,53.0,13.0,14.0,5.0,3.0,24.0,4.0,12.0,7.0,20.0,12.0
16.0,Muhammad Cavad Allahverdi,199.0,19.0,20.0,36.0,14.0,5.0,3.0,7.0,4.0,11.0,15.0,54.0,11.0
17.0,Royal Shabanov,202.0,25.0,19.0,17.0,11.0,5.0,3.0,58.0,4.0,25.0,6.0,17.0,12.0
18.0,Mahir Israfilov,208.0,5.0,25.0,4.0,2.0,1.0,1.0,27.0,4.0,25.0,64.0,38.0,12.0
19.0,Ismayil Asadov,210.0,32.0,13.0,36.0,14.0,5.0,3.0,23.0,4.0,25.0,41.0,6.0,8.0
