Rank,name,Sum,333,222,444,555,666,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Daniel Adel Alhayki,18.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0
2.0,Rashid Alhajri,39.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0
3.0,Aysha Jamsheer,47.0,3.0,5.0,3.0,3.0,2.0,1.0,5.0,2.0,3.0,4.0,12.0,4.0
4.0,Bandar Al Aish,48.0,10.0,4.0,8.0,5.0,2.0,2.0,8.0,1.0,2.0,2.0,2.0,2.0
5.0,Hasan Aqeel Nesaif,50.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,10.0,14.0,4.0
6.0,Bayan Alalawi,73.0,13.0,8.0,8.0,5.0,2.0,2.0,8.0,3.0,3.0,7.0,10.0,4.0
7.0,Khalid Mattar,79.0,12.0,7.0,6.0,5.0,2.0,2.0,7.0,5.0,3.0,12.0,14.0,4.0
8.0,Ali Fawaz Khunji,80.0,11.0,13.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,13.0,6.0,4.0
9.0,Abdulla Abdulghaffar,85.0,7.0,9.0,5.0,5.0,2.0,2.0,8.0,5.0,3.0,26.0,9.0,4.0
10.0,Mohammed Ghassan Aljishi,86.0,19.0,15.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,11.0,4.0,4.0
11.0,Hasan Jasim,88.0,6.0,10.0,8.0,5.0,2.0,2.0,3.0,5.0,3.0,26.0,14.0,4.0
12.0,Mohammed Jalal Alnajjar,91.0,8.0,6.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,26.0,14.0,4.0
13.0,Zainab Alaradi,98.0,23.0,17.0,8.0,5.0,2.0,2.0,8.0,4.0,3.0,14.0,8.0,4.0
14.0,Ali Khalid Radih,99.0,5.0,19.0,8.0,5.0,2.0,2.0,6.0,5.0,3.0,26.0,14.0,4.0
14.0,Mohamed Alsaei,99.0,26.0,14.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,8.0,14.0,4.0
16.0,Abdulrahman Ahmed Adam,101.0,27.0,18.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,5.0,14.0,4.0
17.0,Ali Ismaeel Salman Mohamed Ali,105.0,22.0,16.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,16.0,14.0,4.0
18.0,Yousif Calvo,106.0,17.0,12.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,26.0,14.0,4.0
19.0,Manaf AlHaddad,108.0,20.0,11.0,8.0,5.0,2.0,2.0,8.0,5.0,3.0,26.0,14.0,4.0
