Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
1.0,Zuhair Raiyan Khan,70.0,5.0,3.0,6.0,7.0,5.0,4.0,2.0,13.0,2.0,10.0,8.0,3.0,2.0
2.0,Taosif Amin Sahil,77.0,1.0,5.0,1.0,1.0,2.0,6.0,2.0,1.0,5.0,1.0,10.0,12.0,30.0
3.0,Nazib Nawar,92.0,8.0,8.0,2.0,2.0,1.0,1.0,2.0,9.0,5.0,3.0,4.0,17.0,30.0
4.0,Farhan Tanvir Fahim,105.0,10.0,6.0,13.0,13.0,18.0,13.0,2.0,5.0,5.0,12.0,6.0,1.0,1.0
5.0,Muhtasim Al-Farabi,125.0,24.0,13.0,5.0,9.0,7.0,8.0,2.0,6.0,5.0,15.0,17.0,7.0,7.0
6.0,Namira Nawar,194.0,10.0,16.0,14.0,12.0,18.0,13.0,2.0,20.0,5.0,8.0,15.0,31.0,30.0
7.0,Yasa Zaheen,207.0,22.0,26.0,8.0,6.0,18.0,13.0,2.0,25.0,5.0,6.0,64.0,4.0,8.0
8.0,Md Tafsirul Islam,226.0,2.0,9.0,23.0,15.0,18.0,13.0,2.0,2.0,5.0,36.0,36.0,35.0,30.0
9.0,Sakib Ibn Rashid Rhivu,238.0,4.0,18.0,16.0,23.0,17.0,12.0,2.0,22.0,5.0,34.0,21.0,34.0,30.0
10.0,Shihab Uddin,281.0,3.0,7.0,15.0,46.0,18.0,13.0,2.0,17.0,5.0,36.0,57.0,32.0,30.0
11.0,Zabir Bin Moaj,284.0,63.0,30.0,26.0,14.0,6.0,2.0,1.0,42.0,5.0,23.0,24.0,36.0,12.0
12.0,Munem Shahriar,302.0,44.0,40.0,17.0,16.0,11.0,13.0,2.0,19.0,5.0,9.0,52.0,44.0,30.0
13.0,Mohammad Mehrab Hosan,312.0,55.0,35.0,33.0,27.0,14.0,13.0,2.0,36.0,5.0,13.0,42.0,26.0,11.0
14.0,Sadnan Sakib Annan,319.0,60.0,19.0,28.0,21.0,18.0,13.0,2.0,37.0,5.0,36.0,22.0,28.0,30.0
15.0,Afif Zahin Biswas,323.0,15.0,35.0,21.0,46.0,18.0,13.0,2.0,21.0,5.0,36.0,9.0,72.0,30.0
16.0,Mansib Alam Talukder,332.0,39.0,66.0,11.0,40.0,18.0,13.0,2.0,71.0,5.0,5.0,50.0,8.0,4.0
17.0,Mohammad Siwom Chowdhury,333.0,17.0,48.0,19.0,25.0,13.0,13.0,2.0,18.0,5.0,2.0,91.0,51.0,29.0
18.0,Mahadi Rahman,356.0,21.0,42.0,30.0,46.0,18.0,13.0,2.0,31.0,5.0,36.0,39.0,70.0,3.0
19.0,Nafis Hasan Ruman,365.0,31.0,22.0,26.0,46.0,18.0,13.0,2.0,12.0,5.0,36.0,5.0,119.0,30.0
19.0,Farrah Abdallah,365.0,14.0,2.0,3.0,8.0,18.0,13.0,2.0,11.0,5.0,36.0,231.0,16.0,6.0
21.0,Mahdi Al Sami,367.0,12.0,32.0,9.0,17.0,18.0,13.0,2.0,23.0,5.0,11.0,76.0,119.0,30.0
22.0,Zarif Tanzil,374.0,57.0,21.0,49.0,46.0,18.0,13.0,2.0,47.0,5.0,33.0,47.0,6.0,30.0
23.0,Masum Mushfiq Ishti,383.0,53.0,47.0,38.0,46.0,18.0,13.0,2.0,27.0,5.0,16.0,55.0,38.0,25.0
24.0,Ilham Raha Shameem Aubdhi,404.0,66.0,27.0,24.0,30.0,18.0,13.0,2.0,137.0,5.0,29.0,20.0,18.0,15.0
25.0,Azmaeen Faiq Muaz,412.0,35.0,22.0,35.0,46.0,18.0,13.0,2.0,16.0,5.0,36.0,35.0,119.0,30.0
26.0,Avirup Das,447.0,19.0,10.0,105.0,46.0,18.0,13.0,2.0,33.0,5.0,36.0,11.0,119.0,30.0
27.0,Zafeer Shahed,463.0,127.0,48.0,58.0,46.0,18.0,13.0,2.0,95.0,5.0,24.0,3.0,10.0,14.0
28.0,Mohammad Tanvir Anjum Zenith,469.0,26.0,29.0,25.0,46.0,18.0,13.0,2.0,35.0,5.0,36.0,85.0,119.0,30.0
29.0,Azharul Baree Zihan,477.0,101.0,104.0,47.0,46.0,18.0,13.0,2.0,43.0,5.0,14.0,33.0,21.0,30.0
30.0,Arnab Banik,492.0,7.0,57.0,4.0,3.0,3.0,7.0,2.0,4.0,5.0,20.0,231.0,119.0,30.0
31.0,Tofael Ahmed Akib,505.0,111.0,20.0,84.0,46.0,18.0,13.0,2.0,74.0,5.0,36.0,37.0,29.0,30.0
32.0,Shatadru Kundu,506.0,48.0,11.0,105.0,46.0,18.0,13.0,2.0,60.0,5.0,36.0,13.0,119.0,30.0
33.0,Mohammad Didar Ali Afridi,511.0,82.0,85.0,105.0,46.0,18.0,13.0,2.0,103.0,5.0,25.0,1.0,2.0,24.0
34.0,Shudipto Sarwar,522.0,72.0,59.0,105.0,46.0,18.0,13.0,2.0,89.0,5.0,36.0,28.0,19.0,30.0
35.0,Yamin Wahed,530.0,73.0,63.0,32.0,34.0,18.0,13.0,2.0,55.0,5.0,26.0,132.0,59.0,18.0
36.0,Ahnaf Uddin Rafid,531.0,95.0,106.0,80.0,46.0,18.0,13.0,2.0,78.0,5.0,31.0,2.0,42.0,13.0
37.0,Afif Asad Ruddraw,538.0,88.0,75.0,105.0,46.0,18.0,13.0,2.0,58.0,5.0,36.0,37.0,25.0,30.0
38.0,Sami Rahman,549.0,89.0,113.0,80.0,22.0,8.0,5.0,2.0,62.0,5.0,21.0,69.0,53.0,20.0
39.0,Rayeed Rashed,554.0,45.0,4.0,18.0,19.0,18.0,13.0,2.0,121.0,5.0,36.0,167.0,76.0,30.0
40.0,Tawsiful Islam,555.0,33.0,78.0,52.0,20.0,16.0,13.0,2.0,50.0,5.0,36.0,118.0,102.0,30.0
41.0,Taiyeb Al Kavi,557.0,29.0,45.0,105.0,46.0,18.0,13.0,2.0,37.0,5.0,36.0,124.0,67.0,30.0
41.0,Kayes Ahmed Shatabdo,557.0,134.0,123.0,65.0,46.0,18.0,13.0,2.0,49.0,5.0,36.0,31.0,5.0,30.0
