Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Pavel Yushkevich,91.0,9.0,5.0,6.0,4.0,2.0,1.0,4.0,1.0,3.0,3.0,16.0,11.0,16.0,10.0
2.0,Vladislav Kaminskiy,125.0,2.0,4.0,9.0,3.0,4.0,6.0,6.0,6.0,1.0,8.0,11.0,28.0,14.0,23.0
3.0,Vadzim Smirnou,167.0,6.0,3.0,5.0,14.0,22.0,17.0,9.0,12.0,4.0,43.0,15.0,10.0,1.0,6.0
4.0,Nikita Loika,172.0,19.0,8.0,18.0,8.0,14.0,3.0,2.0,2.0,21.0,2.0,21.0,12.0,25.0,17.0
5.0,Ilya Anishchenko,192.0,15.0,29.0,4.0,9.0,22.0,17.0,9.0,3.0,14.0,43.0,9.0,3.0,8.0,7.0
6.0,Ivan Bogdan,206.0,4.0,9.0,3.0,15.0,22.0,17.0,9.0,31.0,23.0,43.0,3.0,9.0,9.0,9.0
7.0,Nikita Starodubov,213.0,3.0,12.0,1.0,1.0,22.0,17.0,9.0,31.0,5.0,43.0,1.0,16.0,3.0,49.0
8.0,Anatoly Kim,226.0,23.0,20.0,14.0,10.0,8.0,7.0,9.0,5.0,13.0,10.0,5.0,34.0,47.0,21.0
9.0,Yahor Lahunovich (Егор Лагунович),235.0,5.0,38.0,2.0,16.0,22.0,17.0,9.0,31.0,20.0,43.0,6.0,14.0,4.0,8.0
10.0,Danila Dubovik,246.0,11.0,13.0,22.0,21.0,21.0,17.0,9.0,31.0,10.0,13.0,27.0,35.0,2.0,14.0
11.0,Platon Dranchuk (Платон Дранчук),263.0,1.0,2.0,19.0,34.0,22.0,17.0,9.0,17.0,8.0,31.0,10.0,37.0,7.0,49.0
12.0,Uladzislau Ushakov (Владислав Ушаков),290.0,37.0,14.0,26.0,23.0,11.0,15.0,9.0,7.0,45.0,20.0,36.0,8.0,28.0,11.0
13.0,Anton Suzin,302.0,8.0,1.0,34.0,41.0,22.0,17.0,9.0,13.0,15.0,26.0,41.0,15.0,11.0,49.0
14.0,Dmitri Arterchuk,305.0,29.0,23.0,27.0,18.0,22.0,17.0,9.0,31.0,18.0,19.0,13.0,24.0,35.0,20.0
15.0,Ivan Terekh,346.0,39.0,67.0,44.0,27.0,16.0,14.0,9.0,7.0,19.0,18.0,7.0,3.0,64.0,12.0
16.0,Nikita Chistyakov,349.0,30.0,42.0,29.0,25.0,20.0,16.0,9.0,25.0,11.0,12.0,24.0,29.0,31.0,46.0
17.0,Ilya Zabrodsky,359.0,16.0,17.0,11.0,64.0,22.0,17.0,9.0,10.0,7.0,23.0,68.0,19.0,45.0,31.0
