Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Guillaume David,95.0,2.0,2.0,3.0,1.0,1.0,2.0,10.0,15.0,14.0,3.0,8.0,17.0,9.0,4.0,2.0,2.0
2.0,Jonathan Mauroy,167.0,8.0,12.0,4.0,5.0,4.0,3.0,8.0,4.0,3.0,32.0,7.0,16.0,28.0,29.0,2.0,2.0
3.0,Quinten Andelhofs,204.0,4.0,4.0,1.0,2.0,7.0,5.0,10.0,4.0,4.0,46.0,28.0,21.0,5.0,59.0,2.0,2.0
4.0,Ilija Jovanovic,281.0,7.0,16.0,10.0,7.0,12.0,28.0,10.0,15.0,2.0,66.0,2.0,2.0,41.0,59.0,2.0,2.0
5.0,Justin Vinckenbosch,291.0,19.0,8.0,15.0,28.0,30.0,37.0,10.0,15.0,23.0,2.0,11.0,22.0,32.0,35.0,2.0,2.0
6.0,Matthias Schegers,301.0,27.0,25.0,5.0,3.0,3.0,6.0,10.0,15.0,20.0,66.0,6.0,1.0,102.0,8.0,2.0,2.0
7.0,Joran Pauwels,306.0,23.0,10.0,39.0,37.0,28.0,24.0,10.0,15.0,25.0,1.0,65.0,10.0,13.0,2.0,2.0,2.0
8.0,Jérôme Carlier,316.0,45.0,47.0,20.0,8.0,5.0,4.0,2.0,2.0,12.0,57.0,23.0,34.0,44.0,9.0,2.0,2.0
9.0,Medard Lecluyse,353.0,15.0,3.0,16.0,18.0,15.0,37.0,10.0,15.0,160.0,16.0,13.0,6.0,6.0,19.0,2.0,2.0
10.0,Raphael Eduardo Kuijpers,363.0,14.0,28.0,12.0,13.0,29.0,37.0,10.0,15.0,43.0,37.0,26.0,26.0,56.0,13.0,2.0,2.0
11.0,Jonas Rongé,371.0,48.0,19.0,45.0,30.0,22.0,18.0,6.0,1.0,15.0,17.0,33.0,51.0,26.0,36.0,2.0,2.0
12.0,Elias Meynckens,401.0,10.0,7.0,11.0,17.0,57.0,37.0,5.0,15.0,13.0,66.0,18.0,33.0,49.0,59.0,2.0,2.0
13.0,Lars Van den broeck,402.0,40.0,34.0,22.0,25.0,13.0,29.0,10.0,15.0,32.0,31.0,24.0,54.0,10.0,59.0,2.0,2.0
14.0,Cyril Barigand,413.0,68.0,40.0,32.0,21.0,10.0,7.0,7.0,15.0,101.0,20.0,14.0,5.0,46.0,23.0,2.0,2.0
15.0,Adrien Schumacker,414.0,22.0,31.0,8.0,4.0,2.0,1.0,10.0,11.0,9.0,66.0,49.0,43.0,110.0,44.0,2.0,2.0
16.0,Ayhan Sarier,440.0,57.0,37.0,25.0,32.0,57.0,37.0,10.0,15.0,35.0,66.0,10.0,4.0,17.0,34.0,2.0,2.0
17.0,Victor Roets,444.0,3.0,5.0,24.0,43.0,57.0,37.0,10.0,15.0,17.0,66.0,65.0,40.0,11.0,47.0,2.0,2.0
18.0,Elias Malomgré,452.0,98.0,1.0,96.0,62.0,37.0,32.0,10.0,15.0,36.0,4.0,42.0,9.0,1.0,5.0,2.0,2.0
19.0,Tiemen De Meester,464.0,60.0,51.0,54.0,31.0,18.0,15.0,10.0,14.0,24.0,64.0,35.0,42.0,4.0,38.0,2.0,2.0
20.0,Samuel Janssen,473.0,62.0,59.0,52.0,14.0,19.0,22.0,10.0,10.0,48.0,15.0,3.0,12.0,84.0,59.0,2.0,2.0
21.0,Lorenz Hurlet,478.0,17.0,53.0,26.0,33.0,33.0,37.0,10.0,15.0,6.0,66.0,12.0,108.0,43.0,15.0,2.0,2.0
22.0,Wout Plaum,490.0,38.0,10.0,64.0,61.0,57.0,37.0,10.0,15.0,21.0,66.0,47.0,23.0,20.0,17.0,2.0,2.0
23.0,Kobe Lutjeharms,491.0,21.0,13.0,61.0,89.0,57.0,37.0,10.0,15.0,16.0,66.0,16.0,24.0,61.0,1.0,2.0,2.0
24.0,Thibau Vander Motte,514.0,9.0,47.0,6.0,12.0,57.0,37.0,10.0,15.0,44.0,66.0,65.0,109.0,19.0,14.0,2.0,2.0
25.0,Nicolas Dupuis,529.0,85.0,88.0,40.0,10.0,8.0,8.0,10.0,15.0,76.0,8.0,65.0,50.0,3.0,59.0,2.0,2.0
26.0,Arthur Van Broeckhoven,547.0,15.0,64.0,66.0,52.0,41.0,37.0,10.0,15.0,8.0,51.0,43.0,30.0,80.0,31.0,2.0,2.0
