Rank,name,Sum,333,222,444,333oh,pyram,skewb
1.0,Noe Andre Smith,13.0,3.0,2.0,2.0,3.0,2.0,1.0
2.0,Jessler Tzot,20.0,4.0,5.0,3.0,2.0,4.0,2.0
3.0,Jose de la Fuente,21.0,2.0,5.0,3.0,5.0,4.0,2.0
3.0,Christopher Longsworth,21.0,6.0,3.0,3.0,4.0,3.0,2.0
5.0,Darwin Tzot,24.0,5.0,5.0,3.0,5.0,4.0,2.0
6.0,William Jovanny Sanchez,26.0,7.0,5.0,3.0,5.0,4.0,2.0
7.0,Liam Kelly,27.0,9.0,4.0,3.0,5.0,4.0,2.0
7.0,Godwin Mangar,27.0,8.0,5.0,3.0,5.0,4.0,2.0
9.0,Edwin Palma,29.0,10.0,5.0,3.0,5.0,4.0,2.0
10.0,Benedict Kim Jr.,30.0,11.0,5.0,3.0,5.0,4.0,2.0
11.0,Abdiel Damir Reyes,31.0,12.0,5.0,3.0,5.0,4.0,2.0
12.0,Fabian Solórzano,32.0,13.0,5.0,3.0,5.0,4.0,2.0
13.0,Joselyn Escobar,33.0,14.0,5.0,3.0,5.0,4.0,2.0
