Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Josias Milan Sirpa Pinto,131.0,6.0,24.0,2.0,1.0,1.0,2.0,8.0,11.0,3.0,3.0,10.0,35.0,2.0,23.0
2.0,Rodrigo Paz Vaca,168.0,1.0,2.0,5.0,7.0,26.0,33.0,7.0,7.0,1.0,27.0,3.0,10.0,26.0,13.0
3.0,Rodrigo Ugarte,172.0,24.0,40.0,7.0,9.0,6.0,5.0,8.0,1.0,14.0,8.0,14.0,3.0,23.0,10.0
4.0,Claudio Andre Gomez Villca,173.0,9.0,6.0,13.0,2.0,5.0,4.0,8.0,12.0,16.0,28.0,27.0,20.0,20.0,3.0
5.0,Fabricio Andrés Yañez Terrazas,201.0,14.0,13.0,19.0,19.0,12.0,9.0,8.0,2.0,10.0,10.0,4.0,39.0,33.0,9.0
6.0,Ignacio Mita Cabezas,216.0,4.0,15.0,6.0,6.0,8.0,7.0,8.0,19.0,11.0,28.0,12.0,22.0,30.0,40.0
7.0,Alejandro Marze Rossel,234.0,5.0,36.0,1.0,3.0,7.0,11.0,8.0,19.0,4.0,28.0,5.0,29.0,38.0,40.0
8.0,Joseph Daniel Blas Sanchez,237.0,19.0,41.0,12.0,14.0,10.0,10.0,8.0,8.0,20.0,11.0,19.0,8.0,25.0,32.0
9.0,Jose Antonio Campero Morales,250.0,28.0,18.0,23.0,11.0,16.0,15.0,8.0,16.0,23.0,18.0,25.0,23.0,21.0,5.0
10.0,Enrique Adolfo Delgado,299.0,2.0,27.0,3.0,4.0,4.0,6.0,8.0,19.0,8.0,28.0,7.0,102.0,41.0,40.0
11.0,Nicolas Cardenas Claros,316.0,23.0,12.0,17.0,41.0,40.0,33.0,8.0,14.0,28.0,7.0,53.0,15.0,3.0,22.0
11.0,Xavier Antonio Balderrama,316.0,10.0,25.0,22.0,17.0,19.0,19.0,8.0,19.0,15.0,28.0,44.0,35.0,27.0,28.0
13.0,Sebastián Morón Mariscal,369.0,50.0,70.0,26.0,20.0,21.0,33.0,3.0,19.0,33.0,9.0,21.0,19.0,19.0,26.0
14.0,Luis Flores,370.0,17.0,19.0,25.0,26.0,40.0,33.0,8.0,15.0,17.0,28.0,13.0,18.0,71.0,40.0
15.0,Daniel C. Bedoya,381.0,13.0,3.0,16.0,15.0,9.0,8.0,8.0,19.0,9.0,28.0,24.0,94.0,95.0,40.0
16.0,Jhersson Cabezas Luizaga,386.0,56.0,22.0,37.0,21.0,25.0,14.0,8.0,19.0,65.0,14.0,28.0,9.0,28.0,40.0
17.0,Jhoan Jhunior Alvarado Balderrama,416.0,30.0,14.0,8.0,12.0,15.0,33.0,8.0,19.0,13.0,28.0,58.0,6.0,132.0,40.0
18.0,Moisés Marco Quispe Arellano,437.0,16.0,59.0,32.0,43.0,40.0,33.0,8.0,19.0,50.0,28.0,32.0,65.0,1.0,11.0
19.0,Nancy Garcés Hazou,444.0,26.0,37.0,33.0,95.0,40.0,33.0,8.0,19.0,61.0,6.0,16.0,17.0,36.0,17.0
20.0,Alejandro Peredo,450.0,21.0,16.0,30.0,69.0,40.0,33.0,8.0,19.0,32.0,28.0,58.0,24.0,32.0,40.0
21.0,Fabian Alberti Maldonado,451.0,41.0,21.0,20.0,23.0,40.0,33.0,8.0,19.0,21.0,28.0,38.0,99.0,35.0,25.0
22.0,Wilson C. Rios,454.0,75.0,62.0,35.0,42.0,40.0,33.0,8.0,19.0,44.0,28.0,22.0,14.0,16.0,16.0
23.0,Amaru Aloys Ancasi Pevec,456.0,20.0,3.0,21.0,30.0,40.0,33.0,8.0,18.0,37.0,28.0,58.0,95.0,58.0,7.0
24.0,Rodrigo Mateo Inochea Fernández,466.0,38.0,6.0,10.0,13.0,11.0,13.0,8.0,19.0,129.0,24.0,20.0,75.0,66.0,34.0
25.0,Carlos Andres Hidalgo,481.0,27.0,44.0,58.0,65.0,40.0,33.0,8.0,19.0,25.0,28.0,37.0,45.0,12.0,40.0
26.0,José Marco Tarifa Hernández,501.0,60.0,64.0,53.0,55.0,40.0,33.0,8.0,19.0,46.0,17.0,39.0,25.0,13.0,29.0
26.0,Brayan Ramos Coaquira,501.0,48.0,20.0,78.0,64.0,40.0,33.0,8.0,19.0,31.0,28.0,18.0,57.0,17.0,40.0
28.0,Joel Mamani Tumiri,502.0,104.0,94.0,38.0,24.0,13.0,16.0,8.0,3.0,54.0,28.0,11.0,68.0,10.0,31.0
29.0,Dylan Aramayo Calle,511.0,7.0,35.0,4.0,16.0,23.0,33.0,8.0,19.0,12.0,28.0,58.0,171.0,57.0,40.0
30.0,Andrés Muñoz Valverde,512.0,33.0,11.0,43.0,95.0,40.0,33.0,8.0,19.0,27.0,28.0,55.0,26.0,54.0,40.0
31.0,James Gutiérrez,518.0,89.0,33.0,52.0,54.0,35.0,28.0,8.0,12.0,88.0,15.0,42.0,27.0,31.0,4.0
32.0,Arley Zárate Challapa,524.0,49.0,87.0,11.0,18.0,14.0,32.0,8.0,19.0,47.0,28.0,58.0,61.0,52.0,40.0
33.0,Carlos Alejandro Copa Toro,537.0,82.0,81.0,34.0,27.0,40.0,33.0,8.0,19.0,72.0,28.0,17.0,44.0,46.0,6.0
34.0,Diego Iglesias Godoy,545.0,15.0,17.0,74.0,25.0,40.0,33.0,8.0,9.0,5.0,1.0,58.0,88.0,132.0,40.0
35.0,Diego Zeballos,550.0,65.0,33.0,28.0,22.0,20.0,18.0,8.0,19.0,64.0,28.0,58.0,71.0,76.0,40.0
36.0,Henry Ramirez Escobar,559.0,66.0,43.0,42.0,53.0,40.0,33.0,8.0,19.0,63.0,12.0,52.0,16.0,72.0,40.0
37.0,Aldrin Alba Soria,565.0,43.0,23.0,44.0,95.0,40.0,33.0,4.0,19.0,26.0,28.0,58.0,70.0,67.0,15.0
