Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Aleksa Perušinović,38.0,6.0,5.0,1.0,2.0,3.0,3.0,2.0,8.0,2.0,1.0,2.0,1.0,2.0
2.0,Andrej Mikulić,43.0,1.0,4.0,8.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,4.0,6.0,6.0
3.0,Nemanja Vujnović,45.0,3.0,1.0,3.0,5.0,3.0,3.0,2.0,9.0,3.0,2.0,1.0,7.0,3.0
4.0,Renato Stopic,54.0,9.0,13.0,4.0,3.0,2.0,2.0,1.0,4.0,1.0,3.0,3.0,8.0,1.0
5.0,Kemal Smajlović,70.0,5.0,10.0,6.0,8.0,3.0,3.0,2.0,3.0,3.0,6.0,10.0,2.0,9.0
6.0,David Tanasković,76.0,8.0,2.0,10.0,8.0,3.0,3.0,2.0,5.0,3.0,6.0,7.0,15.0,4.0
7.0,Aleksandar Babić,93.0,16.0,10.0,14.0,8.0,3.0,3.0,2.0,2.0,3.0,6.0,12.0,9.0,5.0
8.0,Filip Aleksić,108.0,14.0,14.0,11.0,8.0,3.0,3.0,2.0,14.0,3.0,6.0,11.0,10.0,9.0
9.0,Petar Oreč,111.0,18.0,8.0,13.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,8.0,11.0,9.0
10.0,Belmin Arnaut,118.0,4.0,3.0,12.0,8.0,3.0,3.0,2.0,6.0,3.0,6.0,35.0,24.0,9.0
10.0,Ammar Draganović,118.0,22.0,6.0,22.0,8.0,3.0,3.0,2.0,15.0,3.0,6.0,16.0,3.0,9.0
12.0,Bojan Perić,121.0,13.0,22.0,5.0,4.0,3.0,3.0,2.0,7.0,3.0,6.0,20.0,24.0,9.0
13.0,Zivko Popovic,126.0,17.0,7.0,9.0,8.0,3.0,3.0,2.0,16.0,3.0,6.0,19.0,24.0,9.0
14.0,Amar Alihodžić,129.0,21.0,9.0,15.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,14.0,17.0,9.0
15.0,Nedim Bečić,130.0,11.0,17.0,16.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,29.0,4.0,9.0
16.0,Janko Gašić,133.0,26.0,16.0,18.0,6.0,3.0,3.0,2.0,17.0,3.0,6.0,5.0,19.0,9.0
17.0,Vukašin Dobrijević,136.0,27.0,20.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,9.0,5.0,9.0
18.0,Mihael Vidoš,149.0,2.0,19.0,2.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
19.0,Andre Šuvak,153.0,20.0,18.0,22.0,8.0,3.0,3.0,2.0,11.0,3.0,6.0,24.0,24.0,9.0
20.0,Marko Vukadinović,162.0,24.0,23.0,20.0,8.0,3.0,3.0,2.0,13.0,3.0,4.0,34.0,18.0,7.0
21.0,Velibor Đuran,164.0,32.0,28.0,19.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,18.0,14.0,9.0
22.0,Darko Prelić,166.0,11.0,21.0,17.0,8.0,3.0,3.0,2.0,10.0,3.0,6.0,49.0,24.0,9.0
23.0,Luka Vidić,167.0,7.0,70.0,7.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,6.0,24.0,9.0
24.0,Tarik Gutlić,170.0,10.0,12.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,49.0,24.0,9.0
25.0,Mikael Sabanovic,173.0,15.0,29.0,22.0,8.0,3.0,3.0,2.0,12.0,3.0,6.0,49.0,12.0,9.0
26.0,Denis Čavkunović,179.0,28.0,24.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,28.0,24.0,9.0
26.0,Ivan Abramušić,179.0,30.0,37.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,13.0,24.0,9.0
28.0,Vanja Vucic,189.0,58.0,15.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,25.0,16.0,9.0
29.0,Rastko Šalvarica,193.0,33.0,30.0,22.0,8.0,3.0,3.0,2.0,19.0,3.0,6.0,31.0,24.0,9.0
