Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Vicenzo Guerino Cecchini,63.0,2.0,3.0,1.0,2.0,2.0,4.0,12.0,7.0,4.0,10.0,4.0,2.0,2.0,1.0,4.0,3.0
2.0,Francisco Moraes Mandalozzo,73.0,3.0,1.0,2.0,1.0,1.0,2.0,7.0,28.0,5.0,2.0,2.0,4.0,4.0,6.0,3.0,2.0
3.0,Enzo Mattos,209.0,10.0,6.0,16.0,10.0,11.0,9.0,22.0,11.0,12.0,30.0,12.0,29.0,12.0,12.0,4.0,3.0
4.0,Frederico Canal Gomes,216.0,6.0,5.0,6.0,5.0,10.0,8.0,25.0,30.0,11.0,26.0,23.0,25.0,21.0,8.0,4.0,3.0
5.0,Caio Hideaki Sato,337.0,1.0,7.0,3.0,4.0,6.0,19.0,71.0,120.0,2.0,6.0,3.0,6.0,1.0,81.0,4.0,3.0
6.0,Tiago Akihiro Fujita,358.0,12.0,2.0,10.0,12.0,9.0,13.0,71.0,120.0,17.0,9.0,20.0,13.0,29.0,14.0,4.0,3.0
7.0,João Vinícius de A. Santos,391.0,52.0,35.0,31.0,18.0,13.0,10.0,50.0,13.0,47.0,25.0,32.0,26.0,8.0,24.0,4.0,3.0
8.0,Ana Beatriz M. Tannenbaum,405.0,7.0,13.0,7.0,13.0,15.0,17.0,71.0,120.0,33.0,13.0,44.0,3.0,23.0,19.0,4.0,3.0
9.0,Lucas Ichiro Yunomae,412.0,21.0,53.0,9.0,3.0,4.0,7.0,54.0,38.0,15.0,46.0,9.0,44.0,68.0,34.0,4.0,3.0
10.0,Thiago Han,426.0,51.0,14.0,28.0,21.0,17.0,15.0,1.0,120.0,83.0,15.0,13.0,16.0,20.0,7.0,2.0,3.0
11.0,Gabriel Lincon Souza,461.0,76.0,27.0,30.0,29.0,31.0,36.0,60.0,16.0,18.0,12.0,47.0,62.0,6.0,4.0,4.0,3.0
12.0,Antonio Gabriel Freitas da Silva,526.0,4.0,12.0,11.0,20.0,56.0,99.0,71.0,51.0,16.0,96.0,54.0,17.0,7.0,5.0,4.0,3.0
13.0,Felipe Cardim,533.0,65.0,44.0,24.0,25.0,45.0,97.0,71.0,22.0,40.0,17.0,40.0,12.0,14.0,10.0,4.0,3.0
14.0,Caique Crispim de Lima,534.0,18.0,4.0,18.0,39.0,25.0,99.0,71.0,120.0,13.0,11.0,39.0,18.0,49.0,3.0,4.0,3.0
15.0,Anuar Miguel Abib Onofre,592.0,13.0,41.0,26.0,75.0,37.0,34.0,13.0,5.0,3.0,85.0,48.0,78.0,125.0,2.0,4.0,3.0
16.0,Pedro Paulo Lima Sasaki,641.0,70.0,69.0,19.0,7.0,7.0,5.0,71.0,120.0,73.0,28.0,57.0,41.0,38.0,29.0,4.0,3.0
17.0,Gabriel Bergue,645.0,34.0,75.0,43.0,37.0,18.0,14.0,71.0,49.0,24.0,54.0,18.0,49.0,15.0,137.0,4.0,3.0
17.0,Pedro Roque,645.0,8.0,21.0,5.0,6.0,12.0,31.0,71.0,24.0,6.0,81.0,25.0,86.0,151.0,111.0,4.0,3.0
19.0,Bruno Fonsêca Coelho Lima,749.0,80.0,40.0,42.0,61.0,48.0,51.0,71.0,10.0,106.0,72.0,52.0,39.0,52.0,18.0,4.0,3.0
20.0,Mario Armando Takahashi Martins Dias,757.0,36.0,42.0,40.0,86.0,140.0,99.0,71.0,120.0,43.0,4.0,5.0,1.0,47.0,16.0,4.0,3.0
21.0,Pedro Lobeto Miyamoto,777.0,78.0,15.0,85.0,45.0,140.0,99.0,20.0,100.0,52.0,18.0,30.0,30.0,35.0,23.0,4.0,3.0
22.0,Giovane Rubin Fioravanti,803.0,5.0,15.0,12.0,14.0,49.0,52.0,71.0,44.0,10.0,104.0,96.0,68.0,49.0,207.0,4.0,3.0
23.0,Adriano Matoba Lipski,814.0,13.0,18.0,13.0,8.0,14.0,21.0,71.0,28.0,8.0,122.0,103.0,105.0,141.0,142.0,4.0,3.0
24.0,Luan Gomes de Almeida Araújo,864.0,106.0,89.0,71.0,82.0,54.0,45.0,71.0,30.0,78.0,16.0,72.0,53.0,22.0,68.0,4.0,3.0
25.0,Aharon Campoli Tono,876.0,102.0,54.0,41.0,16.0,3.0,1.0,53.0,115.0,89.0,55.0,143.0,54.0,17.0,126.0,4.0,3.0
26.0,Gabriel Sargeiro Gomes de Mello,908.0,124.0,46.0,109.0,38.0,21.0,22.0,71.0,33.0,27.0,162.0,6.0,51.0,108.0,83.0,4.0,3.0
27.0,Kaique de Oliveira Neves,930.0,26.0,35.0,94.0,118.0,83.0,99.0,71.0,120.0,56.0,22.0,29.0,34.0,56.0,80.0,4.0,3.0
28.0,Beatriz Hernandes Bernardes,980.0,75.0,34.0,58.0,49.0,33.0,44.0,71.0,57.0,155.0,58.0,37.0,63.0,224.0,15.0,4.0,3.0
29.0,Vitor Wagner Abreu,1001.0,35.0,37.0,39.0,72.0,140.0,99.0,71.0,120.0,61.0,238.0,1.0,28.0,27.0,26.0,4.0,3.0
30.0,Gustavo Dias Dullens,1022.0,20.0,59.0,25.0,41.0,47.0,75.0,71.0,120.0,96.0,39.0,133.0,100.0,43.0,146.0,4.0,3.0
31.0,Vinicius Shaw,1077.0,212.0,28.0,198.0,63.0,64.0,99.0,71.0,120.0,157.0,8.0,26.0,6.0,9.0,9.0,4.0,3.0
32.0,Suzane Coelho,1106.0,64.0,181.0,77.0,96.0,90.0,80.0,71.0,83.0,32.0,36.0,99.0,121.0,34.0,35.0,4.0,3.0
33.0,Diego Boasso Vera,1119.0,41.0,30.0,8.0,19.0,26.0,25.0,71.0,120.0,25.0,238.0,69.0,106.0,100.0,234.0,4.0,3.0
34.0,Pedro Henrique Maciel Ceccopieri Belo,1136.0,120.0,60.0,61.0,48.0,27.0,32.0,71.0,64.0,74.0,86.0,94.0,94.0,238.0,60.0,4.0,3.0
34.0,Pedro Miranda Moreira,1136.0,48.0,20.0,29.0,55.0,68.0,78.0,71.0,24.0,64.0,92.0,21.0,136.0,200.0,223.0,4.0,3.0
36.0,Benicio Lins Pinheiro,1203.0,91.0,21.0,103.0,156.0,140.0,99.0,71.0,63.0,38.0,40.0,134.0,14.0,174.0,52.0,4.0,3.0
37.0,Key Yu Wan,1214.0,38.0,64.0,69.0,30.0,19.0,29.0,71.0,91.0,41.0,207.0,396.0,46.0,3.0,103.0,4.0,3.0
38.0,Nícolas Raubach Munari,1224.0,61.0,123.0,27.0,26.0,22.0,99.0,71.0,120.0,89.0,238.0,7.0,107.0,178.0,49.0,4.0,3.0
39.0,Luiz Fellipe Oliuza Leal Silva,1228.0,99.0,64.0,97.0,116.0,91.0,85.0,39.0,4.0,114.0,45.0,159.0,157.0,86.0,65.0,4.0,3.0
40.0,Rafael Carreiro Campos,1265.0,134.0,166.0,32.0,15.0,8.0,6.0,71.0,44.0,35.0,227.0,60.0,79.0,155.0,226.0,4.0,3.0
41.0,Felipe Mapelli,1266.0,72.0,67.0,44.0,34.0,58.0,55.0,71.0,120.0,46.0,238.0,45.0,201.0,116.0,92.0,4.0,3.0
