Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Anqi Yu,45.0,10.0,1.0,5.0,6.0,4.0,3.0,1.0,1.0,5.0,1.0,2.0,1.0,4.0,1.0
2.0,Ivaylo Ivaylov Vichev,50.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,10.0,1.0,5.0,2.0,14.0
3.0,Kaloyan Galabinov,85.0,14.0,13.0,3.0,3.0,2.0,1.0,3.0,3.0,7.0,10.0,3.0,13.0,5.0,5.0
4.0,George Enchev,99.0,3.0,5.0,2.0,2.0,9.0,6.0,3.0,3.0,3.0,10.0,15.0,8.0,27.0,3.0
5.0,Alexander Tenev,106.0,8.0,6.0,6.0,5.0,3.0,12.0,3.0,3.0,1.0,10.0,15.0,6.0,22.0,6.0
6.0,Svetoslav Velchev,171.0,6.0,4.0,8.0,8.0,18.0,12.0,3.0,3.0,14.0,10.0,15.0,10.0,46.0,14.0
7.0,Velin Krasimirov Kozhuharov,184.0,25.0,24.0,24.0,27.0,18.0,12.0,3.0,3.0,12.0,4.0,15.0,4.0,3.0,10.0
8.0,Petar Petrov Konstantinov,204.0,7.0,23.0,4.0,4.0,7.0,5.0,3.0,3.0,6.0,10.0,4.0,43.0,71.0,14.0
9.0,Alexander Kolev,232.0,36.0,29.0,9.0,10.0,18.0,12.0,3.0,3.0,29.0,10.0,15.0,2.0,42.0,14.0
10.0,Nikola Pavlovski,241.0,16.0,14.0,36.0,21.0,18.0,12.0,3.0,3.0,4.0,10.0,15.0,66.0,9.0,14.0
11.0,Esra Mehmedova,245.0,13.0,17.0,68.0,39.0,18.0,12.0,2.0,2.0,10.0,10.0,15.0,18.0,7.0,14.0
12.0,Yoan Pavlov Ivanov,269.0,21.0,11.0,32.0,39.0,18.0,12.0,3.0,3.0,22.0,10.0,15.0,31.0,38.0,14.0
13.0,Alexander Richetta,274.0,9.0,50.0,27.0,22.0,18.0,12.0,3.0,3.0,40.0,6.0,9.0,45.0,26.0,4.0
13.0,Valentina Ivanova Ivanova,274.0,17.0,101.0,15.0,14.0,18.0,12.0,3.0,3.0,30.0,10.0,15.0,15.0,12.0,9.0
15.0,Damyan Ivaylov Minchev,291.0,65.0,53.0,18.0,19.0,18.0,4.0,3.0,3.0,28.0,10.0,5.0,30.0,21.0,14.0
16.0,Nikolay Stoyanov,307.0,32.0,67.0,26.0,39.0,18.0,12.0,3.0,3.0,17.0,10.0,15.0,34.0,17.0,14.0
