Rank,name,Sum,333,222,444,333oh,pyram,skewb,sq1
1.0,Nguon Vaddhanak,34.0,2.0,4.0,1.0,5.0,11.0,9.0,2.0
2.0,Chhun Seraden,35.0,5.0,2.0,7.0,4.0,6.0,9.0,2.0
3.0,Sean Sothearath,38.0,12.0,3.0,2.0,11.0,8.0,1.0,1.0
4.0,Mork Vanna,41.0,4.0,6.0,3.0,1.0,16.0,9.0,2.0
5.0,Kimchour Luy,42.0,8.0,5.0,14.0,6.0,1.0,6.0,2.0
6.0,Nuon Sophearith,44.0,10.0,9.0,6.0,11.0,2.0,4.0,2.0
7.0,Setha Sam,56.0,1.0,1.0,16.0,11.0,16.0,9.0,2.0
8.0,Roeu Niko Zunaro,59.0,6.0,10.0,9.0,7.0,16.0,9.0,2.0
9.0,Te Kimchhay,60.0,3.0,16.0,11.0,3.0,16.0,9.0,2.0
9.0,Ly Lichhean,60.0,7.0,11.0,4.0,11.0,16.0,9.0,2.0
11.0,Piseth Sokmeng,66.0,14.0,8.0,16.0,8.0,16.0,2.0,2.0
12.0,Tongheng Chhayly,68.0,13.0,12.0,5.0,11.0,16.0,9.0,2.0
13.0,Hathraksa Duong,73.0,18.0,7.0,10.0,11.0,16.0,9.0,2.0
14.0,Bonheng Siev,79.0,14.0,14.0,13.0,11.0,16.0,9.0,2.0
15.0,Robert Bot,88.0,19.0,15.0,16.0,11.0,16.0,9.0,2.0
15.0,Yuth Monyoudom,88.0,9.0,34.0,16.0,2.0,16.0,9.0,2.0
17.0,Amarin Ouk,89.0,25.0,22.0,16.0,11.0,4.0,9.0,2.0
18.0,Sean Oudom,95.0,23.0,18.0,16.0,11.0,16.0,9.0,2.0
19.0,Nov Panha,99.0,29.0,20.0,12.0,11.0,16.0,9.0,2.0
19.0,Chea Van Panharith,99.0,26.0,19.0,16.0,11.0,16.0,9.0,2.0
19.0,Noue Panharong,99.0,22.0,23.0,16.0,11.0,16.0,9.0,2.0
19.0,Keat Khemreach,99.0,11.0,34.0,16.0,11.0,16.0,9.0,2.0
23.0,Kuch Sovannkiry,102.0,30.0,27.0,16.0,11.0,7.0,9.0,2.0
23.0,Kheang Prosithreach,102.0,16.0,34.0,16.0,9.0,16.0,9.0,2.0
25.0,Theng Yhong,104.0,33.0,29.0,16.0,11.0,10.0,3.0,2.0
26.0,Penn Phuthunn,105.0,17.0,34.0,16.0,11.0,16.0,9.0,2.0
27.0,Ungchea Rithikmonin,106.0,27.0,25.0,16.0,11.0,16.0,9.0,2.0
27.0,Sok Serey Panha,106.0,36.0,30.0,16.0,10.0,5.0,7.0,2.0
29.0,Thun Sovannroth,108.0,39.0,24.0,15.0,11.0,12.0,5.0,2.0
29.0,Keat Amrin,108.0,20.0,34.0,16.0,11.0,16.0,9.0,2.0
31.0,Chhay Samsak,109.0,21.0,34.0,16.0,11.0,16.0,9.0,2.0
32.0,Sin Chankrisna,110.0,37.0,26.0,16.0,11.0,9.0,9.0,2.0
33.0,Luy Orn,112.0,53.0,13.0,8.0,11.0,16.0,9.0,2.0
33.0,Sun Chaney,112.0,24.0,34.0,16.0,11.0,16.0,9.0,2.0
35.0,Torbheng Vitu,113.0,40.0,32.0,16.0,11.0,3.0,9.0,2.0
36.0,Ro Atithya,116.0,38.0,28.0,16.0,11.0,13.0,8.0,2.0
36.0,Long Peakdey,116.0,41.0,21.0,16.0,11.0,16.0,9.0,2.0
36.0,Vicheth Ratanak Sambath,116.0,28.0,34.0,16.0,11.0,16.0,9.0,2.0
39.0,Phai Phasal,119.0,31.0,34.0,16.0,11.0,16.0,9.0,2.0
40.0,Jamal Nasir Abgari,120.0,32.0,34.0,16.0,11.0,16.0,9.0,2.0
41.0,Oul Kimhak,122.0,34.0,34.0,16.0,11.0,16.0,9.0,2.0
42.0,Jamal Nasir Abrar,123.0,35.0,34.0,16.0,11.0,16.0,9.0,2.0
43.0,Pov Visoth Lee,124.0,53.0,17.0,16.0,11.0,16.0,9.0,2.0
44.0,Dy Alisha,130.0,42.0,34.0,16.0,11.0,16.0,9.0,2.0
44.0,Phuong Khemarak,130.0,46.0,31.0,16.0,11.0,15.0,9.0,2.0
46.0,Phearom Rithysak,131.0,43.0,34.0,16.0,11.0,16.0,9.0,2.0
47.0,Meng Leanghuy,132.0,44.0,34.0,16.0,11.0,16.0,9.0,2.0
48.0,Heng Virak Vuth,133.0,45.0,34.0,16.0,11.0,16.0,9.0,2.0
49.0,SreyKim Mom,135.0,50.0,33.0,16.0,11.0,14.0,9.0,2.0
49.0,Chea Rotanakvisal,135.0,47.0,34.0,16.0,11.0,16.0,9.0,2.0
51.0,Daniel Yiv,136.0,48.0,34.0,16.0,11.0,16.0,9.0,2.0
52.0,AN Tepvisoth,137.0,49.0,34.0,16.0,11.0,16.0,9.0,2.0
53.0,Richard Yiv,139.0,51.0,34.0,16.0,11.0,16.0,9.0,2.0
54.0,Boung Eang Chorng,140.0,52.0,34.0,16.0,11.0,16.0,9.0,2.0
