Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,Felipe Medel,37.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,7.0,3.0,1.0,3.0
2.0,Jose Basaes,107.0,7.0,1.0,5.0,5.0,9.0,8.0,16.0,9.0,6.0,8.0,9.0,9.0,2.0,10.0,3.0
3.0,Nicolás Irenco Peña Henríquez,140.0,3.0,3.0,3.0,7.0,8.0,32.0,16.0,9.0,2.0,17.0,8.0,14.0,6.0,9.0,3.0
4.0,Maximiliano Perez Madrid,146.0,11.0,18.0,6.0,4.0,5.0,11.0,16.0,9.0,11.0,10.0,15.0,2.0,7.0,18.0,3.0
5.0,Cristóbal Opazo Bravo,269.0,26.0,13.0,36.0,34.0,27.0,32.0,16.0,9.0,22.0,1.0,17.0,5.0,14.0,14.0,3.0
6.0,Erick Lemus Fuentes,273.0,13.0,57.0,15.0,3.0,3.0,2.0,9.0,9.0,18.0,28.0,18.0,26.0,46.0,23.0,3.0
7.0,Rodrigo Lucas Pardo,283.0,4.0,4.0,12.0,11.0,17.0,20.0,7.0,9.0,19.0,40.0,2.0,40.0,48.0,47.0,3.0
8.0,Michael Fonseca,299.0,38.0,7.0,39.0,29.0,56.0,32.0,16.0,9.0,29.0,2.0,7.0,3.0,1.0,28.0,3.0
9.0,Vicente Astroza,313.0,27.0,42.0,23.0,20.0,12.0,4.0,16.0,9.0,12.0,12.0,6.0,56.0,58.0,13.0,3.0
10.0,Benjamín González Camus,343.0,17.0,25.0,7.0,10.0,6.0,5.0,16.0,9.0,62.0,40.0,14.0,68.0,35.0,26.0,3.0
11.0,Gabriel Ignacio Fernández Albarracin,377.0,49.0,56.0,25.0,23.0,16.0,14.0,16.0,9.0,27.0,40.0,21.0,47.0,12.0,19.0,3.0
12.0,Cristián Bustos Jaque,418.0,14.0,11.0,19.0,31.0,32.0,32.0,16.0,9.0,39.0,24.0,23.0,11.0,88.0,66.0,3.0
13.0,Renata Francisca De La Fuente Ábalos.,427.0,51.0,9.0,49.0,32.0,25.0,32.0,16.0,9.0,102.0,4.0,22.0,8.0,15.0,50.0,3.0
14.0,Diego Antonio Avila Pino,433.0,60.0,33.0,45.0,33.0,14.0,10.0,16.0,9.0,45.0,40.0,20.0,22.0,40.0,43.0,3.0
15.0,Raúl Low Beattie,455.0,41.0,49.0,56.0,62.0,43.0,27.0,16.0,9.0,49.0,6.0,10.0,69.0,13.0,2.0,3.0
16.0,Iván Pérez,475.0,23.0,8.0,27.0,25.0,21.0,18.0,16.0,9.0,13.0,40.0,117.0,13.0,17.0,125.0,3.0
17.0,Diego Alonso Tapia Mera,487.0,28.0,17.0,52.0,39.0,48.0,32.0,16.0,1.0,9.0,40.0,59.0,39.0,33.0,71.0,3.0
18.0,Emilio Eleodoro Ramírez Lahsen,491.0,8.0,21.0,32.0,22.0,38.0,32.0,16.0,8.0,16.0,40.0,66.0,153.0,32.0,4.0,3.0
19.0,Alan Guillermo Crespo Bahamondes,501.0,10.0,29.0,14.0,35.0,23.0,32.0,16.0,9.0,4.0,40.0,26.0,102.0,105.0,53.0,3.0
20.0,Diego Barrera,529.0,75.0,60.0,24.0,17.0,7.0,9.0,16.0,9.0,81.0,25.0,50.0,66.0,81.0,6.0,3.0
21.0,Martín Nicolás Fernández Olavarría,530.0,63.0,6.0,43.0,24.0,24.0,32.0,16.0,9.0,57.0,40.0,44.0,118.0,44.0,7.0,3.0
22.0,Francisco Rosales,541.0,35.0,23.0,76.0,76.0,56.0,32.0,16.0,9.0,72.0,40.0,51.0,41.0,8.0,3.0,3.0
23.0,Manuel Ernesto Torres Vega,544.0,104.0,75.0,37.0,26.0,51.0,32.0,16.0,9.0,40.0,40.0,29.0,58.0,16.0,8.0,3.0
24.0,Gabriel Alonso Ibáñez Miranda,550.0,47.0,12.0,53.0,54.0,35.0,32.0,16.0,5.0,24.0,20.0,31.0,18.0,75.0,125.0,3.0
25.0,José Garrido,584.0,19.0,14.0,13.0,18.0,19.0,12.0,16.0,4.0,20.0,7.0,19.0,157.0,138.0,125.0,3.0
26.0,Claudio Matias Cancino Bruna,644.0,2.0,19.0,2.0,1.0,2.0,3.0,16.0,9.0,1.0,40.0,30.0,182.0,209.0,125.0,3.0
27.0,Martín Arturo González Asenjo,649.0,148.0,53.0,65.0,47.0,42.0,32.0,16.0,9.0,90.0,27.0,41.0,52.0,19.0,5.0,3.0
28.0,Israel Parada,686.0,103.0,33.0,99.0,71.0,56.0,32.0,16.0,9.0,34.0,40.0,64.0,78.0,36.0,12.0,3.0
29.0,Leonardo Manriquez Rifo,696.0,64.0,50.0,30.0,41.0,29.0,16.0,16.0,9.0,100.0,40.0,12.0,45.0,209.0,32.0,3.0
30.0,Mariam Beatriz Moya Palta,734.0,67.0,220.0,28.0,15.0,11.0,32.0,16.0,9.0,41.0,40.0,16.0,107.0,95.0,34.0,3.0
31.0,Matias Israel Roa Lavin,750.0,80.0,43.0,97.0,94.0,56.0,32.0,16.0,9.0,66.0,40.0,38.0,17.0,34.0,125.0,3.0
32.0,Graciela Antonia Araneda Cartes,756.0,21.0,27.0,63.0,149.0,56.0,32.0,16.0,9.0,30.0,40.0,117.0,12.0,56.0,125.0,3.0
33.0,Juan Jose Altamirano,758.0,50.0,97.0,111.0,85.0,56.0,32.0,16.0,9.0,33.0,40.0,24.0,123.0,25.0,54.0,3.0
34.0,Bastián Alfonso Yáñez Inostroza,765.0,53.0,62.0,20.0,43.0,56.0,32.0,16.0,9.0,17.0,40.0,37.0,43.0,209.0,125.0,3.0
35.0,Gonzalo Espejo Navarrete,774.0,73.0,106.0,79.0,77.0,56.0,32.0,16.0,9.0,28.0,40.0,117.0,76.0,31.0,31.0,3.0
36.0,Sebastián Urbina,806.0,56.0,80.0,21.0,27.0,56.0,32.0,16.0,9.0,44.0,40.0,5.0,83.0,209.0,125.0,3.0
37.0,Javier Del Valle Denegri,811.0,100.0,47.0,143.0,61.0,56.0,32.0,16.0,9.0,108.0,40.0,27.0,61.0,11.0,97.0,3.0
38.0,Ignacio Ortiz,822.0,71.0,59.0,89.0,124.0,56.0,32.0,16.0,9.0,105.0,40.0,74.0,96.0,28.0,20.0,3.0
39.0,Bastián Palma Rodríguez,824.0,52.0,64.0,10.0,14.0,13.0,6.0,16.0,9.0,115.0,40.0,47.0,169.0,209.0,57.0,3.0
40.0,Yerko Matias Serrano Cabezas,868.0,29.0,58.0,9.0,9.0,56.0,32.0,16.0,9.0,23.0,40.0,117.0,133.0,209.0,125.0,3.0
41.0,José Luis Alejandro Rivera Araya,899.0,25.0,143.0,34.0,55.0,56.0,32.0,16.0,9.0,129.0,40.0,13.0,10.0,209.0,125.0,3.0
41.0,Leopoldo Andrés Ibarra Fuentes,899.0,6.0,129.0,17.0,48.0,56.0,32.0,16.0,9.0,5.0,40.0,1.0,269.0,209.0,59.0,3.0
43.0,Gustavo Ignacio Pineda Gonzalez,908.0,22.0,16.0,35.0,149.0,56.0,32.0,16.0,6.0,26.0,40.0,40.0,221.0,209.0,37.0,3.0
44.0,Felipe Alexis Tiznado Fariña,932.0,55.0,50.0,71.0,49.0,56.0,32.0,16.0,9.0,52.0,40.0,72.0,193.0,209.0,25.0,3.0
45.0,Matias Alonso Steven Kohl Chamblas,953.0,38.0,92.0,122.0,149.0,56.0,32.0,16.0,9.0,91.0,40.0,117.0,34.0,29.0,125.0,3.0
46.0,Joaquín Mena Carmi,967.0,57.0,70.0,93.0,90.0,56.0,32.0,16.0,9.0,93.0,40.0,117.0,64.0,102.0,125.0,3.0
47.0,Ignacio Contreras,972.0,106.0,27.0,60.0,64.0,56.0,32.0,16.0,9.0,78.0,40.0,117.0,139.0,100.0,125.0,3.0
48.0,José Antonio Gaete Rozas-Peña,973.0,115.0,33.0,78.0,74.0,56.0,32.0,16.0,9.0,170.0,11.0,61.0,6.0,184.0,125.0,3.0
49.0,Álvaro Felipe Delgado Billig,974.0,94.0,41.0,120.0,80.0,56.0,32.0,16.0,9.0,71.0,40.0,54.0,257.0,22.0,79.0,3.0
50.0,Lucas Hodali Valdivia,979.0,76.0,9.0,108.0,149.0,56.0,32.0,16.0,9.0,92.0,40.0,117.0,211.0,9.0,52.0,3.0
51.0,Diego Sebastian Tilleria Beltrán,983.0,11.0,66.0,11.0,12.0,22.0,19.0,16.0,9.0,7.0,40.0,11.0,551.0,127.0,78.0,3.0
52.0,Pedro Agustín Mora Pérez,986.0,34.0,171.0,41.0,70.0,56.0,32.0,16.0,9.0,111.0,40.0,46.0,23.0,209.0,125.0,3.0
53.0,Javier Eduardo Parra Alarcón,990.0,43.0,5.0,40.0,50.0,56.0,32.0,16.0,9.0,15.0,40.0,117.0,331.0,108.0,125.0,3.0
54.0,Javiera Canelo Chacana,1000.0,101.0,43.0,170.0,149.0,56.0,32.0,16.0,9.0,175.0,40.0,65.0,75.0,45.0,21.0,3.0
55.0,Diego Garrido,1003.0,54.0,66.0,77.0,36.0,46.0,32.0,16.0,9.0,21.0,40.0,90.0,359.0,63.0,91.0,3.0
56.0,Santiago Antonio Jofré Montano,1009.0,142.0,96.0,170.0,107.0,56.0,32.0,16.0,9.0,65.0,40.0,52.0,49.0,47.0,125.0,3.0
57.0,Jaime Aguilera,1011.0,155.0,254.0,31.0,51.0,26.0,13.0,16.0,9.0,88.0,40.0,33.0,186.0,79.0,27.0,3.0
58.0,Danilo Toro Nieto,1012.0,148.0,84.0,185.0,52.0,33.0,21.0,5.0,9.0,110.0,5.0,62.0,158.0,107.0,30.0,3.0
59.0,Diego Poblete,1013.0,45.0,90.0,50.0,46.0,36.0,32.0,16.0,9.0,43.0,40.0,32.0,285.0,161.0,125.0,3.0
60.0,Sebastian Miranda,1014.0,88.0,68.0,159.0,149.0,56.0,32.0,16.0,9.0,131.0,40.0,117.0,88.0,42.0,16.0,3.0
61.0,Jorge Maulen Martinez,1018.0,71.0,20.0,112.0,136.0,56.0,32.0,16.0,9.0,82.0,9.0,101.0,37.0,209.0,125.0,3.0
62.0,Jael Esperanza Osorio Galaz,1020.0,91.0,39.0,82.0,149.0,56.0,32.0,16.0,9.0,215.0,40.0,117.0,28.0,18.0,125.0,3.0
63.0,Felipe Ignacio Bastidas Lopez,1032.0,110.0,117.0,75.0,101.0,56.0,32.0,16.0,9.0,120.0,40.0,117.0,42.0,156.0,38.0,3.0
64.0,Daniel Lépez,1044.0,124.0,153.0,64.0,58.0,56.0,32.0,16.0,9.0,51.0,40.0,117.0,27.0,209.0,85.0,3.0
65.0,Alex Mauricio Aguilera Espinoza,1050.0,139.0,132.0,51.0,59.0,56.0,32.0,16.0,9.0,85.0,40.0,117.0,65.0,121.0,125.0,3.0
66.0,Martín Mercado,1058.0,87.0,47.0,42.0,45.0,40.0,32.0,16.0,9.0,63.0,40.0,35.0,373.0,209.0,17.0,3.0
