Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Yibo Wang (王奕博),664.0,27.0,45.0,11.0,6.0,11.0,49.0,231.0,76.0,3.0,38.0,7.0,13.0,41.0,77.0,17.0,12.0
2.0,Zhiyuan Ma (马之元),708.0,58.0,12.0,28.0,25.0,58.0,63.0,10.0,25.0,42.0,89.0,48.0,135.0,18.0,68.0,17.0,12.0
3.0,Sheng Cao (曹晟),768.0,69.0,134.0,20.0,13.0,15.0,16.0,30.0,124.0,23.0,68.0,18.0,85.0,66.0,58.0,17.0,12.0
4.0,Xingkai Yin (尹星凯),931.0,71.0,23.0,59.0,62.0,77.0,53.0,231.0,45.0,21.0,69.0,8.0,11.0,37.0,135.0,17.0,12.0
5.0,Max Xiong (熊锐明),1072.0,54.0,87.0,4.0,4.0,2.0,3.0,104.0,19.0,15.0,212.0,46.0,310.0,117.0,71.0,12.0,12.0
6.0,Xinyun Chen (陈新运),1134.0,67.0,37.0,79.0,34.0,34.0,40.0,33.0,138.0,112.0,177.0,64.0,106.0,86.0,98.0,17.0,12.0
7.0,Yunliang Zhang (张赟量),1155.0,31.0,74.0,42.0,20.0,24.0,44.0,231.0,58.0,17.0,108.0,2.0,184.0,132.0,159.0,17.0,12.0
8.0,Yunke Zhang (张云柯),1389.0,150.0,186.0,70.0,84.0,69.0,79.0,81.0,10.0,128.0,20.0,96.0,241.0,74.0,72.0,17.0,12.0
9.0,Xinjie Shi (施鑫杰),1565.0,93.0,63.0,97.0,36.0,132.0,90.0,231.0,152.0,186.0,71.0,205.0,37.0,40.0,103.0,17.0,12.0
10.0,Yinghao Wang (王鹰豪),1603.0,66.0,16.0,26.0,68.0,99.0,157.0,112.0,110.0,57.0,45.0,166.0,81.0,82.0,489.0,17.0,12.0
11.0,Kanting Shi (史勘霆),1620.0,109.0,92.0,41.0,113.0,47.0,45.0,231.0,266.0,85.0,49.0,57.0,163.0,213.0,80.0,17.0,12.0
12.0,Yu Feng (冯煜),1712.0,76.0,163.0,49.0,11.0,10.0,7.0,231.0,130.0,36.0,251.0,91.0,357.0,104.0,167.0,17.0,12.0
13.0,Xiaobin Rui (芮晓彬),1744.0,114.0,163.0,29.0,82.0,72.0,121.0,201.0,107.0,68.0,111.0,177.0,267.0,124.0,79.0,17.0,12.0
14.0,Chengyang Song (宋成阳),1770.0,33.0,31.0,35.0,79.0,93.0,145.0,231.0,171.0,50.0,175.0,128.0,267.0,97.0,206.0,17.0,12.0
15.0,Jiawei Wu (伍嘉维),1827.0,131.0,210.0,54.0,55.0,111.0,56.0,231.0,276.0,57.0,259.0,38.0,79.0,221.0,20.0,17.0,12.0
16.0,Aolin Tang (唐奥林),2091.0,127.0,144.0,106.0,56.0,100.0,134.0,231.0,392.0,40.0,98.0,12.0,398.0,119.0,105.0,17.0,12.0
17.0,Zhichun Li (李志纯),2320.0,103.0,150.0,58.0,169.0,189.0,146.0,170.0,138.0,410.0,348.0,43.0,157.0,86.0,124.0,17.0,12.0
18.0,Qijun Miao (缪其隽),2366.0,437.0,441.0,128.0,174.0,144.0,126.0,231.0,23.0,179.0,96.0,142.0,123.0,9.0,84.0,17.0,12.0
19.0,Jiazhou Li (李佳洲),2448.0,12.0,2.0,10.0,45.0,202.0,723.0,18.0,392.0,4.0,932.0,17.0,7.0,54.0,1.0,17.0,12.0
20.0,Junze Zhao (赵俊泽),2460.0,145.0,30.0,34.0,35.0,64.0,723.0,231.0,392.0,183.0,219.0,5.0,190.0,132.0,48.0,17.0,12.0
21.0,Xuechao Zhang (张学超),2473.0,115.0,80.0,81.0,97.0,167.0,723.0,231.0,392.0,18.0,177.0,93.0,120.0,147.0,3.0,17.0,12.0
21.0,Chengxiang Cui (崔程翔),2473.0,338.0,122.0,207.0,152.0,85.0,109.0,231.0,240.0,92.0,86.0,127.0,163.0,125.0,367.0,17.0,12.0
23.0,Yunqi Ouyang (欧阳韵奇),2493.0,521.0,273.0,200.0,172.0,79.0,91.0,55.0,14.0,448.0,73.0,156.0,235.0,103.0,51.0,11.0,11.0
24.0,Wenxuan Tang (唐文轩),2581.0,173.0,373.0,154.0,88.0,36.0,18.0,231.0,392.0,214.0,200.0,136.0,112.0,166.0,259.0,17.0,12.0
25.0,Bo Wang (王擘),2676.0,124.0,92.0,45.0,22.0,23.0,75.0,231.0,28.0,125.0,614.0,372.0,337.0,409.0,150.0,17.0,12.0
26.0,Zijia Feng (冯子甲),2696.0,206.0,174.0,39.0,149.0,636.0,55.0,194.0,32.0,306.0,8.0,193.0,412.0,259.0,4.0,17.0,12.0
27.0,Qingbin Chen (陈庆斌),2726.0,137.0,31.0,115.0,204.0,81.0,185.0,82.0,71.0,39.0,402.0,549.0,145.0,436.0,220.0,17.0,12.0
