Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Hector David Martinez Argaez,153.0,5.0,12.0,6.0,6.0,5.0,8.0,24.0,4.0,14.0,17.0,16.0,16.0,15.0,1.0,2.0,2.0
2.0,Jose Carlos García Vélez,177.0,11.0,15.0,3.0,2.0,2.0,3.0,24.0,22.0,9.0,19.0,7.0,26.0,28.0,2.0,2.0,2.0
3.0,Michael Andres Castillo Lemus,194.0,1.0,21.0,1.0,4.0,4.0,10.0,24.0,10.0,5.0,51.0,6.0,21.0,20.0,12.0,2.0,2.0
4.0,José Leonardo Chaparro Prieto,201.0,9.0,7.0,10.0,24.0,17.0,19.0,8.0,3.0,17.0,27.0,5.0,16.0,25.0,10.0,2.0,2.0
5.0,Oscar Nieto,230.0,18.0,4.0,17.0,15.0,11.0,7.0,7.0,13.0,22.0,37.0,18.0,24.0,6.0,27.0,2.0,2.0
6.0,Gabriel Santiago Velez Gonzalez,280.0,3.0,38.0,2.0,1.0,1.0,1.0,24.0,5.0,2.0,30.0,4.0,70.0,71.0,24.0,2.0,2.0
7.0,Julian Alejandro Forero Gonzalez,289.0,62.0,3.0,16.0,10.0,10.0,4.0,3.0,25.0,53.0,10.0,24.0,27.0,14.0,26.0,1.0,1.0
8.0,Stiven Ortiz,333.0,21.0,32.0,14.0,23.0,30.0,32.0,24.0,41.0,40.0,14.0,9.0,20.0,21.0,8.0,2.0,2.0
9.0,Daniel Cano Salgado,372.0,23.0,29.0,19.0,18.0,21.0,18.0,16.0,16.0,12.0,5.0,31.0,58.0,77.0,25.0,2.0,2.0
10.0,Alejandro Restrepo Echeverri,385.0,26.0,38.0,26.0,31.0,22.0,72.0,24.0,41.0,54.0,8.0,13.0,9.0,1.0,16.0,2.0,2.0
11.0,Jhon Edinson Arias Parra,429.0,51.0,51.0,13.0,13.0,7.0,5.0,24.0,7.0,38.0,31.0,28.0,49.0,78.0,30.0,2.0,2.0
12.0,Ramses Amaya,482.0,12.0,16.0,20.0,125.0,107.0,72.0,2.0,19.0,23.0,32.0,10.0,5.0,17.0,18.0,2.0,2.0
13.0,Jose Daniel Cobo Torres,502.0,8.0,11.0,4.0,3.0,6.0,9.0,24.0,41.0,33.0,73.0,1.0,217.0,36.0,32.0,2.0,2.0
14.0,José David Rendón Martínez,524.0,15.0,37.0,15.0,36.0,107.0,72.0,24.0,31.0,16.0,40.0,14.0,44.0,2.0,67.0,2.0,2.0
15.0,Renzo Rodriguez Moreno,528.0,19.0,31.0,11.0,25.0,38.0,44.0,24.0,10.0,52.0,124.0,8.0,28.0,45.0,65.0,2.0,2.0
16.0,Luis Angel Contreras Ospina,555.0,42.0,23.0,28.0,27.0,24.0,25.0,24.0,41.0,7.0,54.0,65.0,22.0,43.0,126.0,2.0,2.0
17.0,Felipe Rueda Hernández,571.0,14.0,61.0,21.0,20.0,31.0,30.0,24.0,7.0,46.0,61.0,2.0,65.0,114.0,71.0,2.0,2.0
18.0,Nicolás Shwkyng Monroy,575.0,31.0,45.0,29.0,21.0,25.0,23.0,24.0,24.0,30.0,23.0,78.0,101.0,51.0,66.0,2.0,2.0
