Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Michael Zúñiga Meléndez,70.0,4.0,1.0,1.0,1.0,2.0,11.0,3.0,2.0,7.0,8.0,4.0,9.0,8.0,9.0
2.0,Kyle McDonald Trejos,73.0,12.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,8.0,8.0,8.0,6.0,9.0,8.0
3.0,Christian Rodríguez,93.0,2.0,5.0,4.0,8.0,8.0,11.0,3.0,2.0,1.0,5.0,14.0,21.0,5.0,4.0
4.0,Dagne Poveda,95.0,13.0,11.0,13.0,9.0,6.0,4.0,3.0,2.0,18.0,2.0,2.0,3.0,3.0,6.0
5.0,David Calderón Arce,120.0,5.0,8.0,12.0,20.0,7.0,11.0,3.0,2.0,5.0,8.0,1.0,2.0,4.0,32.0
6.0,Andres Sanchez Ponce,123.0,6.0,13.0,10.0,15.0,11.0,11.0,3.0,2.0,21.0,3.0,6.0,11.0,6.0,5.0
7.0,Sebastián Herrera Pomares,127.0,16.0,9.0,2.0,3.0,5.0,3.0,3.0,2.0,16.0,8.0,19.0,13.0,17.0,11.0
8.0,Jefferson Fallas Rojas,134.0,17.0,15.0,9.0,5.0,3.0,2.0,3.0,2.0,11.0,8.0,10.0,15.0,24.0,10.0
9.0,Carlos Andres Gonzaga,154.0,11.0,4.0,17.0,19.0,17.0,11.0,3.0,2.0,3.0,8.0,3.0,10.0,28.0,18.0
10.0,Andrés Irías Li,168.0,2.0,14.0,11.0,10.0,13.0,7.0,2.0,1.0,9.0,4.0,20.0,36.0,20.0,19.0
11.0,Andres Daniel Navarro Flores,172.0,21.0,16.0,24.0,21.0,17.0,11.0,3.0,2.0,20.0,8.0,7.0,19.0,2.0,1.0
12.0,Sebastian Guerrero,203.0,23.0,21.0,25.0,16.0,12.0,8.0,3.0,2.0,19.0,1.0,11.0,23.0,23.0,16.0
13.0,Isaí Abarca Smith,210.0,22.0,18.0,5.0,4.0,17.0,6.0,3.0,2.0,26.0,8.0,53.0,1.0,13.0,32.0
14.0,Jostin Alvarez,216.0,7.0,3.0,15.0,6.0,10.0,5.0,3.0,2.0,2.0,8.0,15.0,40.0,68.0,32.0
15.0,Daniel Sibaja Salazar,219.0,15.0,6.0,23.0,17.0,16.0,11.0,3.0,2.0,40.0,8.0,24.0,32.0,7.0,15.0
16.0,Alejandro Hernández Arce,224.0,14.0,30.0,16.0,12.0,17.0,11.0,3.0,2.0,17.0,8.0,17.0,30.0,30.0,17.0
17.0,Bryan Sales,233.0,24.0,12.0,31.0,36.0,17.0,11.0,3.0,2.0,12.0,8.0,25.0,4.0,19.0,29.0
18.0,Andrey Lopez Rodríguez,259.0,20.0,16.0,14.0,13.0,14.0,10.0,3.0,2.0,33.0,8.0,5.0,49.0,40.0,32.0
19.0,Jose Daniel Solano Rodríguez,260.0,40.0,25.0,29.0,26.0,17.0,11.0,3.0,2.0,34.0,8.0,29.0,20.0,14.0,2.0
20.0,Aarón Alfaro Navarro,281.0,8.0,45.0,8.0,7.0,4.0,11.0,3.0,2.0,70.0,8.0,30.0,48.0,16.0,21.0
21.0,Jason Conejo Aguilar,282.0,9.0,26.0,18.0,51.0,17.0,11.0,3.0,2.0,25.0,8.0,13.0,5.0,64.0,30.0
22.0,Andrés Hernández Cabrera,302.0,30.0,31.0,21.0,33.0,17.0,11.0,3.0,2.0,14.0,8.0,53.0,25.0,22.0,32.0
23.0,Byron Ortiz Rojas,305.0,33.0,42.0,28.0,51.0,17.0,11.0,3.0,2.0,30.0,8.0,9.0,24.0,25.0,22.0
24.0,Brandon Alejandro Carpio Garita,310.0,47.0,35.0,54.0,46.0,17.0,11.0,3.0,2.0,44.0,8.0,21.0,18.0,1.0,3.0
25.0,Dilan Masis Alfaro,325.0,45.0,10.0,35.0,24.0,17.0,11.0,3.0,2.0,59.0,6.0,22.0,16.0,43.0,32.0
26.0,Eduardo José Poveda Rojas,336.0,19.0,7.0,45.0,38.0,17.0,11.0,1.0,2.0,4.0,8.0,35.0,62.0,59.0,28.0
27.0,Jeferson Salazar Zambrana,355.0,29.0,47.0,22.0,23.0,17.0,11.0,3.0,2.0,31.0,8.0,12.0,33.0,85.0,32.0
28.0,Dereck Arrieta Zuñiga,361.0,38.0,57.0,40.0,28.0,15.0,11.0,3.0,2.0,36.0,8.0,32.0,44.0,15.0,32.0
29.0,Ronald Ocampo Martínez,378.0,33.0,37.0,39.0,49.0,17.0,11.0,3.0,2.0,37.0,8.0,36.0,53.0,33.0,20.0
29.0,Juan Andrés Montero Zúñiga,378.0,55.0,51.0,36.0,30.0,17.0,11.0,3.0,2.0,40.0,8.0,18.0,12.0,63.0,32.0
31.0,Caleb Aguirre Arias,389.0,61.0,20.0,53.0,51.0,17.0,11.0,3.0,2.0,50.0,8.0,16.0,30.0,35.0,32.0
32.0,Jonathan Sanchez Solis,400.0,70.0,27.0,59.0,51.0,17.0,11.0,3.0,2.0,51.0,8.0,44.0,7.0,18.0,32.0
33.0,Sebastián Chaves,402.0,77.0,53.0,41.0,51.0,17.0,11.0,3.0,2.0,23.0,8.0,23.0,44.0,37.0,12.0
34.0,Melvin Ariel Rojas Hernández,410.0,42.0,33.0,67.0,51.0,17.0,11.0,3.0,2.0,38.0,8.0,34.0,36.0,36.0,32.0
35.0,David Alfaro Estrada,411.0,18.0,24.0,26.0,50.0,17.0,11.0,3.0,2.0,42.0,8.0,46.0,87.0,45.0,32.0
36.0,Daniel Josué Sandí Alvarado,417.0,1.0,18.0,7.0,14.0,17.0,11.0,3.0,2.0,6.0,8.0,53.0,149.0,96.0,32.0
37.0,Adoni Chaves Artiaga,433.0,43.0,82.0,30.0,11.0,9.0,9.0,3.0,2.0,60.0,8.0,28.0,88.0,46.0,14.0
38.0,Kenneth Sancho,444.0,50.0,55.0,32.0,31.0,17.0,11.0,3.0,2.0,24.0,8.0,53.0,96.0,39.0,23.0
39.0,David Herrera Castro,446.0,10.0,31.0,6.0,18.0,17.0,11.0,3.0,2.0,10.0,8.0,53.0,149.0,96.0,32.0
40.0,Ethan Benavides Segura,447.0,51.0,34.0,79.0,51.0,17.0,11.0,3.0,2.0,48.0,8.0,53.0,29.0,29.0,32.0
41.0,Wilson Chavarria,473.0,68.0,83.0,44.0,37.0,17.0,11.0,3.0,2.0,58.0,8.0,53.0,70.0,12.0,7.0
42.0,Andrew Infante Oviedo,483.0,57.0,67.0,47.0,22.0,17.0,11.0,3.0,2.0,47.0,8.0,53.0,93.0,32.0,24.0
43.0,Sebastián Fonseca Vargas,484.0,106.0,22.0,61.0,51.0,17.0,11.0,3.0,2.0,81.0,8.0,39.0,41.0,10.0,32.0
44.0,Jose Gabriel Alvarez Castrillo,487.0,30.0,62.0,43.0,51.0,17.0,11.0,3.0,2.0,32.0,8.0,53.0,47.0,96.0,32.0
45.0,Gerson Umaña Nuñez,489.0,49.0,45.0,37.0,29.0,17.0,11.0,3.0,2.0,13.0,8.0,53.0,121.0,69.0,32.0
46.0,Joel Núñez González,494.0,32.0,48.0,55.0,51.0,17.0,11.0,3.0,2.0,49.0,8.0,53.0,78.0,55.0,32.0
46.0,Ramsés Lall Ramírez,494.0,77.0,36.0,42.0,48.0,17.0,11.0,3.0,2.0,61.0,8.0,53.0,60.0,44.0,32.0
48.0,Sebastian Gonzalez,500.0,76.0,51.0,73.0,51.0,17.0,11.0,3.0,2.0,85.0,8.0,53.0,17.0,27.0,26.0
49.0,Jafeth Leiva Mejía,502.0,27.0,41.0,20.0,34.0,17.0,11.0,3.0,2.0,45.0,8.0,53.0,149.0,60.0,32.0
50.0,Bryan Miguel Espinoza Steller,506.0,82.0,54.0,49.0,51.0,17.0,11.0,3.0,2.0,68.0,8.0,53.0,26.0,50.0,32.0
51.0,Sebastián Kurzen Abarca,509.0,25.0,37.0,19.0,27.0,17.0,11.0,3.0,2.0,46.0,8.0,37.0,149.0,96.0,32.0
52.0,Antonio Bastos Fonseca,517.0,36.0,79.0,33.0,51.0,17.0,11.0,3.0,2.0,91.0,8.0,27.0,75.0,52.0,32.0
53.0,Sebastian Díaz Rodríguez,521.0,54.0,49.0,56.0,35.0,17.0,11.0,3.0,2.0,54.0,8.0,31.0,149.0,20.0,32.0
54.0,Dennis Sanchez,523.0,84.0,22.0,27.0,51.0,17.0,11.0,3.0,2.0,91.0,8.0,53.0,26.0,96.0,32.0
55.0,Kristian Jesús Guadamuz Chinchilla,525.0,63.0,56.0,52.0,41.0,17.0,11.0,3.0,2.0,28.0,8.0,53.0,117.0,42.0,32.0
56.0,Jael Fabricio Quintero Calderón,534.0,111.0,50.0,89.0,51.0,17.0,11.0,3.0,2.0,91.0,8.0,26.0,14.0,48.0,13.0
57.0,Nahúm Briceño Araya,553.0,26.0,67.0,64.0,51.0,17.0,11.0,3.0,2.0,29.0,8.0,53.0,94.0,96.0,32.0
58.0,Tyronne Granados Alvarado,560.0,85.0,85.0,66.0,45.0,17.0,11.0,3.0,2.0,56.0,8.0,33.0,42.0,75.0,32.0
59.0,Esteban Gutiérrez Rojas,569.0,66.0,60.0,89.0,51.0,17.0,11.0,3.0,2.0,91.0,8.0,53.0,39.0,47.0,32.0
60.0,Luis David Richmond Soto,573.0,64.0,40.0,51.0,44.0,17.0,11.0,3.0,2.0,75.0,8.0,50.0,114.0,62.0,32.0
61.0,Josué Hidalgo,579.0,58.0,61.0,82.0,51.0,17.0,11.0,3.0,2.0,67.0,8.0,53.0,56.0,78.0,32.0
62.0,Kevin Hernández Valerín,582.0,52.0,97.0,57.0,51.0,17.0,11.0,3.0,2.0,52.0,8.0,53.0,67.0,80.0,32.0
63.0,José Fernando Rivera Villalobos,589.0,81.0,98.0,63.0,51.0,17.0,11.0,3.0,2.0,69.0,8.0,38.0,49.0,67.0,32.0
64.0,Cristhian Osvaldo Chaves Ramírez,590.0,91.0,73.0,89.0,43.0,17.0,11.0,3.0,2.0,86.0,8.0,45.0,52.0,38.0,32.0
64.0,Arián Alvarado Vargas,590.0,35.0,98.0,50.0,42.0,17.0,11.0,3.0,2.0,74.0,8.0,53.0,69.0,96.0,32.0
66.0,Bryan Steve Jara Miranda,595.0,83.0,75.0,70.0,51.0,17.0,11.0,3.0,2.0,73.0,8.0,51.0,54.0,65.0,32.0
67.0,Sofía Méndez,597.0,28.0,94.0,38.0,51.0,17.0,11.0,3.0,2.0,15.0,8.0,53.0,149.0,96.0,32.0
67.0,Jimmy David Solís Delgado,597.0,69.0,105.0,68.0,39.0,17.0,11.0,3.0,2.0,43.0,8.0,53.0,65.0,82.0,32.0
69.0,Wilberth Gutierrez,599.0,71.0,29.0,89.0,25.0,17.0,11.0,3.0,2.0,91.0,8.0,53.0,72.0,96.0,32.0
