Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,David Vujasić,19.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0
2.0,Dominik Vidaković,67.0,4.0,7.0,5.0,5.0,2.0,3.0,6.0,3.0,4.0,6.0,3.0,5.0,2.0,12.0
3.0,Jakov Srečković,82.0,8.0,4.0,8.0,7.0,9.0,11.0,1.0,1.0,3.0,1.0,12.0,4.0,8.0,5.0
4.0,Matej Marković,94.0,5.0,10.0,3.0,6.0,5.0,8.0,4.0,7.0,7.0,10.0,7.0,7.0,11.0,4.0
5.0,Lucijan Cvijetović,109.0,7.0,2.0,6.0,3.0,4.0,2.0,6.0,7.0,13.0,10.0,9.0,16.0,7.0,17.0
6.0,Hrvoje Mavriček,125.0,3.0,14.0,9.0,24.0,9.0,11.0,6.0,7.0,9.0,10.0,12.0,3.0,5.0,3.0
7.0,Dominik Hoić,130.0,9.0,11.0,4.0,11.0,9.0,11.0,6.0,4.0,20.0,10.0,12.0,11.0,4.0,8.0
8.0,Nenad Marjanović,159.0,11.0,21.0,10.0,4.0,9.0,5.0,6.0,7.0,30.0,10.0,4.0,26.0,10.0,6.0
9.0,Sven Eder,165.0,10.0,12.0,19.0,24.0,9.0,11.0,6.0,7.0,10.0,10.0,12.0,12.0,6.0,17.0
10.0,Filip Premužić,186.0,28.0,8.0,15.0,24.0,9.0,11.0,6.0,7.0,19.0,4.0,12.0,14.0,13.0,16.0
11.0,Dante Vidas,212.0,13.0,17.0,17.0,14.0,9.0,11.0,6.0,7.0,16.0,10.0,12.0,45.0,18.0,17.0
12.0,Lovro Gladić,218.0,19.0,43.0,21.0,12.0,9.0,11.0,6.0,7.0,22.0,10.0,12.0,13.0,20.0,13.0
13.0,Luka Pirić,236.0,24.0,46.0,30.0,24.0,9.0,11.0,6.0,7.0,15.0,10.0,12.0,8.0,17.0,17.0
13.0,Domagoj Vukosavljević,236.0,16.0,24.0,14.0,13.0,9.0,11.0,6.0,7.0,26.0,10.0,10.0,22.0,59.0,9.0
15.0,Sven Seso,245.0,20.0,24.0,29.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,24.0,12.0,15.0
16.0,Luka Gabriel Čuljak,251.0,44.0,27.0,25.0,24.0,9.0,11.0,6.0,7.0,37.0,10.0,12.0,20.0,9.0,10.0
17.0,Nimai Kolega,255.0,29.0,6.0,37.0,19.0,9.0,11.0,6.0,7.0,31.0,10.0,12.0,39.0,22.0,17.0
17.0,Jakov Kesić,255.0,15.0,15.0,22.0,24.0,9.0,11.0,6.0,7.0,21.0,10.0,12.0,31.0,61.0,11.0
19.0,Petar Cicmir,262.0,48.0,9.0,43.0,24.0,9.0,11.0,6.0,7.0,33.0,8.0,12.0,21.0,14.0,17.0
20.0,Andro Petrinjak,263.0,6.0,2.0,7.0,10.0,9.0,11.0,6.0,7.0,6.0,10.0,12.0,99.0,61.0,17.0
21.0,Borna Sudar,279.0,27.0,62.0,13.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,6.0,33.0,17.0
22.0,Toni Varga,281.0,18.0,18.0,18.0,21.0,9.0,11.0,3.0,7.0,24.0,10.0,12.0,55.0,58.0,17.0
23.0,Anto Markanović,284.0,26.0,36.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,10.0,26.0,17.0
24.0,Matija Higl,289.0,25.0,28.0,48.0,24.0,9.0,11.0,6.0,7.0,36.0,10.0,12.0,17.0,39.0,17.0
25.0,Jakov Kudeljnjak,295.0,41.0,48.0,48.0,24.0,9.0,11.0,6.0,7.0,14.0,10.0,12.0,29.0,19.0,17.0
26.0,Tibor Brestovac,299.0,14.0,28.0,23.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,53.0,43.0,17.0
27.0,Deny Čvek,305.0,45.0,37.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,23.0,14.0,17.0
27.0,Barbara Kralj,305.0,12.0,23.0,11.0,24.0,9.0,11.0,6.0,5.0,5.0,10.0,12.0,99.0,61.0,17.0
29.0,Hrvoje Šalavardić,308.0,35.0,47.0,48.0,24.0,9.0,11.0,6.0,7.0,17.0,10.0,12.0,36.0,29.0,17.0
30.0,Petar Arambašić,309.0,43.0,33.0,44.0,24.0,9.0,11.0,6.0,7.0,25.0,10.0,12.0,38.0,30.0,17.0
31.0,Renato Dean,310.0,22.0,16.0,16.0,9.0,6.0,6.0,6.0,7.0,23.0,10.0,12.0,99.0,61.0,17.0
32.0,Alex Drvenkar,312.0,21.0,55.0,35.0,22.0,9.0,11.0,6.0,7.0,18.0,10.0,12.0,28.0,61.0,17.0
33.0,Ivan Sabolek,313.0,54.0,40.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,5.0,24.0,16.0,17.0
33.0,Matej Salković,313.0,33.0,13.0,32.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,48.0,49.0,17.0
35.0,Duje Ćosić,328.0,34.0,52.0,24.0,15.0,9.0,11.0,5.0,7.0,29.0,10.0,12.0,42.0,61.0,17.0
36.0,Miroslav Delinac,329.0,47.0,61.0,28.0,18.0,8.0,10.0,6.0,7.0,42.0,3.0,12.0,9.0,61.0,17.0
37.0,Maja Ribičić,331.0,61.0,44.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,19.0,21.0,17.0
38.0,Filip Vuković,335.0,23.0,39.0,12.0,8.0,7.0,7.0,6.0,7.0,38.0,10.0,11.0,99.0,61.0,7.0
39.0,Ante Perić,337.0,16.0,26.0,27.0,24.0,9.0,11.0,6.0,7.0,12.0,10.0,12.0,99.0,61.0,17.0
40.0,Franko Gebauer,342.0,74.0,57.0,48.0,24.0,9.0,11.0,6.0,7.0,28.0,10.0,12.0,15.0,24.0,17.0
41.0,Leon Weiss,343.0,59.0,19.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,18.0,61.0,17.0
42.0,Luka Gredelj,344.0,31.0,32.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,67.0,28.0,17.0
42.0,Danijel Bajsić,344.0,68.0,35.0,38.0,16.0,9.0,11.0,6.0,7.0,42.0,10.0,6.0,35.0,44.0,17.0
44.0,Bartol Jurlina,352.0,30.0,33.0,36.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,54.0,61.0,17.0
45.0,Bruno Ivančić,356.0,56.0,31.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,47.0,36.0,17.0
46.0,Ivan Jeličić,361.0,49.0,38.0,33.0,20.0,9.0,9.0,6.0,7.0,27.0,10.0,12.0,63.0,61.0,17.0
47.0,Mateo Peršić,362.0,50.0,59.0,34.0,17.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,27.0,61.0,17.0
48.0,Luka Šneperger,364.0,64.0,54.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,33.0,27.0,17.0
48.0,Viktor Majdandžić,364.0,67.0,30.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,34.0,47.0,17.0
50.0,Nino Malenica,365.0,55.0,45.0,48.0,24.0,9.0,11.0,6.0,7.0,35.0,10.0,12.0,58.0,31.0,14.0
50.0,Luka Ružić,365.0,32.0,60.0,20.0,23.0,9.0,11.0,6.0,7.0,11.0,10.0,12.0,86.0,61.0,17.0
52.0,Gabrijel Boršo,368.0,52.0,20.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,49.0,61.0,17.0
53.0,Matija Patajac,387.0,37.0,56.0,48.0,24.0,9.0,11.0,6.0,6.0,8.0,10.0,12.0,82.0,61.0,17.0
54.0,Emanuel Vuković,396.0,51.0,74.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,32.0,53.0,17.0
55.0,Filip Babić,412.0,83.0,51.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,52.0,40.0,17.0
56.0,Karlo Crnek,415.0,42.0,49.0,26.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
57.0,Marko Šenk,417.0,38.0,42.0,39.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
58.0,Antonio Fran Štignjedec,418.0,60.0,52.0,48.0,24.0,9.0,11.0,6.0,7.0,39.0,10.0,12.0,62.0,61.0,17.0
59.0,Antonio Đurić,427.0,40.0,41.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
60.0,Ivan Lokas,431.0,39.0,79.0,31.0,24.0,9.0,11.0,6.0,7.0,34.0,10.0,12.0,91.0,61.0,17.0
60.0,Fran Žarko,431.0,87.0,82.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,30.0,46.0,17.0
62.0,Romin-Matejo Afghan,436.0,85.0,63.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,41.0,61.0,17.0
63.0,Filip Pavlić,438.0,114.0,22.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,65.0,51.0,17.0
64.0,Vigo Pernar,442.0,99.0,76.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,43.0,38.0,17.0
65.0,Karlo Adžić,444.0,76.0,86.0,46.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,37.0,61.0,17.0
66.0,Tristan Bakula,450.0,57.0,73.0,48.0,24.0,9.0,11.0,6.0,7.0,40.0,10.0,12.0,75.0,61.0,17.0
67.0,Marin Grgić,453.0,66.0,84.0,48.0,24.0,9.0,11.0,6.0,7.0,32.0,10.0,12.0,66.0,61.0,17.0
68.0,Ante Pojatina,454.0,92.0,64.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,51.0,61.0,17.0
69.0,Zvonimir Ramljak,457.0,93.0,58.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,59.0,61.0,17.0
69.0,Valentin Iljukic,457.0,52.0,66.0,41.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
71.0,Mislav Jelinić,458.0,103.0,80.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,64.0,25.0,17.0
72.0,Stjepan Škreblin,459.0,46.0,67.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
73.0,Borna Sabol,461.0,88.0,95.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,50.0,42.0,17.0
73.0,Roko Mihael Ivić,461.0,65.0,50.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
75.0,Marko Vuger,479.0,58.0,75.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
76.0,Filip Košić,483.0,75.0,65.0,45.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
77.0,Maks Dimitrije Appelt,484.0,86.0,101.0,42.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,56.0,61.0,17.0
78.0,Vjera Pavelić,492.0,78.0,68.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
78.0,Marin Ćurić,492.0,77.0,69.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
80.0,Marko Staneković,494.0,62.0,115.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,70.0,61.0,17.0
81.0,Darko Vajda,496.0,72.0,78.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
82.0,Toma Šuber,504.0,117.0,70.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,32.0,17.0
83.0,Duje Mijač,513.0,109.0,72.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,85.0,61.0,17.0
84.0,Marko Petrov,516.0,81.0,89.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
85.0,Viktor Kovačić,520.0,97.0,77.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
86.0,David Preksavec,521.0,84.0,91.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
87.0,Lovro Alajković,522.0,113.0,118.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,71.0,34.0,17.0
88.0,Dino Legčević,523.0,94.0,102.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,87.0,54.0,17.0
89.0,Ivan Pavković,525.0,118.0,99.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,23.0,17.0
90.0,Karlo Ciciliani,528.0,137.0,81.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,68.0,56.0,17.0
91.0,Dorijan Hrgović,530.0,36.0,148.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
91.0,Ivan Kuna,530.0,123.0,88.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,72.0,61.0,17.0
93.0,Vito Slunjski,531.0,102.0,83.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
94.0,Ruben Vit,533.0,90.0,98.0,48.0,24.0,9.0,11.0,6.0,7.0,41.0,10.0,12.0,99.0,61.0,17.0
95.0,Rohan Stojanović,534.0,116.0,92.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,79.0,61.0,17.0
96.0,Dominik Antunović,535.0,96.0,148.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,44.0,61.0,17.0
96.0,Leonardo Perovic,535.0,129.0,87.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,72.0,61.0,17.0
98.0,Bruno Janković,537.0,91.0,100.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
99.0,Danilo Opacic,546.0,126.0,116.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,57.0,61.0,17.0
100.0,Lea Barbarić,551.0,80.0,128.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,7.0,12.0,99.0,61.0,17.0
101.0,Ivan Mužić,555.0,101.0,108.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
102.0,Ivan Krešo,557.0,63.0,148.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,99.0,61.0,17.0
102.0,Matko Matić,557.0,71.0,148.0,48.0,24.0,9.0,11.0,6.0,7.0,42.0,10.0,12.0,97.0,55.0,17.0
