Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Michael Eleftheriades,23.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,2.0
2.0,Panayiotis Isaia,30.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,6.0,5.0
3.0,Michalis Papakyriakou,53.0,2.0,4.0,7.0,4.0,3.0,3.0,2.0,7.0,4.0,6.0,5.0,5.0,1.0
4.0,Spyridon Protopapas,69.0,5.0,3.0,3.0,5.0,3.0,3.0,2.0,2.0,9.0,4.0,7.0,14.0,9.0
5.0,Constantinos Kapelos,90.0,12.0,7.0,10.0,9.0,3.0,3.0,2.0,8.0,6.0,8.0,16.0,2.0,4.0
6.0,Constantinos Fourlas,100.0,4.0,6.0,2.0,8.0,3.0,3.0,2.0,6.0,20.0,3.0,10.0,24.0,9.0
7.0,Petros Gregoriades,123.0,6.0,5.0,6.0,11.0,3.0,3.0,2.0,16.0,20.0,16.0,18.0,8.0,9.0
8.0,Loucas Iatrou,131.0,20.0,9.0,9.0,11.0,3.0,3.0,2.0,14.0,20.0,16.0,4.0,11.0,9.0
9.0,Anastasis Papadopoulos,135.0,17.0,17.0,19.0,11.0,3.0,3.0,2.0,23.0,8.0,14.0,6.0,4.0,8.0
10.0,Kiriakos Anastasi,145.0,15.0,12.0,16.0,10.0,3.0,3.0,2.0,17.0,17.0,7.0,11.0,23.0,9.0
10.0,Daniel Gron,145.0,8.0,8.0,35.0,11.0,3.0,3.0,2.0,20.0,20.0,9.0,3.0,16.0,7.0
12.0,George Patsalosavvis,150.0,36.0,14.0,17.0,7.0,3.0,3.0,2.0,19.0,10.0,10.0,13.0,13.0,3.0
12.0,Rafail Chimaris,150.0,18.0,15.0,35.0,11.0,3.0,3.0,2.0,12.0,11.0,5.0,17.0,9.0,9.0
14.0,Theodoros Tsakalos,169.0,9.0,10.0,5.0,3.0,3.0,3.0,2.0,3.0,20.0,16.0,34.0,52.0,9.0
15.0,Vladimir Novikov,178.0,31.0,18.0,20.0,11.0,3.0,3.0,2.0,9.0,20.0,16.0,14.0,22.0,9.0
16.0,Ioannis Christou,185.0,19.0,39.0,18.0,11.0,3.0,3.0,2.0,13.0,13.0,16.0,21.0,18.0,9.0
17.0,Marios Romanos,207.0,25.0,41.0,35.0,11.0,3.0,3.0,2.0,15.0,5.0,13.0,25.0,20.0,9.0
18.0,Thanasis Moschos,217.0,23.0,30.0,22.0,11.0,3.0,3.0,2.0,29.0,19.0,16.0,29.0,21.0,9.0
19.0,Ivan Valov,224.0,22.0,16.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,22.0,28.0,9.0
20.0,Nasos Kousis,227.0,21.0,19.0,14.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,20.0,52.0,9.0
21.0,Christos Pavlides,236.0,24.0,24.0,23.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,12.0,52.0,9.0
21.0,Alexis Malekos,236.0,13.0,26.0,35.0,11.0,3.0,3.0,2.0,22.0,20.0,16.0,24.0,52.0,9.0
23.0,Aggelos Pasenides,238.0,11.0,35.0,21.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,43.0,27.0,9.0
24.0,Christodoulos Alexandrou,240.0,35.0,32.0,28.0,11.0,3.0,3.0,2.0,21.0,20.0,16.0,23.0,37.0,9.0
25.0,Elena Seke,245.0,44.0,25.0,35.0,11.0,3.0,3.0,2.0,36.0,18.0,16.0,26.0,17.0,9.0
26.0,Christos Panteli,247.0,46.0,49.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,9.0,7.0,9.0
27.0,Eftichios Michael,248.0,60.0,28.0,35.0,11.0,3.0,3.0,2.0,31.0,20.0,16.0,15.0,15.0,9.0
28.0,Panagiotis Raphael,250.0,10.0,11.0,12.0,11.0,3.0,3.0,2.0,5.0,20.0,16.0,96.0,52.0,9.0
29.0,Thomas Crossley,251.0,7.0,20.0,35.0,11.0,3.0,3.0,2.0,11.0,20.0,16.0,62.0,52.0,9.0
30.0,Theodoulous Stavrou,258.0,43.0,38.0,35.0,11.0,3.0,3.0,2.0,30.0,20.0,16.0,45.0,3.0,9.0
31.0,Ignatios Papathemistokleous,260.0,62.0,37.0,27.0,11.0,3.0,3.0,2.0,27.0,1.0,16.0,30.0,32.0,9.0
32.0,Christoforos Loizides,262.0,48.0,21.0,33.0,11.0,3.0,3.0,2.0,35.0,20.0,16.0,49.0,12.0,9.0
33.0,Eric Neophytou,277.0,37.0,36.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,38.0,30.0,9.0
34.0,Orestis Nakos Papadopoulos,278.0,45.0,22.0,26.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,32.0,52.0,9.0
35.0,Adamos Demetriou,279.0,33.0,28.0,30.0,11.0,3.0,3.0,2.0,34.0,20.0,16.0,46.0,44.0,9.0
36.0,Kyriacos Rouvas,280.0,41.0,23.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,28.0,52.0,9.0
37.0,Nicholas Malais,285.0,50.0,50.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,30.0,19.0,9.0
38.0,Mikhail Lavrentev,292.0,42.0,62.0,35.0,11.0,3.0,3.0,2.0,28.0,12.0,11.0,42.0,35.0,6.0
39.0,Dionysis Paikousis,298.0,32.0,63.0,35.0,11.0,3.0,3.0,2.0,10.0,14.0,16.0,61.0,39.0,9.0
40.0,Anthimos Panteli,317.0,40.0,34.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,55.0,52.0,9.0
40.0,Kaan Sener,317.0,75.0,13.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,41.0,52.0,9.0
40.0,Panayiotis Constantinou,317.0,71.0,45.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,39.0,26.0,9.0
43.0,Stylianos Nikolaou,320.0,61.0,27.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,44.0,52.0,9.0
44.0,Nikolas Christou,332.0,34.0,42.0,25.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,96.0,34.0,9.0
45.0,Orestis Souzou,334.0,51.0,32.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,63.0,52.0,9.0
46.0,Joseph Elbaki,338.0,30.0,44.0,15.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,96.0,52.0,9.0
47.0,George Chrysostomides,347.0,67.0,55.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,37.0,52.0,9.0
47.0,Panagiotis Orfanos,347.0,29.0,60.0,35.0,11.0,3.0,3.0,2.0,32.0,20.0,16.0,75.0,52.0,9.0
49.0,Daniel Demetriou,356.0,14.0,112.0,8.0,11.0,3.0,3.0,2.0,37.0,20.0,12.0,96.0,29.0,9.0
50.0,Maria Koukou,359.0,96.0,80.0,35.0,11.0,3.0,3.0,2.0,37.0,7.0,16.0,27.0,33.0,9.0
51.0,Boaz Gavish,360.0,56.0,58.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,58.0,52.0,9.0
51.0,Kyriakos Philotheou,360.0,78.0,40.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,54.0,52.0,9.0
53.0,Andreas Kreouzos,364.0,57.0,72.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,47.0,52.0,9.0
54.0,Soteris Hadjimichael,365.0,79.0,59.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,15.0,40.0,52.0,9.0
54.0,Giorgos Tsingas,365.0,91.0,53.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,33.0,52.0,9.0
54.0,Ioannis Panayides,365.0,66.0,43.0,35.0,11.0,3.0,3.0,2.0,37.0,20.0,16.0,68.0,52.0,9.0
57.0,David Vasiliou,374.0,26.0,112.0,13.0,6.0,3.0,3.0,2.0,37.0,15.0,16.0,96.0,36.0,9.0
