Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Martin Vædele Egdal,21.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0
2.0,Daniel Vædele Egdal,66.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,6.0,2.0,3.0,4.0,3.0
3.0,Rasmus Stub Detlefsen,76.0,4.0,2.0,2.0,5.0,4.0,5.0,14.0,6.0,3.0,11.0,8.0,3.0,1.0,1.0,4.0,3.0
4.0,Magnus Søndergaard Byrne,120.0,6.0,7.0,4.0,3.0,2.0,3.0,21.0,18.0,10.0,13.0,6.0,4.0,10.0,6.0,4.0,3.0
5.0,Victor Glyrskov,131.0,12.0,4.0,14.0,10.0,11.0,12.0,3.0,8.0,11.0,2.0,9.0,9.0,11.0,8.0,4.0,3.0
6.0,Magnus Patrick Kanstrup,161.0,11.0,24.0,3.0,2.0,3.0,2.0,15.0,14.0,8.0,25.0,7.0,17.0,9.0,14.0,4.0,3.0
7.0,Mathias Søndergaard Byrne,184.0,7.0,11.0,6.0,7.0,6.0,6.0,21.0,16.0,6.0,34.0,14.0,15.0,19.0,9.0,4.0,3.0
8.0,Thomas Sonnenberg Jarner,213.0,20.0,10.0,16.0,16.0,13.0,20.0,21.0,11.0,21.0,16.0,10.0,12.0,15.0,5.0,4.0,3.0
9.0,Thomas Mæhle Schmidt,230.0,21.0,6.0,32.0,27.0,18.0,21.0,12.0,13.0,22.0,3.0,25.0,7.0,6.0,10.0,4.0,3.0
10.0,Tue Jepsen,343.0,13.0,15.0,30.0,24.0,29.0,49.0,21.0,39.0,23.0,31.0,19.0,16.0,20.0,7.0,4.0,3.0
11.0,Nicolas Køster Christensen,354.0,28.0,22.0,44.0,25.0,16.0,19.0,21.0,39.0,16.0,38.0,15.0,26.0,4.0,34.0,4.0,3.0
12.0,Kasper Warberg Borg,396.0,25.0,14.0,38.0,53.0,30.0,35.0,16.0,14.0,59.0,15.0,18.0,32.0,12.0,28.0,4.0,3.0
