Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Leudy Rodríguez,54.0,6.0,4.0,3.0,2.0,2.0,2.0,5.0,3.0,4.0,2.0,10.0,5.0,3.0,3.0
2.0,Emil Francisco Solano Gil,73.0,7.0,3.0,7.0,7.0,13.0,7.0,5.0,3.0,7.0,2.0,8.0,1.0,2.0,1.0
3.0,Raimy Marte,94.0,3.0,13.0,5.0,4.0,7.0,7.0,5.0,3.0,3.0,2.0,3.0,10.0,5.0,24.0
4.0,Amauri Miguel Caballero,135.0,4.0,14.0,1.0,1.0,1.0,1.0,5.0,3.0,6.0,2.0,1.0,9.0,59.0,28.0
4.0,José Eduardo Figueroa,135.0,20.0,2.0,10.0,9.0,5.0,7.0,5.0,3.0,23.0,2.0,16.0,13.0,9.0,11.0
6.0,Henfry De Los Santos,156.0,5.0,8.0,2.0,3.0,3.0,7.0,5.0,3.0,5.0,2.0,2.0,50.0,59.0,2.0
7.0,Chardan Jose Valdez Sierra,209.0,2.0,7.0,6.0,8.0,13.0,7.0,5.0,3.0,1.0,2.0,51.0,17.0,59.0,28.0
8.0,Mark Alexander Benítez Kernogo,211.0,33.0,26.0,18.0,21.0,10.0,6.0,5.0,3.0,15.0,2.0,12.0,15.0,24.0,21.0
9.0,Cristofer Rodriguez,216.0,18.0,8.0,14.0,47.0,13.0,7.0,5.0,3.0,8.0,2.0,51.0,2.0,10.0,28.0
10.0,Iván Artiles,260.0,46.0,43.0,21.0,19.0,13.0,7.0,5.0,3.0,30.0,2.0,40.0,16.0,8.0,7.0
11.0,Julio Martínez,266.0,19.0,5.0,70.0,44.0,13.0,7.0,5.0,3.0,9.0,2.0,41.0,4.0,16.0,28.0
12.0,Osvaldo Argelis Lopez Marte,287.0,9.0,29.0,30.0,47.0,13.0,7.0,5.0,3.0,14.0,2.0,51.0,29.0,43.0,5.0
13.0,Kelvin De la Cruz Torres,302.0,25.0,23.0,8.0,12.0,13.0,7.0,5.0,3.0,26.0,2.0,34.0,71.0,59.0,14.0
14.0,Marco Jose Mercedes,307.0,21.0,1.0,65.0,47.0,13.0,7.0,5.0,3.0,16.0,2.0,51.0,49.0,21.0,6.0
15.0,Lemuel Cruz,314.0,53.0,6.0,49.0,22.0,13.0,7.0,5.0,3.0,31.0,2.0,15.0,21.0,59.0,28.0
16.0,Ronald Joseph Noto Diaz,321.0,23.0,10.0,27.0,47.0,13.0,7.0,5.0,3.0,11.0,2.0,51.0,35.0,59.0,28.0
17.0,Dioni Ferreiras,338.0,41.0,55.0,47.0,24.0,13.0,7.0,5.0,3.0,48.0,2.0,51.0,3.0,27.0,12.0
18.0,Marcos Josías Antigua Lebrón,342.0,61.0,32.0,31.0,16.0,13.0,7.0,5.0,3.0,25.0,2.0,51.0,33.0,45.0,18.0
19.0,Diovery Ferreiras,349.0,28.0,140.0,12.0,6.0,4.0,7.0,5.0,3.0,36.0,2.0,29.0,42.0,31.0,4.0
