Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Dereck Estrada,147.0,1.0,3.0,1.0,1.0,4.0,7.0,4.0,5.0,4.0,13.0,1.0,36.0,57.0,10.0
2.0,Juan Pablo Suárez Narváez,152.0,18.0,15.0,22.0,12.0,12.0,2.0,4.0,5.0,22.0,13.0,11.0,7.0,1.0,8.0
3.0,Caleb Salcedo Rivera,162.0,6.0,8.0,4.0,6.0,7.0,3.0,4.0,3.0,3.0,13.0,3.0,48.0,44.0,10.0
4.0,Bolivar Chafla,175.0,10.0,5.0,7.0,16.0,23.0,16.0,4.0,5.0,6.0,13.0,5.0,17.0,38.0,10.0
5.0,Michael Kevin Astudillo Muñoz,184.0,13.0,20.0,11.0,2.0,5.0,6.0,4.0,5.0,18.0,13.0,19.0,38.0,20.0,10.0
6.0,Josué Ordóñez,189.0,23.0,37.0,26.0,9.0,3.0,4.0,3.0,5.0,17.0,5.0,17.0,24.0,9.0,7.0
7.0,Anthony Gerard Álvarez Ludeña,195.0,2.0,1.0,2.0,5.0,23.0,16.0,1.0,5.0,2.0,13.0,2.0,15.0,98.0,10.0
8.0,Farid Brazales Flores,209.0,12.0,19.0,9.0,8.0,9.0,5.0,4.0,5.0,42.0,13.0,4.0,63.0,6.0,10.0
9.0,Luis Fernando Aldás Cuestas,232.0,28.0,30.0,19.0,17.0,8.0,10.0,2.0,1.0,38.0,2.0,21.0,34.0,16.0,6.0
10.0,Sebastián Mateo España Chango,251.0,11.0,15.0,21.0,14.0,14.0,15.0,4.0,5.0,61.0,13.0,22.0,33.0,13.0,10.0
11.0,Andrés Arturo Díaz Valdez,256.0,14.0,36.0,10.0,19.0,23.0,16.0,4.0,5.0,8.0,13.0,60.0,8.0,30.0,10.0
12.0,Geovanny Cueva,277.0,54.0,49.0,6.0,10.0,6.0,8.0,4.0,5.0,36.0,13.0,6.0,22.0,48.0,10.0
13.0,Henry Ricardo Barriga Padilla,289.0,20.0,22.0,15.0,33.0,23.0,16.0,4.0,5.0,31.0,13.0,10.0,51.0,36.0,10.0
14.0,Alex Loor,300.0,101.0,25.0,39.0,23.0,11.0,11.0,4.0,4.0,13.0,3.0,28.0,27.0,7.0,4.0
15.0,Mateo Baruc Mero Benavides,312.0,8.0,20.0,14.0,25.0,23.0,16.0,4.0,5.0,14.0,13.0,60.0,2.0,98.0,10.0
