Rank,name,Sum,333,222,444,555,666,777,333oh,clock,minx,pyram,skewb,sq1
1.0,Rafik Eskandar,18.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,1.0
2.0,Ali Antar,47.0,12.0,4.0,7.0,3.0,2.0,4.0,7.0,2.0,2.0,1.0,1.0,2.0
3.0,Omar Ziad,48.0,8.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0
4.0,Fares Arshad Hussain Shah,87.0,3.0,2.0,24.0,7.0,7.0,4.0,5.0,4.0,9.0,11.0,3.0,8.0
5.0,Mohannad Mahmoud Fathy,94.0,4.0,10.0,2.0,5.0,7.0,4.0,6.0,4.0,9.0,7.0,31.0,5.0
6.0,Hannah Nader Eskander,119.0,1.0,8.0,6.0,7.0,7.0,4.0,17.0,4.0,9.0,17.0,31.0,8.0
7.0,Ayman Mohamed Abdalla,125.0,5.0,5.0,24.0,7.0,7.0,4.0,2.0,4.0,9.0,19.0,31.0,8.0
8.0,Ahmed Ghandoor,137.0,28.0,28.0,24.0,7.0,7.0,4.0,9.0,4.0,5.0,6.0,8.0,7.0
9.0,Moaz Ayman Al Hosainey,141.0,5.0,11.0,13.0,7.0,7.0,4.0,27.0,4.0,9.0,15.0,31.0,8.0
10.0,Yousef El Fayoumy,146.0,14.0,13.0,3.0,2.0,7.0,4.0,27.0,4.0,9.0,42.0,13.0,8.0
11.0,Yahia Ahmed Abdallah Elhawy,149.0,27.0,21.0,11.0,7.0,7.0,4.0,10.0,4.0,7.0,12.0,31.0,8.0
11.0,Nour Marwan Mostafa,149.0,16.0,15.0,8.0,7.0,7.0,4.0,27.0,4.0,9.0,13.0,31.0,8.0
13.0,Omar Ismail,166.0,23.0,14.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,8.0,31.0,8.0
14.0,Mostafa Mahran,167.0,30.0,38.0,9.0,6.0,7.0,4.0,22.0,4.0,9.0,24.0,11.0,3.0
15.0,Andrew Antoine,169.0,31.0,30.0,17.0,7.0,7.0,4.0,8.0,4.0,9.0,14.0,30.0,8.0
16.0,Mostafa Belal Elfaggal,170.0,15.0,35.0,19.0,7.0,7.0,4.0,11.0,4.0,9.0,20.0,31.0,8.0
17.0,Mahmoud Antar,174.0,55.0,6.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,16.0,7.0,8.0
18.0,Youssef Elnawawi,185.0,52.0,7.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,5.0,31.0,8.0
19.0,Ahmad Ayman,192.0,7.0,25.0,5.0,7.0,3.0,2.0,1.0,4.0,9.0,90.0,31.0,8.0
20.0,Ramy Magdy Helmy,193.0,9.0,44.0,10.0,7.0,7.0,4.0,27.0,4.0,9.0,33.0,31.0,8.0
21.0,Omar Ahmad Muhammad Gad,195.0,17.0,26.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,31.0,31.0,8.0
22.0,Belal Ahmed,197.0,33.0,34.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,9.0,31.0,8.0
23.0,Omar Ghanem,200.0,13.0,9.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,57.0,31.0,8.0
24.0,Omar Morsy,202.0,22.0,24.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,35.0,31.0,8.0
25.0,Ibrahim Ossama Elhadi,211.0,11.0,16.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,4.0,8.0
25.0,Mohamed Elsayed Ali,211.0,19.0,41.0,24.0,7.0,7.0,4.0,20.0,4.0,9.0,37.0,31.0,8.0
27.0,Abdullah Muataz,213.0,26.0,43.0,24.0,7.0,7.0,4.0,13.0,4.0,9.0,41.0,27.0,8.0
28.0,Hussein Gaafar,222.0,41.0,39.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,43.0,9.0,8.0
29.0,Anas Hany,223.0,42.0,42.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,18.0,31.0,8.0
30.0,Ali Ahmed Gamal,228.0,68.0,16.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,23.0,31.0,8.0
30.0,Mahmoud Salah El Deberky,228.0,72.0,47.0,24.0,7.0,5.0,4.0,24.0,4.0,9.0,4.0,22.0,6.0
32.0,Adam Lutfi,231.0,45.0,40.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,30.0,26.0,8.0
33.0,Mohamed Hani Shahin,232.0,47.0,19.0,15.0,7.0,7.0,4.0,16.0,4.0,9.0,90.0,6.0,8.0
34.0,Johnny Mark Nassef,234.0,59.0,28.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,26.0,31.0,8.0
35.0,Zedan Mohamed Ahmed,243.0,74.0,18.0,24.0,7.0,7.0,4.0,23.0,4.0,9.0,51.0,14.0,8.0
36.0,Adam Shalaby,244.0,52.0,32.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,39.0,31.0,8.0
37.0,John Remon Morris,245.0,34.0,12.0,24.0,7.0,7.0,4.0,15.0,4.0,9.0,90.0,31.0,8.0
38.0,Youssef Gamal Eldeen Faher Eldeen Ahmed,247.0,18.0,37.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,73.0,29.0,8.0
39.0,Daniel Yousef Yosri,248.0,40.0,66.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,21.0,31.0,8.0
40.0,Mohamed Hesham Elsayed Hamed Mohamed,255.0,21.0,31.0,16.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
41.0,Salah Al-Deen Mohammed Nabhan,265.0,35.0,64.0,12.0,7.0,7.0,4.0,27.0,4.0,9.0,67.0,21.0,8.0
42.0,John Maged Sentawes,270.0,32.0,27.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
43.0,Omar Adel Ali Hassan,281.0,50.0,20.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
44.0,Mouaaz Sherif Salman,286.0,90.0,48.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,27.0,31.0,8.0
45.0,Fredrick Farouk,291.0,44.0,54.0,20.0,7.0,7.0,4.0,19.0,4.0,9.0,87.0,28.0,8.0
45.0,Eyad Hatem Osama,291.0,58.0,22.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
47.0,Joopy Salem,292.0,87.0,56.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,28.0,31.0,8.0
48.0,Yahya Amr Mohmmed Fouad,293.0,46.0,36.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
49.0,Mohamad Tamer Mohamad,294.0,37.0,46.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
49.0,Marc Ramy Fouad,294.0,75.0,73.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,25.0,31.0,8.0
51.0,Mazen Helmi,295.0,24.0,61.0,24.0,7.0,7.0,4.0,27.0,4.0,8.0,90.0,31.0,8.0
51.0,David Fady Nabil,295.0,62.0,74.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,38.0,31.0,8.0
53.0,Ibrahim Elsawy,298.0,38.0,50.0,24.0,7.0,7.0,4.0,26.0,4.0,9.0,90.0,31.0,8.0
53.0,Omar Medhat Abdelkhalek,298.0,66.0,52.0,18.0,7.0,7.0,4.0,27.0,4.0,9.0,65.0,31.0,8.0
55.0,Mariam Bakr,302.0,48.0,62.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,71.0,31.0,8.0
56.0,Eyad Hussein,308.0,82.0,57.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,63.0,16.0,8.0
57.0,Omar Wael Mohammed Ibrahim Omar,312.0,20.0,93.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,19.0,8.0
58.0,Mahmoud Abdelrahman Elmasry,314.0,43.0,60.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
59.0,Ahmed Mawaad,315.0,39.0,71.0,24.0,7.0,7.0,4.0,21.0,4.0,9.0,90.0,31.0,8.0
60.0,Yara Hatem Osama,323.0,89.0,23.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
61.0,Eyad Mohamed Ahmed Elhefnawy,324.0,64.0,49.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
62.0,Ziad Sherif Sharaf El Din,325.0,91.0,67.0,24.0,7.0,7.0,4.0,27.0,4.0,6.0,70.0,10.0,8.0
62.0,Philopater Ezzat Shawky,325.0,63.0,51.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
62.0,Ahmad Thabet,325.0,61.0,53.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
65.0,Martin Ramez Wafik,330.0,54.0,65.0,24.0,7.0,7.0,4.0,27.0,4.0,9.0,90.0,31.0,8.0
