Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,José Enrique Jiménez,52.0,5.0,6.0,2.0,1.0,1.0,1.0,5.0,3.0,10.0,1.0,3.0,6.0,4.0,4.0
2.0,Samuel Cuellar Ramirez,77.0,4.0,7.0,3.0,3.0,8.0,5.0,2.0,1.0,2.0,11.0,5.0,2.0,14.0,10.0
3.0,Fernando Daniel Domínguez Castaneda,87.0,2.0,9.0,1.0,2.0,15.0,6.0,5.0,3.0,1.0,11.0,1.0,18.0,8.0,5.0
4.0,Oscar Rene Mejia Aguirre,92.0,6.0,13.0,4.0,9.0,5.0,9.0,5.0,3.0,3.0,5.0,11.0,3.0,9.0,7.0
5.0,José Eduardo Palacios Castro,100.0,1.0,3.0,8.0,29.0,15.0,13.0,5.0,3.0,6.0,2.0,7.0,4.0,3.0,1.0
6.0,Elvis Isaí Rosales Hernández,106.0,8.0,1.0,7.0,10.0,7.0,8.0,5.0,3.0,15.0,11.0,6.0,15.0,7.0,3.0
7.0,David Gálvez,126.0,11.0,5.0,16.0,11.0,11.0,13.0,5.0,3.0,16.0,11.0,4.0,7.0,1.0,12.0
8.0,Javier Portillo,167.0,6.0,25.0,6.0,4.0,2.0,3.0,5.0,3.0,5.0,11.0,8.0,22.0,54.0,13.0
9.0,Alessandro Martínez,180.0,3.0,2.0,9.0,7.0,15.0,13.0,5.0,3.0,4.0,11.0,20.0,21.0,54.0,13.0
10.0,Melvin Gaitán,196.0,16.0,18.0,11.0,14.0,12.0,13.0,5.0,3.0,27.0,10.0,20.0,23.0,22.0,2.0
11.0,Luis Alonso Inestroza Henriquez,211.0,31.0,34.0,10.0,8.0,6.0,4.0,5.0,2.0,19.0,6.0,19.0,48.0,6.0,13.0
12.0,Edgardo Gálvez,214.0,40.0,42.0,19.0,6.0,4.0,7.0,5.0,3.0,48.0,11.0,10.0,1.0,5.0,13.0
13.0,Dennis Bolaños,215.0,20.0,27.0,21.0,29.0,15.0,13.0,5.0,3.0,8.0,11.0,20.0,28.0,2.0,13.0
14.0,Isai Oswaldo Gonzalez Canessa,239.0,32.0,49.0,29.0,15.0,10.0,12.0,5.0,3.0,18.0,7.0,12.0,30.0,11.0,6.0
15.0,Javier Ernesto Reyes Alburéz,259.0,28.0,19.0,23.0,29.0,15.0,13.0,5.0,3.0,21.0,11.0,20.0,29.0,30.0,13.0
16.0,Alvaro Samuel Castillo Flores,265.0,19.0,22.0,33.0,29.0,15.0,13.0,5.0,3.0,24.0,3.0,20.0,25.0,41.0,13.0
17.0,Jose Atilio Aguilar Acosta,271.0,34.0,12.0,22.0,20.0,15.0,13.0,5.0,3.0,44.0,11.0,20.0,32.0,27.0,13.0
18.0,Luis Salvador Batarsé Soto,274.0,36.0,16.0,18.0,16.0,14.0,13.0,5.0,3.0,69.0,11.0,15.0,17.0,28.0,13.0
19.0,Kevin Josué Maldonado Mendoza,275.0,41.0,13.0,34.0,29.0,15.0,13.0,5.0,3.0,25.0,11.0,14.0,5.0,54.0,13.0
20.0,Joel Hernández,277.0,49.0,44.0,25.0,18.0,13.0,11.0,3.0,3.0,26.0,4.0,17.0,36.0,20.0,8.0
21.0,Luis Servando Canizalez,278.0,13.0,31.0,30.0,29.0,15.0,13.0,5.0,3.0,29.0,11.0,20.0,12.0,54.0,13.0
22.0,Francisco David Alas López,295.0,58.0,10.0,55.0,29.0,15.0,13.0,5.0,3.0,35.0,11.0,20.0,9.0,19.0,13.0
23.0,Andrea Ara,300.0,30.0,58.0,5.0,5.0,3.0,2.0,5.0,3.0,39.0,11.0,20.0,52.0,54.0,13.0
24.0,Diego Francisco Gálvez Valencia,301.0,70.0,30.0,40.0,25.0,15.0,13.0,5.0,3.0,40.0,11.0,20.0,8.0,10.0,11.0
25.0,Jorge Coreas,314.0,42.0,46.0,32.0,17.0,15.0,13.0,5.0,3.0,14.0,11.0,18.0,31.0,54.0,13.0
26.0,Enrique José Cardona Guardado,317.0,29.0,57.0,27.0,21.0,15.0,13.0,5.0,3.0,9.0,11.0,20.0,40.0,54.0,13.0
27.0,Henrry Mixco,318.0,59.0,45.0,31.0,29.0,15.0,13.0,5.0,3.0,37.0,11.0,20.0,14.0,23.0,13.0
28.0,Carlos Mauricio Esperanza Ramirez,327.0,15.0,8.0,12.0,29.0,15.0,13.0,5.0,3.0,7.0,11.0,20.0,122.0,54.0,13.0
28.0,Oscar Omar Fajardo Trigueros.,327.0,9.0,24.0,20.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,42.0,54.0,13.0
28.0,Vladimir Ernesto Fajardo,327.0,23.0,41.0,17.0,29.0,15.0,13.0,4.0,3.0,69.0,11.0,20.0,44.0,25.0,13.0
31.0,Luis Fernando Blanco Flores,346.0,37.0,35.0,39.0,29.0,15.0,13.0,5.0,3.0,33.0,11.0,20.0,39.0,54.0,13.0
32.0,Marcos Josué Dimas García,350.0,25.0,56.0,26.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,11.0,54.0,13.0
32.0,Rodrigo Javier Mejía Merino,350.0,75.0,38.0,36.0,29.0,15.0,13.0,5.0,3.0,64.0,11.0,16.0,19.0,13.0,13.0
34.0,Matthew Hernández,357.0,38.0,21.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,35.0,21.0,13.0
35.0,Anderson Dávila,375.0,57.0,23.0,47.0,29.0,15.0,13.0,5.0,3.0,30.0,11.0,20.0,55.0,54.0,13.0
36.0,Jaime Pacheco Gálvez,376.0,47.0,29.0,44.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,24.0,54.0,13.0
37.0,Carlos Salvador Garcia Tejada,386.0,27.0,17.0,14.0,12.0,9.0,10.0,5.0,3.0,69.0,11.0,20.0,122.0,54.0,13.0
38.0,Miguel Clavel,394.0,89.0,43.0,58.0,29.0,15.0,13.0,5.0,3.0,67.0,11.0,20.0,13.0,15.0,13.0
39.0,Bryan Cuellar,395.0,26.0,4.0,46.0,29.0,15.0,13.0,5.0,3.0,34.0,11.0,20.0,122.0,54.0,13.0
40.0,Rodrigo Josué Guzmán Rosales,396.0,46.0,37.0,38.0,29.0,15.0,13.0,5.0,3.0,20.0,11.0,20.0,92.0,54.0,13.0
41.0,Daniel Coreas,401.0,35.0,79.0,28.0,13.0,15.0,13.0,5.0,3.0,51.0,11.0,20.0,61.0,54.0,13.0
42.0,Angel Servando,411.0,38.0,55.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,58.0,18.0,13.0
43.0,Marlon Juarez,412.0,85.0,67.0,41.0,19.0,15.0,13.0,5.0,3.0,17.0,11.0,20.0,49.0,54.0,13.0
44.0,Ángel Amilcar Martínez Latín,419.0,54.0,32.0,37.0,29.0,15.0,13.0,5.0,3.0,11.0,11.0,20.0,122.0,54.0,13.0
44.0,Pedro Alberto Batarsé,419.0,81.0,40.0,64.0,29.0,15.0,13.0,5.0,3.0,61.0,11.0,20.0,10.0,54.0,13.0
46.0,Gerardo Siliézar,427.0,82.0,33.0,53.0,28.0,15.0,13.0,5.0,3.0,38.0,11.0,20.0,59.0,54.0,13.0
47.0,Bryan Ernesto Córdova Olivares,431.0,72.0,68.0,64.0,26.0,15.0,13.0,5.0,3.0,31.0,11.0,20.0,56.0,34.0,13.0
48.0,Gerardo Antonio Perez Ramirez,439.0,43.0,11.0,64.0,29.0,15.0,13.0,5.0,3.0,36.0,11.0,20.0,122.0,54.0,13.0
49.0,Guillermo Quijano,443.0,9.0,179.0,13.0,23.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,16.0,54.0,13.0
50.0,Saul Cuellar Ramirez,446.0,93.0,59.0,64.0,29.0,15.0,13.0,5.0,3.0,56.0,11.0,20.0,26.0,39.0,13.0
51.0,Rolando Enrique Alfaro Rodriguez,448.0,51.0,26.0,64.0,29.0,15.0,13.0,5.0,3.0,22.0,11.0,20.0,122.0,54.0,13.0
52.0,Luis Martínez,450.0,12.0,20.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,122.0,54.0,13.0
53.0,Josué Omar Gamero Mangandi,454.0,83.0,51.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,45.0,33.0,13.0
54.0,Francisco Javier Velásquez Portillo,468.0,22.0,28.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,122.0,54.0,13.0
55.0,Fermín Díaz,469.0,62.0,39.0,35.0,24.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,106.0,54.0,13.0
55.0,Carlos Eduardo Martinez Velasquez,469.0,86.0,54.0,43.0,29.0,15.0,13.0,5.0,3.0,28.0,11.0,20.0,95.0,54.0,13.0
57.0,Diego Alejandro Álvarez Jovel,471.0,43.0,92.0,24.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,122.0,16.0,9.0
58.0,Steven González,472.0,67.0,73.0,64.0,29.0,15.0,13.0,5.0,3.0,50.0,11.0,20.0,72.0,37.0,13.0
59.0,Carlos Ávila,478.0,68.0,36.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,96.0,36.0,13.0
59.0,Diego Fernando Villalta Mendoza,478.0,45.0,15.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,122.0,54.0,13.0
61.0,Amilcar Emanuel Molina Rodriguez,485.0,63.0,133.0,50.0,29.0,15.0,13.0,5.0,3.0,59.0,11.0,20.0,27.0,44.0,13.0
61.0,Francisco Javier Sandoval Jaco,485.0,76.0,88.0,64.0,29.0,15.0,13.0,5.0,3.0,54.0,11.0,20.0,46.0,48.0,13.0
61.0,Oscar Armando Anaya Barrera,485.0,20.0,47.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,122.0,54.0,13.0
64.0,Diego Eduardo Narvaez Monterrosa,487.0,50.0,52.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,89.0,54.0,13.0
65.0,Mateo Rogel Guzmán,488.0,84.0,68.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,70.0,24.0,13.0
66.0,Miguel Berganza,495.0,96.0,61.0,64.0,29.0,15.0,13.0,5.0,3.0,46.0,11.0,20.0,65.0,54.0,13.0
67.0,Alexander Enrique Regalado,496.0,92.0,112.0,64.0,29.0,15.0,13.0,5.0,3.0,45.0,11.0,20.0,20.0,54.0,13.0
68.0,Norma Geraldine García Ulloa,497.0,33.0,83.0,64.0,29.0,15.0,13.0,5.0,3.0,32.0,11.0,20.0,122.0,54.0,13.0
69.0,Carlos Jose Trigueros Rivas,498.0,14.0,179.0,15.0,29.0,15.0,13.0,5.0,3.0,23.0,11.0,2.0,122.0,54.0,13.0
70.0,Jonathan Eugenio Sandoval Marquez,501.0,18.0,65.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,122.0,54.0,13.0
71.0,Luis Fernando Alfaro Bonilla,503.0,55.0,68.0,48.0,29.0,15.0,13.0,5.0,3.0,47.0,11.0,20.0,122.0,54.0,13.0
72.0,Christian Paz,505.0,79.0,49.0,60.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,85.0,54.0,13.0
73.0,Diego José Reyes López,507.0,52.0,60.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,99.0,54.0,13.0
74.0,Michelle Martínez,508.0,106.0,82.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,43.0,35.0,13.0
75.0,Luis Pacheco,510.0,71.0,106.0,64.0,29.0,15.0,13.0,5.0,3.0,42.0,11.0,20.0,76.0,42.0,13.0
76.0,Jonathan Villacorta,526.0,107.0,66.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,57.0,54.0,13.0
76.0,Ervin Barrera,526.0,89.0,86.0,59.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,60.0,54.0,13.0
78.0,Bryan Alexis Vásquez Pineda,540.0,74.0,48.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,122.0,54.0,13.0
79.0,José Pablo Cruz Castillo,547.0,99.0,62.0,45.0,22.0,15.0,13.0,5.0,3.0,63.0,11.0,20.0,122.0,54.0,13.0
80.0,Daniel Martinez Mendoza,558.0,17.0,179.0,64.0,29.0,15.0,13.0,5.0,3.0,13.0,11.0,20.0,122.0,54.0,13.0
81.0,Josué Daniel Beltrán Argueta,562.0,66.0,78.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,122.0,54.0,13.0
82.0,Fabio Ulises Trujillo Rodriguez,564.0,184.0,72.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,34.0,32.0,13.0
82.0,Byron Rivera,564.0,61.0,85.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,122.0,54.0,13.0
82.0,Joseph Johan Lopez,564.0,108.0,89.0,64.0,29.0,15.0,13.0,1.0,3.0,53.0,8.0,20.0,122.0,26.0,13.0
82.0,Luis Fernando Durán Vasquez,564.0,24.0,179.0,64.0,29.0,15.0,13.0,5.0,3.0,12.0,11.0,20.0,122.0,54.0,13.0
86.0,Christopher Lino,566.0,95.0,53.0,64.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,122.0,54.0,13.0
87.0,Oswaldo Guevara,574.0,88.0,90.0,42.0,29.0,15.0,13.0,5.0,3.0,69.0,11.0,20.0,122.0,54.0,13.0
88.0,Pablo Flores,575.0,122.0,63.0,64.0,29.0,15.0,13.0,5.0,3.0,41.0,11.0,20.0,122.0,54.0,13.0
