Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Remo Pihel,30.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,1.0
2.0,Maksim Zemtšihhin,65.0,6.0,11.0,3.0,4.0,3.0,4.0,5.0,7.0,4.0,4.0,5.0,4.0,3.0,2.0
3.0,Kaur Tuule,73.0,1.0,1.0,1.0,3.0,10.0,8.0,8.0,2.0,1.0,8.0,2.0,5.0,8.0,15.0
4.0,Oliver Pällo,75.0,5.0,4.0,8.0,5.0,4.0,3.0,8.0,6.0,14.0,1.0,4.0,3.0,7.0,3.0
5.0,Erik Kippus,108.0,4.0,8.0,6.0,6.0,7.0,8.0,7.0,10.0,2.0,19.0,7.0,6.0,14.0,4.0
6.0,Jan Erik Soosaar,142.0,15.0,14.0,15.0,10.0,9.0,6.0,8.0,15.0,13.0,10.0,1.0,13.0,6.0,7.0
7.0,Pelle Mandel,164.0,10.0,3.0,5.0,8.0,6.0,8.0,8.0,15.0,30.0,17.0,17.0,18.0,9.0,10.0
8.0,Ralf Marcus Veedler,172.0,24.0,22.0,9.0,9.0,5.0,5.0,8.0,9.0,18.0,2.0,8.0,38.0,10.0,5.0
9.0,Gert Kevin Aamisepp,191.0,11.0,6.0,10.0,31.0,13.0,8.0,8.0,15.0,5.0,19.0,19.0,8.0,15.0,23.0
10.0,Andreas Pung,196.0,17.0,9.0,21.0,22.0,18.0,8.0,8.0,5.0,7.0,18.0,18.0,7.0,20.0,18.0
11.0,Richard-Mattias Prints,197.0,23.0,24.0,11.0,12.0,8.0,8.0,8.0,11.0,15.0,19.0,14.0,12.0,19.0,13.0
11.0,Andrei Solntsev,197.0,21.0,12.0,13.0,15.0,12.0,8.0,1.0,4.0,9.0,16.0,24.0,40.0,16.0,6.0
13.0,Nikita Slavinski,202.0,3.0,17.0,7.0,31.0,18.0,8.0,8.0,15.0,6.0,19.0,24.0,2.0,21.0,23.0
14.0,Leho Hiienurm,213.0,8.0,18.0,13.0,7.0,18.0,8.0,8.0,15.0,10.0,19.0,24.0,33.0,24.0,8.0
15.0,Mark Jarovoi,225.0,12.0,7.0,26.0,31.0,18.0,8.0,8.0,15.0,26.0,19.0,6.0,21.0,5.0,23.0
16.0,Kait Rosenberg,228.0,7.0,5.0,2.0,1.0,1.0,1.0,8.0,15.0,33.0,19.0,10.0,68.0,35.0,23.0
17.0,Markus Sild,238.0,26.0,33.0,16.0,16.0,18.0,8.0,8.0,15.0,27.0,13.0,12.0,11.0,12.0,23.0
18.0,Platon Suslov,245.0,16.0,25.0,18.0,18.0,18.0,8.0,8.0,15.0,22.0,19.0,24.0,14.0,17.0,23.0
19.0,Anett Kruus,261.0,34.0,26.0,29.0,25.0,18.0,8.0,8.0,14.0,28.0,7.0,15.0,9.0,23.0,17.0
20.0,Hedi Liis Timmusk,264.0,42.0,30.0,31.0,23.0,11.0,8.0,8.0,15.0,34.0,5.0,9.0,15.0,13.0,20.0
21.0,Uku Kruusamägi,270.0,29.0,35.0,30.0,17.0,14.0,7.0,4.0,15.0,25.0,19.0,20.0,16.0,18.0,21.0
22.0,Mike Vidrik Rätsep,272.0,39.0,16.0,33.0,31.0,18.0,8.0,8.0,12.0,38.0,9.0,13.0,22.0,11.0,14.0
