Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,Urho Kinnunen,74.0,4.0,4.0,6.0,6.0,3.0,2.0,14.0,10.0,5.0,4.0,5.0,3.0,1.0,3.0,4.0
2.0,Linus Laurén,126.0,3.0,1.0,3.0,5.0,14.0,20.0,19.0,36.0,3.0,11.0,2.0,2.0,2.0,1.0,4.0
3.0,Kari Hyttinen,162.0,5.0,9.0,4.0,3.0,4.0,5.0,19.0,24.0,8.0,28.0,4.0,20.0,21.0,4.0,4.0
4.0,Antto Pitkänen,165.0,24.0,8.0,15.0,15.0,11.0,14.0,19.0,15.0,11.0,2.0,11.0,11.0,3.0,2.0,4.0
5.0,Niko Ronkainen,167.0,16.0,6.0,12.0,17.0,10.0,9.0,19.0,2.0,16.0,1.0,15.0,15.0,4.0,21.0,4.0
6.0,Kim Jokinen,185.0,8.0,7.0,8.0,16.0,19.0,19.0,7.0,8.0,6.0,16.0,18.0,8.0,29.0,12.0,4.0
7.0,Joonas Silvennoinen,189.0,13.0,16.0,10.0,13.0,15.0,18.0,11.0,16.0,10.0,23.0,3.0,18.0,12.0,7.0,4.0
8.0,Amos Nordman,207.0,1.0,2.0,2.0,2.0,2.0,3.0,19.0,36.0,2.0,98.0,1.0,13.0,8.0,14.0,4.0
9.0,Lauri Korhonen,222.0,10.0,23.0,1.0,1.0,1.0,1.0,19.0,27.0,12.0,27.0,8.0,43.0,20.0,25.0,4.0
10.0,Arttu Puttonen,243.0,14.0,14.0,11.0,7.0,6.0,8.0,6.0,16.0,27.0,13.0,23.0,28.0,30.0,36.0,4.0
11.0,Luukas Lempinen,246.0,27.0,20.0,14.0,11.0,16.0,10.0,19.0,10.0,28.0,8.0,21.0,31.0,22.0,5.0,4.0
12.0,Joonatan Uusipulkamo,259.0,21.0,29.0,22.0,14.0,12.0,11.0,19.0,36.0,23.0,20.0,9.0,12.0,14.0,13.0,4.0
13.0,Pessi Ansaranta,272.0,9.0,5.0,13.0,19.0,20.0,32.0,19.0,9.0,4.0,51.0,16.0,48.0,13.0,10.0,4.0
14.0,Callum McArthur-Mortell,291.0,2.0,10.0,5.0,4.0,9.0,13.0,19.0,29.0,7.0,83.0,14.0,4.0,15.0,73.0,4.0
15.0,Viljo Elo,304.0,12.0,18.0,26.0,21.0,26.0,29.0,10.0,5.0,1.0,26.0,7.0,33.0,62.0,24.0,4.0
16.0,Timo Norrkniivilä,311.0,51.0,17.0,31.0,32.0,32.0,28.0,1.0,3.0,32.0,7.0,24.0,10.0,26.0,16.0,1.0
17.0,Jami Viljanen,328.0,29.0,27.0,30.0,28.0,29.0,23.0,19.0,12.0,33.0,21.0,25.0,9.0,17.0,22.0,4.0
18.0,Juho Arjanne,375.0,38.0,33.0,34.0,31.0,25.0,31.0,17.0,13.0,44.0,24.0,22.0,14.0,36.0,9.0,4.0
19.0,Santeri Laine,441.0,37.0,36.0,35.0,33.0,34.0,27.0,19.0,33.0,21.0,39.0,33.0,23.0,56.0,11.0,4.0
