Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Lucas Déglise,157.0,8.0,11.0,3.0,4.0,5.0,7.0,22.0,21.0,11.0,12.0,17.0,13.0,12.0,2.0,6.0,3.0
2.0,Elian Beguec,249.0,3.0,7.0,11.0,6.0,4.0,11.0,77.0,49.0,6.0,26.0,20.0,10.0,6.0,4.0,6.0,3.0
3.0,Clément Cherblanc,256.0,54.0,22.0,19.0,15.0,9.0,9.0,29.0,13.0,18.0,9.0,16.0,11.0,18.0,5.0,6.0,3.0
4.0,Nicolas Gertner Kilian,282.0,7.0,13.0,20.0,26.0,22.0,32.0,54.0,2.0,5.0,8.0,28.0,21.0,10.0,25.0,6.0,3.0
5.0,Anthony Lafourcade,307.0,31.0,48.0,14.0,10.0,13.0,20.0,71.0,15.0,15.0,5.0,37.0,12.0,1.0,6.0,6.0,3.0
6.0,Diego Alfonso,320.0,15.0,20.0,15.0,3.0,6.0,4.0,77.0,44.0,13.0,60.0,9.0,1.0,29.0,15.0,6.0,3.0
7.0,Noé Bourdon,348.0,39.0,13.0,24.0,25.0,16.0,15.0,42.0,16.0,35.0,38.0,23.0,38.0,4.0,11.0,6.0,3.0
8.0,Juliette Sébastien,366.0,1.0,3.0,4.0,8.0,35.0,43.0,28.0,6.0,1.0,67.0,2.0,85.0,21.0,53.0,6.0,3.0
9.0,Diego Fraile,428.0,42.0,5.0,60.0,43.0,30.0,26.0,66.0,11.0,37.0,23.0,18.0,7.0,22.0,29.0,6.0,3.0
10.0,Peter Grassard,440.0,25.0,51.0,13.0,5.0,2.0,2.0,77.0,64.0,33.0,58.0,19.0,57.0,15.0,10.0,6.0,3.0
11.0,Virgile Perrot,500.0,55.0,19.0,36.0,51.0,29.0,22.0,77.0,114.0,21.0,1.0,26.0,13.0,19.0,8.0,6.0,3.0
12.0,Jules Desjardin,501.0,11.0,33.0,5.0,12.0,25.0,52.0,35.0,21.0,29.0,49.0,15.0,2.0,187.0,16.0,6.0,3.0
13.0,Paul Luciw,536.0,58.0,32.0,35.0,48.0,34.0,24.0,34.0,33.0,60.0,6.0,36.0,81.0,45.0,1.0,6.0,3.0
14.0,Ilona Ansel,600.0,35.0,76.0,25.0,23.0,23.0,25.0,20.0,107.0,117.0,24.0,7.0,27.0,27.0,55.0,6.0,3.0
15.0,Alexis Le Merrer,632.0,41.0,37.0,28.0,24.0,41.0,28.0,77.0,1.0,30.0,22.0,11.0,174.0,63.0,46.0,6.0,3.0
16.0,Marie Vincent,699.0,72.0,137.0,23.0,31.0,19.0,18.0,26.0,75.0,75.0,57.0,13.0,37.0,66.0,41.0,6.0,3.0
17.0,Eddy Deturche,703.0,86.0,83.0,27.0,40.0,39.0,63.0,9.0,55.0,116.0,36.0,25.0,48.0,52.0,19.0,3.0,2.0
18.0,Pierre Meunier,787.0,12.0,12.0,7.0,35.0,95.0,95.0,38.0,30.0,4.0,50.0,112.0,9.0,43.0,236.0,6.0,3.0
19.0,Grégoire Gsell,799.0,35.0,42.0,64.0,79.0,67.0,60.0,61.0,114.0,50.0,25.0,50.0,96.0,15.0,32.0,6.0,3.0
20.0,Louis-Marie Ratto,804.0,28.0,6.0,58.0,154.0,157.0,134.0,77.0,4.0,28.0,74.0,60.0,3.0,5.0,7.0,6.0,3.0
21.0,Pablo Contreras,811.0,9.0,23.0,22.0,18.0,195.0,134.0,77.0,42.0,10.0,183.0,8.0,24.0,13.0,44.0,6.0,3.0
22.0,Rémi Esturoune,816.0,97.0,24.0,80.0,74.0,73.0,64.0,25.0,24.0,55.0,27.0,63.0,72.0,89.0,40.0,6.0,3.0
23.0,Abdelhak Kaddour,825.0,18.0,31.0,1.0,1.0,1.0,1.0,77.0,26.0,23.0,135.0,80.0,116.0,158.0,148.0,6.0,3.0
24.0,Axel Brisse,842.0,94.0,100.0,32.0,14.0,11.0,10.0,77.0,103.0,94.0,54.0,22.0,43.0,110.0,69.0,6.0,3.0
25.0,Alix Jack,845.0,51.0,44.0,61.0,44.0,36.0,33.0,77.0,114.0,22.0,183.0,87.0,46.0,10.0,28.0,6.0,3.0
26.0,Firmin Brault,856.0,21.0,25.0,8.0,13.0,195.0,134.0,77.0,33.0,32.0,183.0,32.0,47.0,34.0,13.0,6.0,3.0
27.0,John Bacouël,882.0,5.0,1.0,34.0,38.0,195.0,134.0,77.0,114.0,16.0,183.0,1.0,6.0,9.0,60.0,6.0,3.0
28.0,Maxime Madrzyk,890.0,92.0,60.0,112.0,106.0,70.0,91.0,2.0,59.0,85.0,15.0,42.0,92.0,25.0,30.0,6.0,3.0
29.0,Théo Girard,895.0,75.0,49.0,46.0,39.0,37.0,40.0,77.0,114.0,100.0,30.0,24.0,65.0,122.0,68.0,6.0,3.0
30.0,Anael Champion,905.0,109.0,2.0,105.0,78.0,49.0,134.0,77.0,19.0,26.0,40.0,99.0,42.0,51.0,65.0,6.0,3.0
31.0,Valentin Hoffmann,915.0,42.0,30.0,16.0,9.0,8.0,8.0,77.0,47.0,63.0,90.0,35.0,41.0,204.0,236.0,6.0,3.0
32.0,Victor Colin,944.0,23.0,59.0,29.0,56.0,58.0,44.0,77.0,24.0,8.0,137.0,59.0,97.0,28.0,236.0,6.0,3.0
33.0,Anton Hebert-Baron,966.0,38.0,113.0,93.0,47.0,33.0,41.0,77.0,114.0,36.0,20.0,77.0,181.0,36.0,51.0,6.0,3.0
34.0,Wilfrid Py,996.0,108.0,142.0,75.0,68.0,40.0,34.0,10.0,16.0,144.0,16.0,46.0,94.0,109.0,86.0,5.0,3.0
35.0,Antoine Piau,1013.0,33.0,47.0,50.0,49.0,61.0,71.0,72.0,10.0,43.0,107.0,91.0,129.0,221.0,20.0,6.0,3.0
36.0,Alexandre Carlier,1025.0,2.0,8.0,2.0,6.0,17.0,29.0,62.0,42.0,7.0,183.0,70.0,33.0,319.0,236.0,6.0,3.0
37.0,Ulysse Merlin,1059.0,14.0,40.0,37.0,60.0,195.0,134.0,77.0,114.0,12.0,183.0,6.0,51.0,44.0,83.0,6.0,3.0
38.0,Arthur Provot,1113.0,139.0,108.0,125.0,103.0,52.0,42.0,77.0,69.0,155.0,21.0,38.0,142.0,24.0,9.0,6.0,3.0
39.0,Timothé Ringeard,1118.0,127.0,149.0,73.0,117.0,110.0,134.0,77.0,11.0,45.0,126.0,56.0,5.0,57.0,22.0,6.0,3.0
40.0,Victor Chenu,1135.0,29.0,37.0,12.0,11.0,12.0,12.0,16.0,114.0,44.0,81.0,269.0,86.0,322.0,81.0,6.0,3.0
