Rank,name,Sum,333,222,444,555,666,333oh,clock,minx,pyram,skewb,sq1
1.0,Tamar Dolenjishvili,18.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0
2.0,Giorgi Minasiani (გიორგი მინასიანი),37.0,1.0,4.0,2.0,9.0,2.0,2.0,2.0,8.0,1.0,1.0,5.0
3.0,Andro Gvaramadze,43.0,5.0,6.0,4.0,3.0,2.0,3.0,2.0,8.0,2.0,3.0,5.0
4.0,Vako Marchilashvili (ვაკო მარჩილაშვილი),57.0,2.0,1.0,3.0,6.0,2.0,4.0,2.0,7.0,6.0,19.0,5.0
5.0,Nino Zguladze,61.0,4.0,3.0,13.0,9.0,2.0,6.0,2.0,8.0,4.0,5.0,5.0
6.0,Giorgi Tarielashvili,67.0,10.0,9.0,7.0,5.0,2.0,8.0,1.0,3.0,9.0,8.0,5.0
7.0,Nikolozi Kobakhidze (ნიკოლოზი კობახიძე),79.0,14.0,8.0,8.0,9.0,2.0,7.0,2.0,8.0,13.0,4.0,4.0
8.0,Dachi Tevdorashvili,87.0,13.0,18.0,6.0,2.0,2.0,18.0,2.0,2.0,8.0,13.0,3.0
9.0,Lasha Ilashvili,123.0,8.0,23.0,11.0,7.0,2.0,11.0,2.0,8.0,12.0,34.0,5.0
10.0,Daviti Utavsauri,124.0,17.0,7.0,24.0,9.0,2.0,21.0,2.0,8.0,7.0,22.0,5.0
11.0,Mate Macharashvili,128.0,28.0,12.0,18.0,9.0,2.0,17.0,2.0,8.0,18.0,9.0,5.0
12.0,Giorgi Gegeshidze (გიორგი გეგეშიძე),132.0,9.0,5.0,27.0,9.0,2.0,38.0,2.0,4.0,24.0,7.0,5.0
13.0,Luka Patarkalashvili,133.0,26.0,16.0,9.0,9.0,2.0,16.0,2.0,8.0,14.0,26.0,5.0
14.0,Luka Subari,142.0,19.0,28.0,27.0,9.0,2.0,9.0,2.0,8.0,26.0,10.0,2.0
15.0,Sandro Daushvili,162.0,39.0,28.0,27.0,9.0,2.0,20.0,2.0,5.0,10.0,15.0,5.0
16.0,Luka Patashuri (ლუკა პატაშური),170.0,20.0,26.0,27.0,9.0,2.0,9.0,2.0,8.0,28.0,34.0,5.0
16.0,Zurab Kakhiani,170.0,36.0,24.0,17.0,9.0,2.0,38.0,2.0,8.0,23.0,6.0,5.0
18.0,Beqa Kakhiani (ბექა კახიანი),180.0,6.0,22.0,5.0,4.0,2.0,5.0,2.0,8.0,87.0,34.0,5.0
18.0,Giorgi Jijieshvili (გიორგი ჯიჯიეშვილი),180.0,38.0,14.0,22.0,9.0,2.0,38.0,2.0,8.0,30.0,12.0,5.0
18.0,George Tsiklauri,180.0,34.0,17.0,27.0,9.0,2.0,19.0,2.0,8.0,46.0,11.0,5.0
21.0,Mariami Narchemashvili,188.0,15.0,15.0,10.0,9.0,2.0,38.0,2.0,8.0,50.0,34.0,5.0
22.0,Alex Davitashvili,191.0,53.0,13.0,21.0,9.0,2.0,32.0,2.0,8.0,21.0,25.0,5.0
23.0,Saba Jikia,192.0,44.0,19.0,27.0,9.0,2.0,27.0,2.0,8.0,15.0,34.0,5.0
24.0,Ketevan Feradze (ქეთევან ფერაძე),196.0,48.0,36.0,27.0,9.0,2.0,38.0,2.0,8.0,5.0,16.0,5.0
25.0,Dachi Dzeria,204.0,31.0,42.0,16.0,9.0,2.0,38.0,2.0,8.0,17.0,34.0,5.0
25.0,Irakli Siradze (ირაკლი სირაძე),204.0,23.0,20.0,27.0,9.0,2.0,38.0,2.0,8.0,36.0,34.0,5.0
27.0,Sandro Benashvili (სანდრო ბენაშვილი),210.0,11.0,11.0,27.0,9.0,2.0,14.0,2.0,8.0,87.0,34.0,5.0
28.0,Luka Patarqalashvili (ლუკა პატარქალაშვილი),217.0,30.0,34.0,15.0,9.0,2.0,38.0,2.0,8.0,40.0,34.0,5.0
29.0,Revaz Mamatsashvili (რევაზ მამაცაშვილი),228.0,26.0,35.0,12.0,9.0,2.0,22.0,2.0,8.0,73.0,34.0,5.0
30.0,Giorgi Sutiashvili (გიორგი სუთიაშვილი),232.0,7.0,109.0,14.0,9.0,2.0,15.0,2.0,8.0,27.0,34.0,5.0
31.0,Luka Kvavilashvili (ლუკა ყვავილაშვილი),233.0,21.0,24.0,19.0,8.0,2.0,23.0,2.0,8.0,87.0,34.0,5.0
32.0,Lasha Getiashvili,234.0,12.0,10.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
33.0,Roin Rukhiashvili (როინ რუხიაშვილი),241.0,52.0,31.0,23.0,9.0,2.0,36.0,2.0,8.0,45.0,28.0,5.0
34.0,Irakli Javaxadze (ირაკლი ჯავახაძე),247.0,31.0,33.0,25.0,9.0,2.0,24.0,2.0,8.0,74.0,34.0,5.0
35.0,Luka Sesitashvili,249.0,42.0,54.0,27.0,9.0,2.0,38.0,2.0,8.0,48.0,14.0,5.0
36.0,Gaga Khoperia,257.0,24.0,21.0,27.0,9.0,2.0,38.0,2.0,8.0,87.0,34.0,5.0
37.0,Giorgi Adeishvili (გიორგი ადეიშვილი),258.0,17.0,38.0,27.0,9.0,2.0,29.0,2.0,8.0,87.0,34.0,5.0
37.0,Lali Amiranashvili (ლალი ამირანაშვილი),258.0,54.0,43.0,27.0,9.0,2.0,38.0,2.0,6.0,42.0,30.0,5.0
39.0,Sandro Saria,262.0,46.0,45.0,27.0,9.0,2.0,38.0,2.0,8.0,56.0,24.0,5.0
