Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Oliver Fritz,108.0,7.0,4.0,4.0,10.0,11.0,11.0,3.0,11.0,7.0,15.0,5.0,1.0,4.0,6.0,1.0,8.0
2.0,Henri Gerber,129.0,5.0,5.0,5.0,7.0,7.0,6.0,8.0,29.0,9.0,8.0,2.0,9.0,2.0,2.0,17.0,8.0
3.0,Kevin Gerhardt,143.0,3.0,1.0,2.0,2.0,2.0,3.0,48.0,19.0,3.0,28.0,1.0,2.0,1.0,3.0,17.0,8.0
4.0,Alexander Botz,259.0,22.0,20.0,22.0,5.0,4.0,2.0,38.0,13.0,14.0,26.0,23.0,22.0,20.0,9.0,11.0,8.0
5.0,Joel Cetra,270.0,35.0,9.0,11.0,9.0,8.0,10.0,29.0,23.0,29.0,18.0,13.0,6.0,28.0,17.0,17.0,8.0
6.0,Malte Ihlefeld,342.0,46.0,65.0,26.0,14.0,14.0,13.0,26.0,2.0,36.0,12.0,10.0,11.0,34.0,8.0,17.0,8.0
7.0,Lucas Wesche,357.0,25.0,40.0,8.0,6.0,5.0,4.0,25.0,22.0,23.0,61.0,4.0,68.0,29.0,12.0,17.0,8.0
8.0,Laura Holzhauer,382.0,53.0,55.0,18.0,12.0,6.0,9.0,33.0,64.0,19.0,7.0,7.0,40.0,14.0,20.0,17.0,8.0
9.0,Noah Kraft,399.0,16.0,6.0,43.0,49.0,45.0,44.0,4.0,5.0,12.0,32.0,63.0,24.0,7.0,28.0,17.0,4.0
10.0,Wilhelm Kilders,444.0,87.0,30.0,31.0,28.0,12.0,12.0,49.0,23.0,47.0,11.0,31.0,38.0,10.0,10.0,17.0,8.0
11.0,Jonathan Blöcher,450.0,32.0,10.0,45.0,22.0,19.0,26.0,6.0,58.0,42.0,39.0,15.0,59.0,31.0,43.0,2.0,1.0
12.0,Emanuel Rheinert,461.0,32.0,16.0,16.0,39.0,26.0,27.0,32.0,8.0,37.0,60.0,49.0,43.0,46.0,5.0,17.0,8.0
13.0,Jan Bentlage,473.0,98.0,20.0,78.0,60.0,36.0,28.0,14.0,1.0,43.0,14.0,26.0,20.0,12.0,18.0,3.0,2.0
14.0,Christian König,483.0,73.0,34.0,42.0,32.0,25.0,25.0,40.0,38.0,20.0,46.0,29.0,10.0,15.0,29.0,17.0,8.0
15.0,Leonard Wetzel,548.0,63.0,19.0,40.0,41.0,35.0,31.0,85.0,71.0,30.0,36.0,18.0,23.0,6.0,25.0,17.0,8.0
16.0,Fabian Browa,563.0,37.0,14.0,43.0,31.0,28.0,38.0,85.0,99.0,34.0,35.0,42.0,42.0,3.0,7.0,17.0,8.0
17.0,Niclas Mach,580.0,47.0,27.0,53.0,48.0,57.0,46.0,46.0,29.0,38.0,33.0,37.0,25.0,32.0,37.0,17.0,8.0
18.0,Elias Fischer,607.0,42.0,50.0,12.0,17.0,16.0,19.0,18.0,99.0,59.0,126.0,3.0,48.0,17.0,56.0,17.0,8.0
19.0,Jonas Pilhöfer,621.0,11.0,23.0,19.0,46.0,72.0,76.0,85.0,99.0,2.0,71.0,6.0,14.0,27.0,45.0,17.0,8.0
20.0,Magnus Lensch,633.0,12.0,37.0,49.0,38.0,44.0,64.0,85.0,28.0,1.0,4.0,30.0,144.0,57.0,15.0,17.0,8.0
21.0,Sebastian Werb,662.0,18.0,26.0,21.0,26.0,24.0,34.0,12.0,99.0,27.0,139.0,44.0,82.0,71.0,14.0,17.0,8.0
22.0,Balder Henke,725.0,10.0,128.0,14.0,11.0,15.0,21.0,85.0,99.0,18.0,45.0,52.0,71.0,109.0,22.0,17.0,8.0
23.0,Linus Buck,726.0,30.0,7.0,23.0,16.0,13.0,17.0,75.0,32.0,40.0,178.0,24.0,5.0,15.0,226.0,17.0,8.0
24.0,Mats Walker,762.0,31.0,42.0,73.0,43.0,31.0,32.0,63.0,11.0,83.0,17.0,59.0,96.0,98.0,58.0,17.0,8.0
25.0,Patrick Hetco,798.0,13.0,29.0,20.0,20.0,32.0,54.0,85.0,99.0,6.0,51.0,54.0,86.0,175.0,49.0,17.0,8.0
26.0,Carsten Matheus,809.0,118.0,110.0,47.0,34.0,18.0,14.0,72.0,46.0,72.0,53.0,32.0,122.0,5.0,41.0,17.0,8.0
27.0,Frederik Hutfleß,811.0,58.0,13.0,90.0,76.0,55.0,61.0,85.0,75.0,16.0,31.0,85.0,76.0,13.0,52.0,17.0,8.0
28.0,Ricardo Olea Catalán,874.0,109.0,46.0,99.0,35.0,23.0,23.0,85.0,26.0,99.0,59.0,58.0,95.0,24.0,68.0,17.0,8.0
29.0,Jakob Schöley,882.0,56.0,91.0,61.0,54.0,68.0,122.0,85.0,69.0,13.0,5.0,80.0,25.0,96.0,32.0,17.0,8.0
30.0,Linus Kunath,891.0,135.0,90.0,55.0,40.0,41.0,35.0,85.0,84.0,87.0,13.0,41.0,12.0,76.0,72.0,17.0,8.0
31.0,Sébastien Auroux,914.0,158.0,27.0,109.0,99.0,69.0,52.0,39.0,2.0,104.0,21.0,86.0,29.0,37.0,57.0,17.0,8.0
32.0,Gil Kochbeck,992.0,66.0,53.0,52.0,58.0,49.0,66.0,85.0,99.0,163.0,30.0,135.0,45.0,55.0,11.0,17.0,8.0
33.0,Christian Beemelmann,1035.0,87.0,100.0,60.0,66.0,63.0,83.0,85.0,99.0,39.0,124.0,72.0,56.0,11.0,65.0,17.0,8.0
34.0,Hannes Müller,1049.0,128.0,146.0,46.0,68.0,40.0,49.0,24.0,48.0,52.0,242.0,33.0,90.0,56.0,4.0,15.0,8.0
35.0,Simon Burian,1083.0,50.0,83.0,74.0,44.0,81.0,115.0,85.0,99.0,81.0,6.0,100.0,87.0,119.0,34.0,17.0,8.0
36.0,Constantin Lüske,1100.0,77.0,162.0,70.0,42.0,30.0,18.0,85.0,99.0,95.0,112.0,16.0,118.0,72.0,79.0,17.0,8.0
37.0,Cedric Meysing,1103.0,141.0,216.0,108.0,63.0,22.0,30.0,16.0,13.0,120.0,77.0,109.0,17.0,66.0,92.0,10.0,3.0
38.0,Jakob Obleser,1121.0,89.0,87.0,75.0,77.0,47.0,41.0,56.0,99.0,78.0,69.0,61.0,54.0,156.0,107.0,17.0,8.0
39.0,Luis Kleinheinz,1123.0,179.0,108.0,125.0,73.0,64.0,56.0,44.0,36.0,41.0,3.0,130.0,111.0,59.0,69.0,17.0,8.0
40.0,Dominic Amrhein,1126.0,115.0,30.0,96.0,80.0,143.0,101.0,85.0,99.0,108.0,138.0,38.0,16.0,29.0,23.0,17.0,8.0
41.0,Linus Frész,1153.0,159.0,116.0,120.0,72.0,60.0,58.0,11.0,2.0,132.0,79.0,27.0,91.0,163.0,38.0,17.0,8.0
42.0,Nik Maraun,1162.0,9.0,92.0,63.0,78.0,169.0,196.0,85.0,99.0,55.0,47.0,34.0,81.0,79.0,50.0,17.0,8.0
43.0,Andreas Gröbmayr,1168.0,91.0,54.0,33.0,29.0,34.0,51.0,57.0,99.0,158.0,117.0,9.0,27.0,154.0,230.0,17.0,8.0
44.0,Max Hahnbück,1232.0,160.0,22.0,126.0,132.0,93.0,80.0,66.0,26.0,105.0,140.0,105.0,72.0,26.0,54.0,17.0,8.0
45.0,Finn Ickler,1236.0,38.0,62.0,29.0,25.0,27.0,39.0,85.0,58.0,60.0,58.0,256.0,155.0,48.0,271.0,17.0,8.0
46.0,Amelie Dieterich,1243.0,187.0,222.0,110.0,84.0,73.0,69.0,54.0,54.0,147.0,42.0,19.0,73.0,33.0,51.0,17.0,8.0
47.0,Konstantin Jaehne,1252.0,134.0,71.0,106.0,128.0,125.0,143.0,5.0,13.0,73.0,2.0,185.0,96.0,125.0,31.0,7.0,8.0
48.0,Dominik Beese,1265.0,115.0,36.0,98.0,166.0,122.0,140.0,71.0,99.0,91.0,64.0,103.0,32.0,67.0,36.0,17.0,8.0
49.0,Yannick Richter,1276.0,81.0,34.0,86.0,116.0,97.0,114.0,43.0,99.0,83.0,87.0,51.0,75.0,222.0,63.0,17.0,8.0
50.0,Konstantin Krämer,1277.0,54.0,75.0,50.0,81.0,134.0,86.0,85.0,99.0,80.0,163.0,66.0,58.0,40.0,181.0,17.0,8.0
51.0,Alexis Fedeler,1285.0,93.0,30.0,84.0,110.0,111.0,108.0,28.0,25.0,32.0,234.0,55.0,196.0,84.0,75.0,12.0,8.0
52.0,Nicos Ahlgrimm,1300.0,74.0,92.0,6.0,24.0,43.0,57.0,85.0,99.0,44.0,242.0,70.0,57.0,111.0,271.0,17.0,8.0
53.0,Sören Jaan Handschuch,1303.0,52.0,92.0,68.0,47.0,100.0,87.0,85.0,99.0,46.0,242.0,101.0,167.0,21.0,71.0,17.0,8.0
54.0,Francesco Schmitt,1334.0,147.0,62.0,82.0,117.0,70.0,68.0,85.0,87.0,136.0,19.0,22.0,183.0,112.0,119.0,17.0,8.0
