Rank,name,Sum,333,222,444,333oh,minx,pyram,skewb,sq1
1.0,Benjamin Orthner,16.0,1.0,2.0,1.0,1.0,2.0,5.0,2.0,2.0
2.0,Zaffery Hammond-Aryee,18.0,5.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0
3.0,Malek Hamoui,28.0,10.0,5.0,3.0,3.0,1.0,1.0,3.0,2.0
4.0,Ransford Gyasi,33.0,2.0,8.0,3.0,3.0,2.0,9.0,4.0,2.0
4.0,Moses Baiden,33.0,7.0,3.0,3.0,3.0,2.0,9.0,4.0,2.0
6.0,Gavriel Badu Egyir,34.0,3.0,8.0,3.0,3.0,2.0,9.0,4.0,2.0
7.0,Peter Nyarko Dankwa,35.0,4.0,8.0,3.0,3.0,2.0,9.0,4.0,2.0
7.0,Bernard Badu Arkoh,35.0,9.0,7.0,2.0,2.0,2.0,7.0,4.0,2.0
7.0,Shaun Kudjawu,35.0,8.0,4.0,3.0,3.0,2.0,9.0,4.0,2.0
10.0,Eugene Sarpong Frimpong,37.0,6.0,8.0,3.0,3.0,2.0,9.0,4.0,2.0
11.0,Omar Rafic El Katerji,38.0,12.0,8.0,3.0,3.0,2.0,4.0,4.0,2.0
12.0,Miguel Yoofi Asmah,42.0,11.0,8.0,3.0,3.0,2.0,9.0,4.0,2.0
12.0,Caleb Amo,42.0,13.0,6.0,3.0,3.0,2.0,9.0,4.0,2.0
14.0,Ekow Ogoe Bentsi-Enchill,45.0,14.0,8.0,3.0,3.0,2.0,9.0,4.0,2.0
15.0,Hamida Abdul Wahab,46.0,15.0,8.0,3.0,3.0,2.0,9.0,4.0,2.0
16.0,Huda Karroum,47.0,22.0,8.0,3.0,3.0,2.0,3.0,4.0,2.0
16.0,Janelle Gyampo,47.0,16.0,8.0,3.0,3.0,2.0,9.0,4.0,2.0
18.0,Allen Kpentey,48.0,17.0,8.0,3.0,3.0,2.0,9.0,4.0,2.0
18.0,Micah Opuni,48.0,20.0,8.0,3.0,3.0,2.0,6.0,4.0,2.0
20.0,Aaron Godfried Oquaye,49.0,18.0,8.0,3.0,3.0,2.0,9.0,4.0,2.0
20.0,Lina Fattal,49.0,19.0,8.0,3.0,3.0,2.0,8.0,4.0,2.0
22.0,Lloyd Thompson,52.0,21.0,8.0,3.0,3.0,2.0,9.0,4.0,2.0
