Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Zois Lefkidis,137.0,7.0,16.0,4.0,2.0,2.0,2.0,4.0,9.0,18.0,25.0,8.0,10.0,13.0,17.0
2.0,Nikolas Baxevanis,176.0,13.0,14.0,27.0,21.0,26.0,20.0,4.0,9.0,16.0,6.0,10.0,3.0,2.0,5.0
3.0,Nikolaos Zikos,197.0,9.0,32.0,9.0,12.0,10.0,20.0,4.0,9.0,14.0,30.0,1.0,7.0,7.0,33.0
4.0,Nikos Preda,237.0,37.0,8.0,18.0,29.0,26.0,20.0,4.0,9.0,35.0,14.0,9.0,17.0,8.0,3.0
5.0,Thodoris Tsoleridis,269.0,41.0,19.0,12.0,11.0,7.0,20.0,4.0,9.0,31.0,17.0,41.0,30.0,18.0,9.0
6.0,Vasilis Prigkos,270.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,9.0,115.0,30.0,41.0,5.0,40.0,11.0
7.0,Iraklis Magioglou,281.0,64.0,50.0,14.0,9.0,5.0,20.0,4.0,6.0,36.0,20.0,12.0,28.0,9.0,4.0
8.0,Panos Gkotsis,308.0,18.0,3.0,6.0,6.0,26.0,20.0,4.0,2.0,5.0,30.0,5.0,36.0,114.0,33.0
9.0,Vasilis Vasileris,309.0,3.0,6.0,8.0,7.0,17.0,16.0,4.0,9.0,10.0,30.0,41.0,11.0,114.0,33.0
10.0,Billy Palaiologos,323.0,10.0,5.0,4.0,5.0,26.0,20.0,4.0,9.0,3.0,30.0,41.0,19.0,114.0,33.0
11.0,Konstantinos Parissis,324.0,22.0,26.0,31.0,50.0,26.0,20.0,4.0,9.0,28.0,30.0,15.0,9.0,21.0,33.0
12.0,Athanasios Iasonas Mulonas,360.0,8.0,7.0,7.0,10.0,11.0,8.0,4.0,9.0,2.0,30.0,41.0,76.0,114.0,33.0
13.0,Konstantinos Pantoulas,364.0,35.0,77.0,10.0,8.0,4.0,7.0,4.0,9.0,11.0,30.0,41.0,41.0,80.0,7.0
14.0,Athanasios Bouboulis,388.0,48.0,22.0,50.0,50.0,26.0,20.0,4.0,8.0,42.0,1.0,41.0,18.0,26.0,32.0
15.0,Panagiotis Christopoulos,409.0,92.0,19.0,104.0,50.0,26.0,20.0,4.0,9.0,23.0,2.0,21.0,8.0,4.0,27.0
16.0,Thodoris Iatrou,412.0,30.0,67.0,21.0,19.0,26.0,6.0,1.0,9.0,63.0,10.0,4.0,92.0,48.0,16.0
17.0,Giorgos Exarchos,417.0,12.0,12.0,36.0,50.0,26.0,20.0,4.0,9.0,19.0,30.0,41.0,96.0,60.0,2.0
18.0,Alexandros Kalaitzis,425.0,39.0,29.0,23.0,18.0,16.0,12.0,4.0,9.0,115.0,30.0,41.0,22.0,34.0,33.0
19.0,Alexandra Vacondiou,436.0,31.0,30.0,104.0,50.0,26.0,20.0,4.0,9.0,55.0,11.0,41.0,13.0,23.0,19.0
20.0,Andreas Karagounis,444.0,59.0,73.0,13.0,13.0,8.0,4.0,4.0,9.0,115.0,30.0,7.0,61.0,15.0,33.0
21.0,Thanasis Kotsalis,448.0,115.0,69.0,40.0,15.0,26.0,20.0,4.0,9.0,27.0,30.0,41.0,2.0,25.0,25.0
22.0,Giannis Grigoropoulos,453.0,4.0,24.0,26.0,50.0,26.0,20.0,4.0,9.0,26.0,30.0,33.0,135.0,33.0,33.0
23.0,Haridimos Gourniezakis,458.0,14.0,15.0,69.0,50.0,26.0,20.0,4.0,9.0,40.0,13.0,41.0,108.0,16.0,33.0
24.0,Taxiarchis Vaxevanis,470.0,27.0,55.0,15.0,50.0,26.0,20.0,4.0,9.0,6.0,30.0,16.0,176.0,3.0,33.0
25.0,Alexandros Efremidis,476.0,20.0,28.0,22.0,20.0,19.0,20.0,4.0,4.0,32.0,3.0,41.0,116.0,114.0,33.0
26.0,Ioannis Ntalis,478.0,87.0,25.0,104.0,50.0,26.0,20.0,4.0,9.0,57.0,12.0,41.0,4.0,6.0,33.0
26.0,Antonios Zafeirelis,478.0,29.0,44.0,20.0,16.0,14.0,13.0,4.0,9.0,50.0,29.0,41.0,164.0,27.0,18.0
28.0,Konstantinos Topouzidis,512.0,26.0,17.0,54.0,50.0,26.0,20.0,4.0,9.0,104.0,30.0,41.0,59.0,39.0,33.0
29.0,Konstantinos Zaglanis,518.0,53.0,73.0,104.0,50.0,26.0,20.0,4.0,9.0,37.0,15.0,6.0,57.0,31.0,33.0
30.0,George Gavriil,521.0,19.0,88.0,30.0,50.0,26.0,18.0,4.0,9.0,9.0,30.0,41.0,50.0,114.0,33.0
31.0,Ioannis Polyzos,523.0,34.0,45.0,71.0,50.0,26.0,20.0,4.0,9.0,12.0,30.0,41.0,34.0,114.0,33.0
32.0,Dimitris Lefas,527.0,89.0,18.0,104.0,50.0,26.0,20.0,4.0,9.0,39.0,30.0,41.0,53.0,11.0,33.0
33.0,Pantos Pantos,531.0,53.0,56.0,29.0,25.0,26.0,20.0,4.0,9.0,52.0,30.0,41.0,84.0,69.0,33.0
