Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Javier Siquité,104.0,3.0,1.0,4.0,3.0,3.0,2.0,17.0,18.0,5.0,14.0,15.0,11.0,6.0,2.0
2.0,Gabriel Barrios,116.0,4.0,13.0,17.0,10.0,2.0,22.0,2.0,7.0,1.0,8.0,9.0,1.0,8.0,12.0
3.0,Jose Javier Melendez Maldonado,153.0,1.0,4.0,2.0,5.0,4.0,4.0,17.0,18.0,3.0,41.0,11.0,16.0,19.0,8.0
4.0,Shalóm Melquisedec Batz Rodríguez,157.0,2.0,8.0,15.0,14.0,18.0,18.0,17.0,18.0,2.0,6.0,4.0,2.0,7.0,26.0
5.0,Daniel Escobar,174.0,9.0,33.0,1.0,1.0,6.0,9.0,14.0,3.0,11.0,9.0,36.0,27.0,14.0,1.0
6.0,Jesser Armando Ramírez Diaz,185.0,14.0,30.0,7.0,8.0,1.0,1.0,17.0,18.0,14.0,12.0,33.0,20.0,4.0,6.0
7.0,Aldo José Gramajo de León,212.0,8.0,17.0,3.0,4.0,12.0,8.0,17.0,4.0,7.0,1.0,42.0,36.0,38.0,15.0
8.0,Olander Rafael Hernández Morales,218.0,33.0,18.0,24.0,15.0,10.0,7.0,17.0,6.0,38.0,4.0,8.0,23.0,1.0,14.0
9.0,Brian Bernabé Bolaños Arreaga,222.0,6.0,6.0,6.0,2.0,16.0,3.0,17.0,18.0,34.0,41.0,26.0,5.0,15.0,27.0
10.0,Daniel Méndez,244.0,22.0,40.0,12.0,9.0,15.0,11.0,17.0,18.0,15.0,13.0,34.0,9.0,22.0,7.0
11.0,Francisco Alberto Castañeda Lima,284.0,26.0,7.0,36.0,37.0,29.0,26.0,17.0,10.0,12.0,19.0,40.0,10.0,5.0,10.0
12.0,Pablo Say,290.0,49.0,25.0,34.0,24.0,19.0,19.0,10.0,4.0,28.0,11.0,38.0,7.0,11.0,11.0
12.0,Manuel Aleandro Chang Pérez,290.0,19.0,10.0,26.0,22.0,27.0,29.0,6.0,15.0,22.0,36.0,13.0,13.0,32.0,20.0
14.0,Esdras Rodolfo Toc Hi,314.0,30.0,22.0,18.0,26.0,24.0,23.0,17.0,9.0,34.0,25.0,27.0,32.0,24.0,3.0
15.0,Alexander Batz,328.0,13.0,19.0,19.0,21.0,25.0,36.0,17.0,2.0,23.0,23.0,1.0,8.0,80.0,41.0
16.0,Sergio Bulux,372.0,36.0,67.0,28.0,16.0,21.0,17.0,5.0,18.0,46.0,26.0,10.0,25.0,27.0,30.0
17.0,Juan Jose Ajcam,385.0,31.0,24.0,41.0,33.0,38.0,36.0,8.0,18.0,4.0,41.0,2.0,35.0,58.0,16.0
18.0,Kevin Ochaita,393.0,59.0,35.0,35.0,31.0,31.0,36.0,17.0,18.0,8.0,10.0,18.0,4.0,37.0,54.0
19.0,Rubén Moir Ramirez,394.0,16.0,5.0,39.0,32.0,38.0,36.0,17.0,18.0,84.0,41.0,7.0,13.0,3.0,45.0
20.0,Jaime Andrés Escobar Chan,433.0,64.0,21.0,38.0,18.0,17.0,13.0,17.0,18.0,41.0,41.0,53.0,38.0,17.0,37.0
21.0,Natalia Sosa,442.0,10.0,11.0,11.0,12.0,14.0,16.0,17.0,18.0,44.0,41.0,31.0,82.0,73.0,62.0
22.0,Ronald Josué Sicá Alvarado,445.0,81.0,51.0,45.0,42.0,22.0,21.0,17.0,13.0,60.0,2.0,19.0,42.0,12.0,18.0
23.0,Josué Arévalo,456.0,34.0,30.0,44.0,35.0,38.0,36.0,17.0,18.0,21.0,41.0,41.0,63.0,25.0,13.0
24.0,Luis Fernando Icú Son,462.0,24.0,56.0,32.0,25.0,38.0,20.0,17.0,18.0,6.0,41.0,84.0,43.0,35.0,23.0
25.0,Gerson Alexander Urbina Gonzalez,508.0,23.0,38.0,22.0,28.0,38.0,36.0,17.0,18.0,25.0,41.0,84.0,29.0,47.0,62.0
26.0,Adrián Ramírez,509.0,40.0,35.0,68.0,41.0,34.0,32.0,13.0,1.0,24.0,15.0,54.0,33.0,100.0,19.0
27.0,Douglas Marco Tulio Pereira López,528.0,43.0,9.0,43.0,75.0,38.0,36.0,17.0,8.0,66.0,27.0,73.0,15.0,16.0,62.0
28.0,Fernando José Muchuch Chavez,531.0,74.0,27.0,88.0,63.0,38.0,36.0,7.0,18.0,62.0,5.0,20.0,22.0,9.0,62.0
29.0,Cristian Javier Garcia Montejo,540.0,20.0,2.0,9.0,6.0,5.0,5.0,17.0,18.0,9.0,41.0,23.0,151.0,172.0,62.0
30.0,Diego Tobar,553.0,17.0,30.0,20.0,38.0,38.0,36.0,17.0,18.0,47.0,41.0,47.0,19.0,123.0,62.0
31.0,Eduardo Cabrera,561.0,64.0,37.0,40.0,20.0,38.0,36.0,17.0,18.0,37.0,41.0,6.0,3.0,164.0,40.0
32.0,Gabriel Gilberto Chocooj Villagran,569.0,64.0,14.0,53.0,60.0,38.0,36.0,17.0,18.0,39.0,22.0,84.0,39.0,23.0,62.0
32.0,Sergio Antonio Menéndez Cardona,569.0,12.0,12.0,42.0,61.0,35.0,36.0,17.0,18.0,16.0,41.0,52.0,112.0,53.0,62.0
34.0,Mario Fernando Reyes Morales,579.0,53.0,67.0,10.0,30.0,38.0,36.0,17.0,18.0,80.0,35.0,30.0,47.0,56.0,62.0
35.0,Gerardo Pérez,596.0,64.0,45.0,50.0,50.0,38.0,36.0,17.0,18.0,56.0,41.0,67.0,21.0,43.0,50.0
36.0,Isidro Ramírez Domínguez,607.0,105.0,81.0,65.0,44.0,26.0,30.0,17.0,18.0,74.0,3.0,25.0,31.0,26.0,62.0
37.0,Eduardo David Mazariegos Cifuentes,626.0,52.0,58.0,31.0,19.0,20.0,25.0,17.0,18.0,93.0,41.0,63.0,87.0,40.0,62.0
38.0,Seth Nephi Perez Arevalo,652.0,63.0,42.0,59.0,53.0,32.0,36.0,17.0,18.0,10.0,41.0,22.0,156.0,71.0,32.0
39.0,Eder Alberto Samayoa Lopez,670.0,93.0,3.0,117.0,96.0,38.0,36.0,17.0,18.0,29.0,30.0,84.0,17.0,30.0,62.0
40.0,Jose Gilberto Tello Tello,695.0,70.0,59.0,30.0,29.0,38.0,36.0,17.0,18.0,50.0,41.0,84.0,130.0,59.0,34.0
41.0,Jefferson Antonio Morales Cruz,696.0,7.0,29.0,33.0,96.0,38.0,36.0,17.0,18.0,33.0,41.0,16.0,98.0,172.0,62.0
42.0,Dayner Gomez,697.0,76.0,93.0,73.0,40.0,28.0,27.0,17.0,18.0,42.0,41.0,44.0,96.0,69.0,33.0
43.0,Manuel José Domínguez Ávila,707.0,29.0,15.0,13.0,39.0,38.0,36.0,9.0,18.0,36.0,33.0,32.0,212.0,154.0,43.0
44.0,Josue Leiva,709.0,18.0,27.0,14.0,43.0,38.0,36.0,17.0,18.0,17.0,41.0,14.0,299.0,122.0,5.0
45.0,Daniel Alexander González Mazariegos,722.0,75.0,48.0,67.0,96.0,38.0,36.0,17.0,18.0,126.0,39.0,5.0,82.0,13.0,62.0
46.0,Luis Esteban Morales Orozco,724.0,69.0,53.0,37.0,58.0,38.0,36.0,17.0,18.0,18.0,41.0,49.0,126.0,102.0,62.0
47.0,Katherine Aguilar,751.0,54.0,66.0,58.0,96.0,38.0,36.0,17.0,18.0,31.0,41.0,84.0,109.0,68.0,35.0
48.0,Brandon Gil,754.0,103.0,26.0,89.0,74.0,38.0,36.0,17.0,18.0,83.0,31.0,84.0,68.0,40.0,47.0
49.0,Edward Mendez,770.0,135.0,94.0,57.0,67.0,33.0,36.0,17.0,12.0,72.0,21.0,65.0,81.0,18.0,62.0
50.0,Luis Estuardo Monterroso Chán,776.0,117.0,20.0,126.0,96.0,38.0,36.0,17.0,18.0,92.0,41.0,68.0,6.0,39.0,62.0
51.0,Juan Pablo Mendez Martinez,777.0,32.0,136.0,21.0,13.0,7.0,12.0,17.0,18.0,58.0,41.0,84.0,104.0,172.0,62.0
52.0,Jak Fernando Essau Morales Garcia,793.0,51.0,123.0,29.0,17.0,8.0,6.0,17.0,18.0,54.0,41.0,46.0,304.0,30.0,49.0
53.0,Otto Normanns,813.0,95.0,45.0,52.0,27.0,9.0,15.0,17.0,18.0,88.0,41.0,84.0,88.0,172.0,62.0
54.0,Efrain Lopez,821.0,5.0,42.0,190.0,59.0,38.0,36.0,17.0,18.0,20.0,41.0,84.0,37.0,172.0,62.0
55.0,Richard Henry Figueroa Guitz,823.0,122.0,142.0,95.0,84.0,38.0,34.0,15.0,18.0,53.0,41.0,59.0,55.0,42.0,25.0
55.0,Marcos Jacome,823.0,87.0,101.0,82.0,96.0,38.0,36.0,17.0,18.0,91.0,37.0,12.0,51.0,129.0,28.0
57.0,Lester Cabrera,833.0,56.0,99.0,83.0,70.0,38.0,36.0,17.0,18.0,48.0,41.0,3.0,90.0,172.0,62.0
58.0,Marcelo Andre Detlefsen Zamora,834.0,80.0,81.0,74.0,96.0,38.0,36.0,17.0,18.0,140.0,41.0,61.0,46.0,67.0,39.0
59.0,Rodrigo Pinto,847.0,25.0,47.0,133.0,96.0,38.0,36.0,17.0,18.0,130.0,41.0,37.0,107.0,66.0,56.0
60.0,Dany José Pablo Cutzal Curruchich,850.0,89.0,98.0,77.0,47.0,38.0,36.0,17.0,18.0,40.0,41.0,84.0,71.0,132.0,62.0
61.0,Jefferson Ramírez,861.0,99.0,103.0,48.0,76.0,38.0,36.0,17.0,13.0,61.0,40.0,64.0,95.0,109.0,62.0
62.0,Juan Pablo Juarez,867.0,160.0,109.0,100.0,69.0,38.0,36.0,17.0,18.0,103.0,16.0,50.0,56.0,51.0,44.0
63.0,Luis Carlos Aguilar Caceres,870.0,85.0,57.0,54.0,96.0,38.0,36.0,17.0,18.0,228.0,41.0,84.0,34.0,20.0,62.0
64.0,Jurgen Lara,911.0,11.0,112.0,5.0,7.0,13.0,14.0,17.0,18.0,13.0,41.0,84.0,380.0,172.0,24.0
65.0,Juan Pablo Rojas Chinchilla,914.0,27.0,49.0,78.0,77.0,38.0,33.0,17.0,15.0,97.0,41.0,84.0,124.0,172.0,62.0
66.0,Rodrigo Anleu,920.0,48.0,53.0,46.0,36.0,23.0,36.0,17.0,18.0,63.0,41.0,84.0,221.0,172.0,62.0
67.0,Jorge Fernando Barrios Alay,938.0,68.0,145.0,71.0,56.0,38.0,36.0,11.0,18.0,96.0,41.0,84.0,40.0,172.0,62.0
68.0,Marvin Saucedo,940.0,58.0,105.0,140.0,96.0,38.0,36.0,17.0,18.0,71.0,41.0,66.0,110.0,82.0,62.0
69.0,Helmuth William Figueroa Guitz,952.0,208.0,77.0,153.0,92.0,38.0,36.0,17.0,17.0,111.0,41.0,60.0,17.0,34.0,51.0
70.0,Byron Juan Diego Tahay Lemus,956.0,92.0,52.0,190.0,96.0,38.0,36.0,17.0,18.0,86.0,41.0,17.0,115.0,96.0,62.0
71.0,Daniel Enrique Giron Reyna,963.0,173.0,61.0,190.0,96.0,38.0,36.0,17.0,18.0,109.0,18.0,84.0,85.0,21.0,17.0
72.0,Luis José Rodríguez Pérez,964.0,113.0,198.0,106.0,48.0,30.0,36.0,17.0,18.0,73.0,34.0,84.0,69.0,76.0,62.0
73.0,José Carlos Pérez García,969.0,14.0,89.0,16.0,96.0,11.0,10.0,17.0,18.0,95.0,41.0,84.0,244.0,172.0,62.0
73.0,Audrick Raúl Veliz Hernandez,969.0,159.0,95.0,107.0,96.0,38.0,36.0,17.0,18.0,104.0,41.0,84.0,59.0,79.0,36.0
75.0,Rafael Alejandro Menchù Tuy,1010.0,83.0,156.0,79.0,96.0,38.0,36.0,17.0,18.0,187.0,41.0,84.0,65.0,48.0,62.0
76.0,Erick Estuardo Miranda Lopez,1012.0,96.0,147.0,69.0,78.0,38.0,36.0,17.0,18.0,123.0,41.0,84.0,140.0,63.0,62.0
77.0,Allison Daniela Cajas Girón,1018.0,190.0,74.0,156.0,96.0,38.0,36.0,17.0,18.0,144.0,20.0,55.0,72.0,49.0,53.0
78.0,Andres Prado Garzaro,1019.0,46.0,71.0,62.0,46.0,38.0,24.0,17.0,18.0,27.0,41.0,56.0,339.0,172.0,62.0
79.0,Diego Diaz,1023.0,94.0,146.0,94.0,51.0,38.0,36.0,17.0,18.0,122.0,41.0,48.0,118.0,138.0,62.0
80.0,José Fabián López Ortega,1024.0,42.0,41.0,23.0,23.0,38.0,28.0,17.0,18.0,55.0,41.0,84.0,380.0,172.0,62.0
81.0,Fredy Andre Trigueros Zeceña,1025.0,110.0,111.0,110.0,96.0,38.0,36.0,17.0,18.0,90.0,41.0,84.0,94.0,118.0,62.0
82.0,Daniel Estuardo Tobar López,1045.0,61.0,64.0,64.0,64.0,38.0,36.0,17.0,18.0,45.0,41.0,84.0,380.0,104.0,29.0
83.0,Alexander Yovanni Matul Andrade,1063.0,134.0,83.0,190.0,96.0,38.0,36.0,17.0,18.0,101.0,41.0,84.0,99.0,64.0,62.0
84.0,Jonatan David Saenz Perez,1067.0,38.0,65.0,8.0,96.0,38.0,36.0,17.0,18.0,67.0,41.0,29.0,380.0,172.0,62.0
85.0,Joaquin Ortega,1074.0,90.0,135.0,79.0,96.0,38.0,36.0,17.0,18.0,65.0,41.0,84.0,141.0,172.0,62.0
86.0,Samuel Alay Hernandez,1094.0,121.0,84.0,102.0,96.0,38.0,36.0,17.0,18.0,228.0,41.0,84.0,75.0,92.0,62.0
87.0,Angel Ruano,1104.0,105.0,184.0,175.0,93.0,38.0,36.0,4.0,18.0,75.0,41.0,39.0,62.0,172.0,62.0
