Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
1.0,Gerardo Varela,58.0,7.0,3.0,7.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,4.0,7.0
2.0,Luis David Hernández Mejía,62.0,6.0,7.0,4.0,1.0,1.0,1.0,3.0,4.0,3.0,9.0,6.0,9.0,8.0
3.0,Fabio Lenin Tabora Castillo,85.0,8.0,9.0,8.0,9.0,4.0,3.0,3.0,7.0,5.0,8.0,5.0,7.0,9.0
4.0,Juan Carlos Boquín Izaguirre,90.0,9.0,4.0,12.0,7.0,4.0,3.0,3.0,22.0,5.0,11.0,1.0,5.0,4.0
5.0,José Lisandro Velásquez Martínez,94.0,2.0,5.0,2.0,10.0,4.0,3.0,3.0,6.0,5.0,1.0,11.0,33.0,9.0
6.0,Jose Carlo Valladares,104.0,10.0,18.0,3.0,10.0,4.0,3.0,3.0,11.0,5.0,15.0,12.0,1.0,9.0
7.0,Dorian Ernesto Rosales Rodriguez,124.0,24.0,19.0,16.0,2.0,2.0,2.0,3.0,12.0,2.0,17.0,13.0,6.0,6.0
8.0,Javier Armando Cruz Santos,131.0,28.0,6.0,23.0,10.0,4.0,3.0,3.0,10.0,5.0,7.0,9.0,14.0,9.0
8.0,Danniel Andrés Orellana Alvarado,131.0,11.0,8.0,13.0,10.0,4.0,3.0,3.0,16.0,5.0,2.0,14.0,33.0,9.0
10.0,Sara Abigail Cubas Cálix,132.0,27.0,27.0,11.0,10.0,4.0,3.0,3.0,12.0,4.0,4.0,7.0,11.0,9.0
11.0,Miguel Angel Edelman Vindel,146.0,1.0,1.0,1.0,10.0,4.0,3.0,3.0,1.0,5.0,20.0,55.0,33.0,9.0
12.0,Rommel Alexander Reyes Nuñez,152.0,14.0,20.0,15.0,8.0,4.0,3.0,3.0,19.0,5.0,3.0,16.0,33.0,9.0
13.0,Oscar Salomón Martínez Moreno,157.0,41.0,15.0,31.0,10.0,4.0,3.0,3.0,21.0,1.0,13.0,3.0,3.0,9.0
14.0,Fares Daniel Flores Hernández,163.0,3.0,2.0,48.0,10.0,4.0,3.0,3.0,2.0,5.0,20.0,21.0,33.0,9.0
15.0,Alejandro Jose Amador Cruz,165.0,21.0,11.0,21.0,10.0,4.0,3.0,3.0,35.0,5.0,14.0,2.0,27.0,9.0
16.0,Nelson Alonso Hernández Sánchez,171.0,12.0,10.0,10.0,6.0,4.0,3.0,3.0,17.0,5.0,20.0,57.0,15.0,9.0
17.0,Oscar Armando Sauceda Benavidez,183.0,17.0,25.0,20.0,10.0,4.0,3.0,3.0,15.0,5.0,20.0,25.0,33.0,3.0
18.0,Néstor Emil Rodríguez Flores,185.0,31.0,38.0,9.0,5.0,4.0,3.0,3.0,41.0,5.0,20.0,15.0,2.0,9.0
19.0,Danny Joel Pacheco Umaña,204.0,16.0,17.0,48.0,10.0,4.0,3.0,3.0,18.0,5.0,20.0,18.0,33.0,9.0
20.0,Ramon Eduardo Yip Yip,220.0,13.0,44.0,5.0,4.0,4.0,3.0,3.0,9.0,5.0,20.0,68.0,33.0,9.0
21.0,Anthony Gabriel Torres Mejia,229.0,37.0,16.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,23.0,10.0,9.0
22.0,Harry Daniels Aguilar Alvarado,237.0,5.0,12.0,48.0,10.0,4.0,3.0,3.0,8.0,5.0,20.0,77.0,33.0,9.0
23.0,Erick Y. Maldonado,254.0,38.0,39.0,26.0,10.0,4.0,3.0,3.0,27.0,5.0,20.0,45.0,33.0,1.0
23.0,Elias Antonio Alvarez Ramos,254.0,57.0,42.0,33.0,10.0,4.0,3.0,3.0,25.0,5.0,20.0,10.0,33.0,9.0
25.0,Jonathan Pavón Gómez,255.0,23.0,27.0,48.0,10.0,4.0,3.0,3.0,3.0,5.0,10.0,77.0,33.0,9.0
26.0,Andres Eduardo Carias Colindres,258.0,21.0,13.0,28.0,10.0,4.0,3.0,3.0,32.0,5.0,20.0,77.0,33.0,9.0
27.0,Nelson Josué Vasquez Zambrano,263.0,15.0,26.0,17.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
27.0,Dennis Josue Blanco,263.0,19.0,35.0,6.0,10.0,4.0,3.0,1.0,41.0,5.0,20.0,77.0,33.0,9.0
27.0,Ubilson Abieser Hernández Mejía,263.0,19.0,67.0,42.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,7.0,33.0,9.0
30.0,Diego Alfredo Medina,265.0,45.0,29.0,39.0,10.0,4.0,3.0,3.0,24.0,5.0,20.0,49.0,25.0,9.0
31.0,Isaac Ayala,273.0,71.0,34.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,17.0,8.0,9.0
32.0,Andrés Rubio,276.0,46.0,24.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,30.0,33.0,9.0
32.0,Lester Alvarado Reyes,276.0,43.0,40.0,32.0,10.0,4.0,3.0,3.0,41.0,5.0,18.0,51.0,17.0,9.0
34.0,Alix Josue Calix Tinoco,291.0,56.0,56.0,40.0,10.0,4.0,3.0,3.0,28.0,5.0,20.0,24.0,33.0,9.0
35.0,Erick Daniel Sandoval Puerto,292.0,61.0,37.0,37.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,29.0,33.0,9.0
36.0,Jerson Saravia,294.0,47.0,46.0,29.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,44.0,33.0,9.0
37.0,Jairo Rodriguez,296.0,35.0,45.0,19.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,73.0,33.0,5.0
37.0,Sergio Navarro,296.0,74.0,51.0,34.0,10.0,4.0,3.0,3.0,34.0,5.0,20.0,36.0,13.0,9.0
39.0,Gabriel Hernández,297.0,60.0,30.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,31.0,33.0,9.0
40.0,Percy Yassir Ferrera Hernández,304.0,44.0,31.0,24.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
41.0,Gareth Daniel Romero Espinal,306.0,67.0,43.0,48.0,10.0,4.0,3.0,3.0,39.0,5.0,20.0,22.0,33.0,9.0
42.0,Carlos Roberto Bueso Enamorado,312.0,25.0,105.0,27.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,27.0,33.0,9.0
42.0,David Alexis Raudales Oseguera,312.0,55.0,14.0,48.0,10.0,4.0,3.0,3.0,38.0,5.0,20.0,77.0,33.0,2.0
44.0,Fernando David Banegas Moreno,313.0,58.0,66.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,20.0,26.0,9.0
45.0,Emerson Mejia,314.0,40.0,21.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
46.0,Harvin Eliam Pérez Inestroza,315.0,30.0,32.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
46.0,Camilo Tellez,315.0,39.0,23.0,48.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,77.0,33.0,9.0
48.0,Cristian David Flores Contreras,321.0,48.0,70.0,25.0,10.0,4.0,3.0,3.0,29.0,5.0,20.0,62.0,33.0,9.0
49.0,Rene Adolfo Merino Ruiz,325.0,77.0,49.0,44.0,10.0,4.0,3.0,3.0,41.0,5.0,20.0,38.0,22.0,9.0
