Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,Burno Li Chak Kwan (李澤堃),51.0,1.0,5.0,2.0,2.0,2.0,3.0,13.0,8.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0
2.0,Ivan Li Ka Leong (李嘉亮),63.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,18.0,2.0,9.0,10.0,4.0,2.0
3.0,Andy Mok Man Cheuk (莫文卓),66.0,3.0,6.0,3.0,3.0,3.0,4.0,13.0,3.0,6.0,3.0,3.0,3.0,5.0,6.0,2.0
4.0,Wong Yuk Chi (黃昱誌),140.0,17.0,4.0,7.0,7.0,6.0,7.0,13.0,11.0,10.0,10.0,6.0,18.0,8.0,14.0,2.0
5.0,Leung Ka Ho (梁家浩),185.0,20.0,22.0,5.0,6.0,7.0,6.0,6.0,9.0,7.0,14.0,25.0,15.0,17.0,24.0,2.0
6.0,Shek Ho Hin (石灝軒),196.0,45.0,17.0,16.0,11.0,8.0,8.0,13.0,13.0,22.0,2.0,12.0,13.0,6.0,8.0,2.0
7.0,Timothy Kong Wing Sum (江永琛),221.0,11.0,7.0,8.0,9.0,40.0,33.0,7.0,24.0,9.0,20.0,7.0,4.0,37.0,3.0,2.0
8.0,Wong Kin Lok (黃健樂),223.0,6.0,10.0,6.0,5.0,4.0,1.0,13.0,1.0,5.0,47.0,23.0,6.0,39.0,55.0,2.0
9.0,Chan Hui Tung (陳許瞳),243.0,41.0,18.0,14.0,17.0,12.0,15.0,13.0,7.0,20.0,17.0,15.0,27.0,23.0,2.0,2.0
10.0,Mok Man Kit (莫文傑),254.0,54.0,36.0,22.0,12.0,9.0,9.0,12.0,2.0,17.0,5.0,16.0,24.0,4.0,30.0,2.0
11.0,Chan Hay Yin (陳希言),267.0,57.0,26.0,27.0,21.0,11.0,11.0,8.0,9.0,29.0,11.0,13.0,17.0,12.0,13.0,2.0
12.0,Fung Hoi Yin (馮凱賢),287.0,10.0,24.0,4.0,4.0,5.0,5.0,13.0,23.0,8.0,47.0,9.0,89.0,18.0,26.0,2.0
13.0,Suen Ming Chi (孫銘志),295.0,64.0,26.0,11.0,14.0,40.0,33.0,13.0,19.0,16.0,1.0,26.0,2.0,7.0,21.0,2.0
14.0,Antonio Kam (甘浩東),299.0,14.0,12.0,20.0,13.0,17.0,23.0,1.0,13.0,1.0,42.0,50.0,41.0,15.0,35.0,2.0
15.0,Rinji Chan Pak Hei (陳柏熹),315.0,7.0,29.0,9.0,29.0,40.0,33.0,13.0,24.0,14.0,9.0,50.0,42.0,3.0,11.0,2.0
16.0,Victor Tang Yao Jun (湯曜駿),387.0,69.0,9.0,43.0,24.0,21.0,18.0,2.0,16.0,23.0,47.0,20.0,49.0,28.0,16.0,2.0
17.0,Tsang Hon Pong (曾漢邦),390.0,24.0,32.0,19.0,34.0,23.0,24.0,13.0,5.0,11.0,22.0,21.0,72.0,33.0,55.0,2.0
18.0,Michael Ngan (顏律言),393.0,41.0,56.0,13.0,19.0,14.0,12.0,13.0,15.0,44.0,40.0,17.0,21.0,31.0,55.0,2.0
19.0,Chung Yeung Ho (鍾養浩),399.0,49.0,57.0,23.0,23.0,19.0,31.0,13.0,20.0,26.0,7.0,32.0,47.0,9.0,41.0,2.0
20.0,Brian Wu Shang Zhi (鄔尚志),409.0,21.0,14.0,26.0,20.0,15.0,16.0,13.0,24.0,3.0,47.0,37.0,66.0,50.0,55.0,2.0
21.0,Ng Tsz Hei (吳紫熙),423.0,25.0,3.0,34.0,46.0,35.0,33.0,13.0,24.0,36.0,15.0,50.0,32.0,48.0,27.0,2.0
22.0,Henry Tang Kun Chung (鄧貫中),448.0,17.0,23.0,15.0,10.0,13.0,10.0,13.0,24.0,44.0,16.0,10.0,232.0,1.0,18.0,2.0
23.0,Jacky Koo Chun Ki (顧俊祺),485.0,53.0,116.0,36.0,32.0,24.0,21.0,13.0,24.0,75.0,12.0,4.0,10.0,29.0,34.0,2.0
24.0,Quinson Hon Kwan Shun (韓君信),557.0,31.0,15.0,59.0,43.0,40.0,33.0,13.0,24.0,69.0,35.0,50.0,58.0,30.0,55.0,2.0
25.0,Daniel Chiu,581.0,26.0,20.0,10.0,27.0,40.0,33.0,13.0,24.0,19.0,47.0,50.0,61.0,154.0,55.0,2.0
26.0,Lui Chi Fung (雷智鋒),603.0,98.0,128.0,37.0,47.0,29.0,20.0,13.0,24.0,57.0,47.0,30.0,45.0,16.0,10.0,2.0
27.0,Wu Chun Yin (胡俊賢),613.0,48.0,21.0,29.0,45.0,40.0,33.0,13.0,24.0,18.0,47.0,28.0,56.0,154.0,55.0,2.0
28.0,Yang Pin Xiu (楊品修),627.0,4.0,16.0,76.0,56.0,40.0,33.0,13.0,22.0,33.0,47.0,50.0,26.0,154.0,55.0,2.0
29.0,Chau Ka Wai (周嘉偉),632.0,31.0,11.0,17.0,37.0,40.0,33.0,13.0,24.0,68.0,47.0,50.0,63.0,154.0,42.0,2.0
30.0,Ryan Tang Chi Hang (鄧智恒),640.0,30.0,90.0,21.0,15.0,40.0,33.0,13.0,24.0,93.0,30.0,50.0,23.0,154.0,22.0,2.0
31.0,Poon Yat Long (潘逸朗),651.0,45.0,93.0,73.0,66.0,40.0,33.0,13.0,24.0,67.0,47.0,50.0,7.0,41.0,50.0,2.0
32.0,Pascal So (蘇柏熙),660.0,67.0,39.0,72.0,59.0,39.0,32.0,13.0,24.0,30.0,34.0,24.0,48.0,154.0,23.0,2.0
33.0,Wong Pat Lun (黃柏綸),666.0,22.0,45.0,94.0,80.0,40.0,33.0,13.0,24.0,97.0,25.0,50.0,52.0,56.0,33.0,2.0
34.0,Kelvin Yau,667.0,0.0,0.0,155.0,80.0,40.0,33.0,13.0,24.0,168.0,47.0,50.0,0.0,0.0,55.0,2.0
35.0,Ryan Chan,670.0,36.0,30.0,49.0,80.0,40.0,33.0,13.0,24.0,50.0,47.0,29.0,28.0,154.0,55.0,2.0
36.0,Lam Yu Ching (林雨晴),677.0,111.0,150.0,47.0,57.0,38.0,33.0,13.0,11.0,62.0,39.0,42.0,16.0,27.0,29.0,2.0
37.0,Frieda Leung Wing Yan (梁詠欣),697.0,94.0,47.0,48.0,49.0,40.0,33.0,13.0,24.0,37.0,47.0,19.0,35.0,154.0,55.0,2.0
38.0,Ken Lin Pak Kin (練柏健),702.0,34.0,19.0,12.0,8.0,10.0,33.0,13.0,24.0,33.0,47.0,33.0,232.0,154.0,48.0,2.0
39.0,Albert So Yik Ban (蘇益品),729.0,65.0,85.0,63.0,68.0,40.0,33.0,13.0,24.0,63.0,47.0,50.0,78.0,43.0,55.0,2.0
40.0,Yi Qian (钱奕),734.0,104.0,95.0,96.0,58.0,40.0,33.0,13.0,24.0,25.0,37.0,50.0,88.0,14.0,55.0,2.0
41.0,He Ting Xi (何霆熙),746.0,81.0,76.0,42.0,80.0,40.0,33.0,13.0,24.0,38.0,47.0,22.0,39.0,154.0,55.0,2.0
42.0,Arnold Yeung Chun Hei (楊駿希),747.0,109.0,72.0,44.0,35.0,20.0,17.0,13.0,24.0,98.0,47.0,36.0,135.0,40.0,55.0,2.0
43.0,Joseph Liu (劉睿博),748.0,43.0,8.0,155.0,80.0,40.0,33.0,13.0,24.0,113.0,47.0,50.0,46.0,55.0,39.0,2.0
