Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,Burno Li Chak Kwan (李澤堃),53.0,1.0,5.0,2.0,2.0,2.0,3.0,13.0,8.0,5.0,4.0,1.0,1.0,2.0,2.0,2.0
2.0,Andy Mok Man Cheuk (莫文卓),63.0,3.0,6.0,3.0,3.0,3.0,4.0,13.0,3.0,4.0,3.0,2.0,3.0,5.0,6.0,2.0
3.0,Ivan Li Ka Leong (李嘉亮),64.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,2.0,17.0,3.0,10.0,10.0,4.0,2.0
4.0,Wong Yuk Chi (黃昱誌),137.0,17.0,4.0,7.0,7.0,6.0,7.0,13.0,11.0,10.0,10.0,5.0,17.0,8.0,13.0,2.0
5.0,Leung Ka Ho (梁家浩),182.0,20.0,21.0,5.0,6.0,7.0,6.0,6.0,9.0,7.0,13.0,25.0,14.0,17.0,24.0,2.0
6.0,Shek Ho Hin (石灝軒),192.0,45.0,16.0,16.0,11.0,8.0,8.0,13.0,13.0,21.0,2.0,11.0,12.0,6.0,8.0,2.0
7.0,Timothy Kong Wing Sum (江永琛),216.0,11.0,7.0,8.0,9.0,38.0,32.0,7.0,24.0,9.0,20.0,6.0,4.0,36.0,3.0,2.0
7.0,Wong Kin Lok (黃健樂),216.0,5.0,10.0,6.0,4.0,4.0,1.0,13.0,1.0,3.0,46.0,23.0,5.0,38.0,55.0,2.0
9.0,Chan Hui Tung (陳許瞳),238.0,41.0,17.0,14.0,16.0,12.0,15.0,13.0,7.0,19.0,16.0,15.0,27.0,23.0,1.0,2.0
10.0,Mok Man Kit (莫文傑),252.0,54.0,35.0,22.0,12.0,9.0,9.0,12.0,2.0,16.0,5.0,16.0,24.0,4.0,30.0,2.0
11.0,Chan Hay Yin (陳希言),261.0,57.0,25.0,26.0,20.0,11.0,11.0,8.0,9.0,28.0,11.0,13.0,16.0,12.0,12.0,2.0
12.0,Fung Hoi Yin (馮凱賢),281.0,10.0,23.0,4.0,5.0,5.0,5.0,13.0,23.0,8.0,46.0,8.0,85.0,18.0,26.0,2.0
13.0,Suen Ming Chi (孫銘志),287.0,63.0,25.0,10.0,13.0,38.0,32.0,13.0,19.0,15.0,1.0,26.0,2.0,7.0,21.0,2.0
14.0,Rinji Chan Pak Hei (陳柏熹),306.0,7.0,28.0,9.0,27.0,38.0,32.0,13.0,24.0,13.0,9.0,48.0,42.0,3.0,11.0,2.0
15.0,Antonio Kam Ho Tung (甘浩東),316.0,14.0,12.0,20.0,19.0,29.0,25.0,1.0,13.0,1.0,41.0,48.0,41.0,15.0,35.0,2.0
16.0,Victor Tang Yao Jun (湯曜駿),380.0,68.0,9.0,43.0,23.0,19.0,17.0,2.0,16.0,22.0,46.0,20.0,49.0,28.0,16.0,2.0
17.0,Tsang Hon Pong (曾漢邦),381.0,23.0,31.0,19.0,33.0,21.0,22.0,13.0,5.0,11.0,22.0,21.0,70.0,33.0,55.0,2.0
18.0,Michael Ngan (顏律言),388.0,41.0,55.0,13.0,18.0,14.0,12.0,13.0,15.0,43.0,39.0,17.0,20.0,31.0,55.0,2.0
19.0,Chung Yeung Ho (鍾養浩),393.0,49.0,56.0,23.0,22.0,17.0,30.0,13.0,20.0,25.0,7.0,32.0,47.0,9.0,41.0,2.0
20.0,Ng Tsz Hei,411.0,24.0,3.0,33.0,45.0,33.0,32.0,13.0,24.0,34.0,14.0,48.0,32.0,47.0,27.0,2.0
21.0,Henry Tang Kun Chung (鄧貫中),438.0,17.0,22.0,15.0,10.0,13.0,10.0,13.0,24.0,43.0,15.0,9.0,226.0,1.0,18.0,2.0
22.0,Jacky Koo Chun Ki (顧俊祺),477.0,53.0,116.0,36.0,30.0,22.0,20.0,13.0,24.0,74.0,12.0,4.0,8.0,29.0,34.0,2.0
23.0,Quinson Hon Kwan Shun (韓君信),546.0,30.0,14.0,59.0,42.0,38.0,32.0,13.0,24.0,68.0,34.0,48.0,57.0,30.0,55.0,2.0
24.0,Daniel Chiu,573.0,25.0,19.0,11.0,31.0,38.0,32.0,13.0,24.0,18.0,46.0,48.0,60.0,151.0,55.0,2.0
25.0,Lui Chi Fung (雷智鋒),595.0,96.0,127.0,37.0,46.0,27.0,19.0,13.0,24.0,57.0,46.0,30.0,45.0,16.0,10.0,2.0
26.0,Wu Chun Yin (胡俊賢),601.0,48.0,20.0,28.0,44.0,38.0,32.0,13.0,24.0,17.0,46.0,28.0,55.0,151.0,55.0,2.0
27.0,Chau Ka Wai (周嘉偉),619.0,30.0,11.0,17.0,36.0,38.0,32.0,13.0,24.0,67.0,46.0,48.0,62.0,151.0,42.0,2.0
28.0,Ryan Tang Chi Hang (鄧智恒),627.0,29.0,90.0,21.0,14.0,38.0,32.0,13.0,24.0,91.0,29.0,48.0,23.0,151.0,22.0,2.0
29.0,Poon Yat Long (潘逸朗),640.0,45.0,93.0,73.0,64.0,38.0,32.0,13.0,24.0,66.0,46.0,48.0,6.0,40.0,50.0,2.0
30.0,Pascal So (蘇柏熙),648.0,66.0,38.0,72.0,57.0,37.0,31.0,13.0,24.0,29.0,33.0,24.0,48.0,151.0,23.0,2.0
31.0,Wong Pat Lun (黃柏綸),652.0,21.0,44.0,92.0,78.0,38.0,32.0,13.0,24.0,96.0,25.0,48.0,52.0,54.0,33.0,2.0
32.0,Kelvin Yau,655.0,0.0,0.0,153.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,0.0,0.0,55.0,2.0
33.0,Ryan Chan,659.0,36.0,29.0,48.0,78.0,38.0,32.0,13.0,24.0,50.0,46.0,29.0,28.0,151.0,55.0,2.0
34.0,Lam Yu Ching (林雨晴),662.0,109.0,148.0,46.0,55.0,36.0,32.0,13.0,11.0,61.0,38.0,40.0,15.0,27.0,29.0,2.0
35.0,Yang Pin Xiu (楊品修),674.0,4.0,15.0,98.0,78.0,38.0,32.0,13.0,22.0,46.0,46.0,48.0,26.0,151.0,55.0,2.0
36.0,Frieda Leung Wing Yan (梁詠欣),683.0,92.0,46.0,47.0,48.0,38.0,32.0,13.0,24.0,35.0,46.0,19.0,35.0,151.0,55.0,2.0
37.0,Ken Lin Pak Kin (練柏健),688.0,33.0,18.0,12.0,8.0,10.0,32.0,13.0,24.0,32.0,46.0,33.0,226.0,151.0,48.0,2.0
38.0,Albert So Yik Ban (蘇益品),715.0,64.0,84.0,63.0,66.0,38.0,32.0,13.0,24.0,62.0,46.0,48.0,76.0,42.0,55.0,2.0
39.0,Yi Qian (钱奕),717.0,102.0,95.0,94.0,56.0,38.0,32.0,13.0,24.0,24.0,36.0,48.0,84.0,14.0,55.0,2.0
40.0,He Ting Xi (何霆熙),732.0,79.0,75.0,42.0,78.0,38.0,32.0,13.0,24.0,36.0,46.0,22.0,39.0,151.0,55.0,2.0
40.0,Arnold Yeung Chun Hei (楊駿希),732.0,107.0,71.0,44.0,34.0,18.0,16.0,13.0,24.0,97.0,46.0,35.0,131.0,39.0,55.0,2.0
42.0,Joseph Liu (劉睿博),734.0,43.0,8.0,153.0,78.0,38.0,32.0,13.0,24.0,111.0,46.0,48.0,46.0,53.0,39.0,2.0
43.0,Angus Wong Tsz On (王梓安),747.0,82.0,37.0,79.0,78.0,38.0,32.0,13.0,24.0,89.0,46.0,48.0,63.0,61.0,55.0,2.0
44.0,Yu Wai Sum (余瑋深),752.0,56.0,43.0,71.0,78.0,38.0,32.0,13.0,24.0,42.0,46.0,48.0,53.0,151.0,55.0,2.0
45.0,Qing Yanzhang (卿晏彰),759.0,72.0,113.0,34.0,78.0,38.0,32.0,13.0,24.0,46.0,46.0,48.0,7.0,151.0,55.0,2.0
46.0,Li Pak Him (李柏謙),761.0,89.0,66.0,61.0,53.0,38.0,32.0,13.0,24.0,82.0,46.0,31.0,68.0,101.0,55.0,2.0
47.0,Chan Chun Hang (陳浚鏗),762.0,158.0,102.0,58.0,35.0,20.0,18.0,11.0,24.0,80.0,31.0,27.0,36.0,151.0,9.0,2.0
48.0,Antonio Li Ka Ming (李家銘),773.0,152.0,13.0,109.0,78.0,38.0,32.0,13.0,24.0,166.0,27.0,48.0,31.0,25.0,15.0,2.0
49.0,Leung Ching Fung (梁靖峯),779.0,50.0,50.0,18.0,15.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,71.0,151.0,55.0,2.0
50.0,Mok Mun Wai (莫滿懷),788.0,113.0,164.0,91.0,78.0,38.0,32.0,13.0,17.0,49.0,44.0,10.0,37.0,45.0,55.0,2.0
51.0,Brian Wu Shang Zhi (鄔尚志),834.0,34.0,46.0,35.0,78.0,38.0,32.0,13.0,24.0,6.0,46.0,48.0,226.0,151.0,55.0,2.0
52.0,Harold Kwok Hei (郭曦),838.0,80.0,98.0,62.0,51.0,34.0,28.0,13.0,24.0,40.0,46.0,18.0,136.0,151.0,55.0,2.0
53.0,Yan Lok Adrian Lam,839.0,62.0,85.0,50.0,78.0,28.0,32.0,13.0,24.0,95.0,46.0,48.0,100.0,125.0,51.0,2.0
54.0,Chan Chun Hei (陳俊熙),841.0,78.0,101.0,38.0,38.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,72.0,90.0,55.0,2.0
55.0,Chadwick Kwok,846.0,116.0,52.0,78.0,78.0,38.0,32.0,13.0,24.0,63.0,46.0,48.0,50.0,151.0,55.0,2.0
56.0,Wong Tak Man (黃德文),852.0,69.0,159.0,41.0,60.0,38.0,32.0,13.0,24.0,31.0,42.0,34.0,111.0,151.0,45.0,2.0
56.0,Mok Yik Lam (莫翌林),852.0,154.0,42.0,96.0,78.0,38.0,32.0,13.0,24.0,118.0,46.0,48.0,25.0,81.0,55.0,2.0
58.0,Hui Hing Ho (許鑫豪),854.0,70.0,93.0,27.0,17.0,15.0,13.0,9.0,24.0,58.0,46.0,48.0,226.0,151.0,55.0,2.0
59.0,Dorian Chan,861.0,67.0,133.0,99.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,90.0,11.0,14.0,2.0
60.0,Chiu Yuk (趙彧),863.0,224.0,143.0,103.0,43.0,32.0,32.0,13.0,24.0,26.0,35.0,48.0,59.0,24.0,55.0,2.0
61.0,Matthew Heritage (梁子庭),869.0,196.0,48.0,88.0,58.0,35.0,32.0,13.0,24.0,147.0,46.0,48.0,22.0,64.0,46.0,2.0
62.0,Fong Ka Ho (方嘉浩),875.0,28.0,106.0,24.0,52.0,38.0,32.0,13.0,24.0,30.0,46.0,48.0,226.0,151.0,55.0,2.0
62.0,Wong Hiu Lok,875.0,58.0,89.0,40.0,26.0,38.0,32.0,13.0,24.0,27.0,46.0,48.0,226.0,151.0,55.0,2.0
64.0,Subagia Vigo (饒焯藍),890.0,27.0,27.0,153.0,78.0,38.0,32.0,13.0,24.0,166.0,46.0,48.0,44.0,137.0,55.0,2.0
64.0,Choi Tsz Kit (蔡子杰),890.0,121.0,143.0,102.0,62.0,38.0,32.0,13.0,24.0,88.0,46.0,48.0,43.0,73.0,55.0,2.0
66.0,Chan Tak Chuen (陳德泉),916.0,94.0,147.0,49.0,47.0,38.0,32.0,13.0,24.0,20.0,8.0,48.0,226.0,151.0,17.0,2.0
67.0,Andy Guo (郭茂成),930.0,77.0,64.0,118.0,78.0,38.0,32.0,13.0,24.0,150.0,46.0,48.0,61.0,124.0,55.0,2.0
