Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Bálint Csengő,70.0,6.0,10.0,4.0,1.0,2.0,4.0,2.0,14.0,4.0,3.0,7.0,1.0,4.0,4.0,1.0,3.0
2.0,Szabolcs Szántai,86.0,12.0,2.0,8.0,7.0,6.0,5.0,12.0,7.0,6.0,2.0,5.0,2.0,2.0,1.0,6.0,3.0
3.0,Bence Barát,120.0,15.0,3.0,7.0,4.0,1.0,1.0,5.0,3.0,14.0,11.0,6.0,22.0,14.0,6.0,5.0,3.0
4.0,Hunor Bózsing,195.0,11.0,15.0,9.0,8.0,10.0,10.0,23.0,20.0,3.0,20.0,15.0,24.0,6.0,12.0,6.0,3.0
5.0,Mihály Horváth,214.0,17.0,16.0,19.0,14.0,9.0,14.0,4.0,14.0,18.0,35.0,8.0,18.0,9.0,13.0,3.0,3.0
6.0,Gergely Novotni,234.0,5.0,5.0,1.0,2.0,4.0,3.0,23.0,24.0,25.0,18.0,1.0,6.0,11.0,97.0,6.0,3.0
7.0,Bence Kiácz,240.0,14.0,13.0,13.0,20.0,20.0,52.0,23.0,12.0,12.0,12.0,18.0,19.0,1.0,2.0,6.0,3.0
8.0,Kristóf Veres,269.0,8.0,25.0,6.0,9.0,7.0,13.0,23.0,23.0,2.0,28.0,26.0,37.0,19.0,34.0,6.0,3.0
9.0,Gábor Slezák,272.0,1.0,4.0,3.0,10.0,12.0,12.0,23.0,14.0,9.0,34.0,44.0,47.0,21.0,29.0,6.0,3.0
10.0,Ákos Dél,278.0,18.0,27.0,11.0,11.0,8.0,8.0,23.0,40.0,38.0,23.0,14.0,17.0,7.0,24.0,6.0,3.0
11.0,Dániel Varga,289.0,34.0,29.0,22.0,15.0,14.0,11.0,11.0,7.0,17.0,25.0,24.0,15.0,38.0,18.0,6.0,3.0
12.0,Dávid Balog,315.0,51.0,17.0,16.0,16.0,15.0,15.0,23.0,1.0,30.0,17.0,37.0,14.0,47.0,7.0,6.0,3.0
13.0,Róbert Maróti,337.0,3.0,7.0,5.0,6.0,3.0,2.0,23.0,9.0,13.0,70.0,11.0,90.0,28.0,58.0,6.0,3.0
14.0,Dániel Székely,383.0,36.0,12.0,14.0,18.0,24.0,20.0,23.0,40.0,45.0,70.0,19.0,45.0,3.0,5.0,6.0,3.0
15.0,Milán Baticz,406.0,8.0,9.0,10.0,5.0,11.0,7.0,7.0,40.0,11.0,13.0,9.0,25.0,225.0,17.0,6.0,3.0
16.0,Olivér Perge,492.0,31.0,61.0,35.0,37.0,26.0,24.0,15.0,4.0,40.0,8.0,38.0,61.0,67.0,36.0,6.0,3.0
17.0,Benedek Szepesi-Réder,500.0,40.0,53.0,30.0,31.0,40.0,49.0,23.0,40.0,62.0,1.0,41.0,13.0,17.0,51.0,6.0,3.0
18.0,András Szermek,511.0,37.0,20.0,21.0,39.0,23.0,22.0,22.0,40.0,27.0,31.0,23.0,40.0,104.0,53.0,6.0,3.0
19.0,György Pintér,523.0,23.0,14.0,23.0,21.0,21.0,16.0,23.0,40.0,37.0,70.0,68.0,66.0,51.0,41.0,6.0,3.0
20.0,Botond Benedek,541.0,39.0,24.0,26.0,43.0,50.0,52.0,23.0,40.0,41.0,62.0,68.0,35.0,14.0,15.0,6.0,3.0
21.0,Bence János Csuti,584.0,33.0,61.0,20.0,32.0,34.0,52.0,23.0,2.0,45.0,70.0,17.0,8.0,81.0,97.0,6.0,3.0
22.0,Máté Berecz,591.0,16.0,30.0,24.0,33.0,50.0,52.0,23.0,27.0,23.0,70.0,68.0,78.0,33.0,55.0,6.0,3.0
23.0,András Orbán,596.0,62.0,1.0,60.0,105.0,50.0,52.0,23.0,40.0,28.0,9.0,12.0,28.0,20.0,97.0,6.0,3.0
24.0,Balázs Bernát,607.0,28.0,34.0,36.0,17.0,25.0,19.0,8.0,9.0,16.0,40.0,39.0,58.0,225.0,44.0,6.0,3.0
25.0,József Katona,621.0,45.0,94.0,42.0,28.0,50.0,52.0,23.0,40.0,65.0,26.0,13.0,5.0,32.0,97.0,6.0,3.0
26.0,Ádám Szabó,625.0,55.0,19.0,37.0,105.0,50.0,52.0,23.0,40.0,78.0,30.0,27.0,39.0,24.0,37.0,6.0,3.0
27.0,Botond Vigh,647.0,65.0,77.0,66.0,52.0,50.0,52.0,23.0,40.0,36.0,19.0,35.0,38.0,58.0,27.0,6.0,3.0
28.0,David Csejtey,652.0,19.0,53.0,12.0,12.0,13.0,17.0,23.0,40.0,43.0,70.0,21.0,33.0,225.0,62.0,6.0,3.0
29.0,Levente Fejes-Nagyfejeő,655.0,70.0,100.0,29.0,24.0,50.0,21.0,23.0,40.0,48.0,70.0,68.0,52.0,12.0,39.0,6.0,3.0
30.0,István Márián,673.0,24.0,82.0,52.0,67.0,50.0,52.0,10.0,13.0,7.0,66.0,68.0,21.0,55.0,97.0,6.0,3.0
31.0,Bálint Bodor,706.0,35.0,48.0,54.0,26.0,19.0,29.0,23.0,40.0,64.0,56.0,2.0,54.0,175.0,72.0,6.0,3.0
32.0,Salamon Tűzkő,714.0,13.0,21.0,18.0,19.0,17.0,18.0,23.0,40.0,5.0,70.0,68.0,161.0,135.0,97.0,6.0,3.0
33.0,Gellért Tamás,720.0,66.0,27.0,73.0,65.0,50.0,52.0,23.0,40.0,52.0,70.0,31.0,48.0,50.0,64.0,6.0,3.0
34.0,Bence Kovács,738.0,119.0,81.0,69.0,57.0,37.0,28.0,23.0,11.0,94.0,70.0,29.0,51.0,52.0,8.0,6.0,3.0
