Rank,name,Sum,333,222,444,555,666,777,333oh,clock,minx,pyram,skewb,sq1
1.0,Óskar Pétursson,16.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0
2.0,Rúnar Gauti Gunnarsson,58.0,3.0,3.0,2.0,2.0,1.0,1.0,8.0,6.0,3.0,14.0,10.0,5.0
3.0,Óðinn Logi Gunnarsson,59.0,2.0,4.0,5.0,5.0,4.0,5.0,10.0,2.0,6.0,7.0,1.0,8.0
4.0,Stefán Jónsson,67.0,14.0,2.0,9.0,7.0,6.0,5.0,9.0,6.0,1.0,2.0,4.0,2.0
5.0,Aron Levi Sigmundsson,78.0,7.0,7.0,11.0,3.0,3.0,0.0,7.0,0.0,5.0,16.0,19.0,0.0
6.0,Kári Einarsson,91.0,6.0,11.0,4.0,6.0,6.0,4.0,2.0,6.0,9.0,9.0,13.0,15.0
7.0,Erik Yngvi Brannan,99.0,3.0,6.0,10.0,8.0,6.0,5.0,3.0,6.0,9.0,19.0,9.0,15.0
8.0,Hróar Hrólfsson,113.0,12.0,13.0,8.0,16.0,6.0,5.0,13.0,6.0,7.0,4.0,12.0,11.0
9.0,Eythór Gauti Gíslason,114.0,16.0,9.0,6.0,10.0,6.0,5.0,12.0,6.0,9.0,6.0,14.0,15.0
10.0,Hilmar Magnusson,133.0,5.0,21.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,29.0,43.0,7.0
11.0,Týr Fáfnir Stefánsson,147.0,10.0,8.0,14.0,25.0,6.0,5.0,15.0,6.0,9.0,39.0,6.0,4.0
12.0,Tómas Atlason,151.0,13.0,11.0,27.0,25.0,6.0,5.0,19.0,6.0,9.0,10.0,5.0,15.0
13.0,Gabriel Gunnarsson,162.0,18.0,19.0,18.0,22.0,6.0,5.0,16.0,6.0,9.0,13.0,15.0,15.0
14.0,Guðmundur Brynjar Bergsson,169.0,11.0,4.0,34.0,25.0,6.0,5.0,6.0,6.0,9.0,3.0,45.0,15.0
15.0,Matthías Hrafn Ólafsson Schram,179.0,26.0,23.0,17.0,14.0,6.0,5.0,17.0,6.0,9.0,23.0,18.0,15.0
16.0,Lúkas André Ólason,185.0,19.0,17.0,20.0,25.0,6.0,5.0,39.0,6.0,9.0,16.0,8.0,15.0
17.0,Ísak Eldur Gunnarsson,192.0,36.0,20.0,25.0,21.0,6.0,5.0,25.0,6.0,9.0,24.0,3.0,12.0
18.0,Magnús Thor Holloway,194.0,9.0,25.0,39.0,11.0,6.0,5.0,14.0,4.0,9.0,32.0,31.0,9.0
19.0,Stefán Dagur Pálmason,205.0,29.0,10.0,23.0,18.0,6.0,5.0,39.0,6.0,9.0,10.0,35.0,15.0
20.0,Eysteinn Daði Hjaltason,211.0,17.0,22.0,7.0,9.0,6.0,5.0,39.0,6.0,9.0,65.0,11.0,15.0
21.0,Guðmundur Garðar Árnason,215.0,8.0,27.0,12.0,24.0,6.0,5.0,5.0,6.0,9.0,55.0,45.0,13.0
22.0,Jón Halldór Gunnarsson,221.0,38.0,31.0,19.0,25.0,6.0,5.0,18.0,6.0,9.0,34.0,27.0,3.0
23.0,David Freyr Thorsteinsson,223.0,21.0,30.0,13.0,25.0,6.0,5.0,11.0,6.0,9.0,37.0,45.0,15.0
24.0,Aron Valur Hinriksson,237.0,50.0,15.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,12.0,16.0,15.0
25.0,Birkir Orri Arason,242.0,25.0,36.0,16.0,25.0,6.0,5.0,23.0,6.0,9.0,31.0,45.0,15.0
26.0,Kári Sigurbjörn Tómasson,244.0,28.0,34.0,21.0,25.0,6.0,5.0,29.0,6.0,9.0,43.0,23.0,15.0
27.0,Skírnir Þrastarson,246.0,43.0,28.0,30.0,25.0,6.0,5.0,39.0,6.0,9.0,18.0,22.0,15.0
27.0,Karl Þorláksson,246.0,27.0,35.0,24.0,23.0,6.0,5.0,28.0,6.0,9.0,38.0,39.0,6.0
29.0,Dagur Orrason,247.0,40.0,32.0,28.0,25.0,6.0,5.0,39.0,6.0,9.0,8.0,34.0,15.0
29.0,Sigurður Guðni Gunnarsson,247.0,48.0,46.0,15.0,12.0,6.0,5.0,27.0,3.0,9.0,54.0,7.0,15.0
31.0,Andri Ísar Arnórsson,255.0,15.0,18.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,33.0,45.0,15.0
32.0,Tristan Freyr Jónsson,259.0,22.0,16.0,29.0,25.0,6.0,5.0,22.0,6.0,9.0,59.0,45.0,15.0
33.0,Einar Andersen,262.0,30.0,45.0,22.0,17.0,6.0,5.0,26.0,6.0,9.0,36.0,45.0,15.0
34.0,Paulo Mateo Ramos Acosta,268.0,20.0,37.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,22.0,45.0,15.0
35.0,Patrekur Nói Atlason,270.0,47.0,29.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,25.0,25.0,15.0
35.0,Hilmar Bjarki Reynisson,270.0,55.0,53.0,39.0,25.0,6.0,5.0,31.0,6.0,9.0,5.0,21.0,15.0
37.0,Mikael Máni Jensson,276.0,42.0,48.0,33.0,25.0,6.0,5.0,33.0,6.0,9.0,30.0,24.0,15.0
38.0,Kári Sævarsson,287.0,32.0,43.0,39.0,13.0,6.0,5.0,24.0,6.0,9.0,50.0,45.0,15.0
39.0,Garðar Þór Jónsson,288.0,62.0,24.0,39.0,25.0,6.0,5.0,34.0,6.0,9.0,21.0,42.0,15.0
39.0,Hjalti Kolbeinsson,288.0,35.0,52.0,39.0,15.0,6.0,5.0,21.0,6.0,9.0,65.0,20.0,15.0
41.0,Mason Brody Lake-Juliusson,299.0,33.0,42.0,37.0,25.0,6.0,5.0,30.0,6.0,9.0,65.0,26.0,15.0
42.0,Magnús Freyr Björnsson,302.0,34.0,14.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
43.0,Sölvi Reyr Magnússon,304.0,44.0,33.0,36.0,25.0,6.0,5.0,35.0,6.0,9.0,58.0,32.0,15.0
44.0,Alexander Reynir Valsson,308.0,59.0,41.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,35.0,29.0,15.0
45.0,Andri Snær Einarsson,313.0,41.0,26.0,31.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
46.0,Árni Magnús Björnsson,314.0,57.0,57.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,28.0,28.0,15.0
47.0,Bolli Magnússon,317.0,31.0,56.0,39.0,20.0,6.0,5.0,20.0,6.0,9.0,65.0,45.0,15.0
48.0,Bjarni Hafþór Jóhannsson,327.0,49.0,69.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,20.0,45.0,15.0
49.0,Jakob Friðriksson Líndal,328.0,79.0,47.0,39.0,25.0,6.0,5.0,32.0,6.0,9.0,27.0,38.0,15.0
50.0,Ingthor Snjolfsson,331.0,90.0,50.0,39.0,25.0,6.0,5.0,39.0,6.0,8.0,15.0,33.0,15.0
51.0,Benjamín Leo Atlason,340.0,46.0,40.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
52.0,Bjarki Steinn Jónsson,344.0,39.0,58.0,32.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
53.0,Hörður Fannar Óskarsson,347.0,77.0,44.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,17.0,15.0
53.0,Kári Hrafn Víkingsson,347.0,61.0,66.0,26.0,25.0,6.0,5.0,37.0,6.0,9.0,51.0,40.0,15.0
55.0,Danival Heide Sævarsson,349.0,53.0,67.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,40.0,45.0,15.0
56.0,Tómas Egilsson,354.0,63.0,37.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
57.0,Matthias Jon Olafsson,355.0,60.0,54.0,35.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,36.0,15.0
58.0,Halla Björg Sigurþórsdóttir,356.0,45.0,62.0,38.0,25.0,6.0,5.0,36.0,6.0,9.0,65.0,44.0,15.0
59.0,Daníel Pétursson,358.0,58.0,51.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,10.0
60.0,Þórarinn Víkingur Einarsson,360.0,69.0,37.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
60.0,Gerardas Slapíkas,360.0,56.0,55.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,60.0,45.0,15.0
62.0,Viktor Aron Ægisson,370.0,67.0,49.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
63.0,Brynjar Ásgeir Sigurjónsson,380.0,23.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
64.0,Eiríkur Annetts,381.0,24.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
65.0,Þórólfur Snær Elvarsson,385.0,68.0,71.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,57.0,45.0,15.0
66.0,Orri Eliasen,386.0,72.0,70.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,63.0,37.0,15.0
67.0,Ólafur Jan Bartoszek,389.0,70.0,65.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
68.0,Bjarni Freyr Þórðarson,393.0,75.0,64.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
68.0,Sigurður Sindri Hallgrímsson,393.0,80.0,63.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,61.0,45.0,15.0
68.0,Kjartan Pétur Hannesson,393.0,81.0,61.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,62.0,45.0,15.0
71.0,Sindri Freyr Gunnarsson,394.0,37.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
71.0,Ýmir Hafliðason García,394.0,76.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,26.0,45.0,15.0
73.0,Hallmar Gauti Fridriksson,395.0,82.0,59.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
73.0,Óskar Már Jóhannsson,395.0,86.0,74.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,46.0,45.0,15.0
75.0,Ívar Þórólfsson,398.0,64.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,42.0,45.0,15.0
76.0,Skuggi Nóel Islind,407.0,85.0,68.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
77.0,Snorri Örn Birgisson,408.0,51.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
78.0,Högni Gylfason,409.0,88.0,84.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,48.0,45.0,15.0
78.0,Hörður Smári Jóhannesson,409.0,52.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
80.0,Eiður Sveinn Gunnarsson,411.0,54.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
81.0,Jóhannes Vollertsen,412.0,84.0,92.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,47.0,45.0,15.0
82.0,Þorsteinn Pétursson,415.0,73.0,88.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
83.0,Pétur Baldvin Einarsson,422.0,92.0,76.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
83.0,Arnór Freyr Sævarsson,422.0,65.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
83.0,Þorsteinn Flóki Einarsson,422.0,89.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,41.0,45.0,15.0
86.0,Arnar Freyr Orrason,423.0,66.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
87.0,Stormur Leo Guðmundsson,428.0,91.0,83.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
87.0,Haraldur Björn Sigurðsson,428.0,71.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
89.0,Tómas Davidsson,429.0,96.0,79.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
89.0,Birgir Orri Helgarson,429.0,102.0,73.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
91.0,Snorri Pálmason,430.0,105.0,80.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,56.0,45.0,15.0
92.0,Sigurður Sigurðsson,431.0,74.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
93.0,Magnús Freyr Brannan,432.0,97.0,81.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
93.0,Stefan Erlendur Ívarsson,432.0,116.0,82.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,45.0,45.0,15.0
93.0,Isak Holm Ford,432.0,95.0,87.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,41.0,15.0
96.0,Þorgrímur Erik Þuríðarson Rodríguez,434.0,87.0,93.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
96.0,Arnar Páll Kristjánsson,434.0,78.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,14.0
98.0,Arnar Rafnsson,436.0,108.0,75.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,64.0,45.0,15.0
99.0,Davíð Freyr Magnússon,440.0,100.0,86.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
99.0,Hálfdán Helgi Harðarson,440.0,83.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
101.0,Andri Janusson,442.0,103.0,85.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
101.0,Haukur Óskar Þorgeirsson,442.0,99.0,90.0,39.0,25.0,6.0,5.0,38.0,6.0,9.0,65.0,45.0,15.0
103.0,Engilbjort Sigurdardottir,443.0,133.0,72.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,49.0,45.0,15.0
104.0,Daniel Freyr Björnsson,447.0,133.0,60.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
105.0,Jón Steinar Brynjólfsson,449.0,106.0,89.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
106.0,Friðgeir Örn Gunnarsson,450.0,93.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
107.0,Thor Astthorsson,451.0,94.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
108.0,Róbert Óttarsson,454.0,133.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,44.0,30.0,15.0
109.0,Albert Hellsten Högnason,455.0,123.0,78.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
109.0,Olga María Hermannsdóttir,455.0,98.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
111.0,Steinunn Osp Palmadottir,458.0,101.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
112.0,Haukur Hólm Gunnarsson,460.0,103.0,103.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
113.0,Tryggvi M. Ragnarsson,461.0,113.0,94.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
114.0,Steingrímur Ari Helgason,464.0,109.0,101.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
114.0,Ásta Lovísa Ársælsdóttir,464.0,133.0,77.0,39.0,25.0,6.0,5.0,39.0,6.0,9.0,65.0,45.0,15.0
