Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Nikhil Soares,260.0,5.0,6.0,22.0,30.0,22.0,24.0,18.0,8.0,32.0,29.0,1.0,12.0,17.0,22.0,9.0,3.0
2.0,Shivam Bansal,353.0,90.0,17.0,30.0,25.0,4.0,7.0,3.0,5.0,23.0,20.0,18.0,26.0,65.0,15.0,4.0,1.0
3.0,Mohammed Aiman Koli,427.0,38.0,21.0,23.0,36.0,31.0,40.0,5.0,12.0,22.0,51.0,25.0,14.0,89.0,16.0,1.0,3.0
4.0,Shubham Maharana,434.0,15.0,4.0,27.0,42.0,42.0,49.0,44.0,29.0,28.0,8.0,9.0,45.0,54.0,26.0,9.0,3.0
5.0,Sukant Koul,504.0,130.0,64.0,45.0,34.0,18.0,17.0,7.0,12.0,41.0,2.0,6.0,64.0,56.0,1.0,5.0,2.0
6.0,Arnav Arora,537.0,7.0,3.0,11.0,4.0,8.0,10.0,117.0,17.0,4.0,218.0,50.0,51.0,15.0,10.0,9.0,3.0
7.0,Hargun Singh Tikku,570.0,33.0,100.0,14.0,5.0,3.0,5.0,117.0,49.0,15.0,59.0,3.0,103.0,25.0,27.0,9.0,3.0
8.0,Akshaansh Chilakapati,607.0,89.0,51.0,20.0,9.0,7.0,13.0,38.0,73.0,31.0,52.0,8.0,54.0,98.0,52.0,9.0,3.0
9.0,Bhargav Narasimhan,625.0,26.0,53.0,53.0,55.0,47.0,43.0,11.0,3.0,2.0,23.0,13.0,156.0,68.0,60.0,9.0,3.0
10.0,Anish Rajesh,635.0,23.0,12.0,3.0,2.0,6.0,2.0,117.0,27.0,50.0,68.0,55.0,190.0,9.0,59.0,9.0,3.0
11.0,Sheldon Rego,714.0,60.0,104.0,8.0,3.0,2.0,2.0,117.0,56.0,86.0,35.0,56.0,107.0,27.0,39.0,9.0,3.0
12.0,Aamir Saifee,725.0,11.0,1.0,21.0,37.0,49.0,41.0,117.0,160.0,83.0,70.0,16.0,53.0,37.0,17.0,9.0,3.0
13.0,Akash Rupela,754.0,48.0,87.0,65.0,38.0,40.0,36.0,8.0,24.0,49.0,50.0,14.0,143.0,119.0,21.0,9.0,3.0
14.0,Yash Budhiraja,817.0,59.0,143.0,31.0,11.0,20.0,22.0,117.0,59.0,38.0,58.0,7.0,47.0,91.0,102.0,9.0,3.0
