Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Firstian Fushada (符逢城),32.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,5.0,4.0,1.0,4.0,2.0
2.0,Vincent Hartanto Utomo,84.0,5.0,7.0,2.0,3.0,3.0,3.0,7.0,2.0,6.0,12.0,10.0,4.0,11.0,7.0,1.0,1.0
3.0,Leon Marcell Alamanda,187.0,3.0,3.0,3.0,2.0,2.0,2.0,78.0,5.0,4.0,51.0,13.0,8.0,2.0,4.0,5.0,2.0
4.0,Andre Febriato Jonathan,310.0,38.0,17.0,14.0,13.0,6.0,6.0,78.0,31.0,17.0,7.0,19.0,9.0,27.0,21.0,5.0,2.0
5.0,Wilson Alvis (陈智胜),391.0,16.0,50.0,7.0,10.0,11.0,12.0,26.0,3.0,19.0,45.0,30.0,48.0,46.0,61.0,5.0,2.0
6.0,Michael (謝富亦),482.0,102.0,73.0,22.0,16.0,4.0,4.0,78.0,16.0,72.0,1.0,7.0,34.0,35.0,11.0,5.0,2.0
7.0,Hendry Cahyadi,508.0,19.0,19.0,25.0,21.0,25.0,16.0,17.0,32.0,19.0,13.0,63.0,15.0,20.0,197.0,5.0,2.0
8.0,Muhammad Faeyza Koda,541.0,1.0,2.0,10.0,38.0,116.0,87.0,23.0,7.0,2.0,177.0,9.0,7.0,23.0,32.0,5.0,2.0
9.0,Zaky Kurnia Falah,766.0,53.0,58.0,30.0,70.0,101.0,87.0,78.0,46.0,28.0,54.0,34.0,12.0,1.0,107.0,5.0,2.0
10.0,Angeline Wijaya (黃千儀),775.0,63.0,213.0,21.0,8.0,10.0,10.0,70.0,24.0,99.0,32.0,11.0,100.0,105.0,2.0,5.0,2.0
11.0,Fayad Hafiz Attaqi,778.0,87.0,40.0,38.0,47.0,116.0,87.0,78.0,46.0,73.0,40.0,31.0,36.0,5.0,47.0,5.0,2.0
12.0,Jundi Ahmad Alwan,835.0,109.0,66.0,71.0,54.0,40.0,43.0,78.0,33.0,29.0,41.0,53.0,58.0,82.0,71.0,5.0,2.0
13.0,Ariq Rifqi Febrian,858.0,60.0,81.0,69.0,41.0,54.0,71.0,30.0,46.0,106.0,6.0,113.0,53.0,57.0,64.0,5.0,2.0
14.0,Hafizh Dary Faridhan Hudoyo,891.0,81.0,42.0,88.0,79.0,50.0,63.0,36.0,7.0,64.0,86.0,123.0,121.0,6.0,38.0,5.0,2.0
15.0,Ida Putu Sucita Danuartha,899.0,156.0,51.0,27.0,25.0,31.0,19.0,78.0,46.0,41.0,72.0,3.0,103.0,183.0,57.0,5.0,2.0
16.0,Alvaro Haidar Ersha,949.0,58.0,53.0,81.0,29.0,27.0,23.0,78.0,46.0,214.0,177.0,21.0,22.0,60.0,53.0,5.0,2.0
17.0,Adrian Jorghy,978.0,6.0,23.0,4.0,4.0,7.0,18.0,78.0,46.0,7.0,177.0,15.0,26.0,363.0,197.0,5.0,2.0
18.0,Benjamin Wirahpati,998.0,84.0,84.0,47.0,22.0,15.0,11.0,78.0,46.0,69.0,177.0,45.0,106.0,197.0,10.0,5.0,2.0
19.0,Fandy Ramadhan Ganefianto,1008.0,161.0,56.0,100.0,46.0,18.0,24.0,78.0,36.0,39.0,115.0,22.0,20.0,185.0,101.0,5.0,2.0
20.0,Nathan Azaria,1015.0,125.0,84.0,96.0,72.0,36.0,42.0,41.0,9.0,76.0,4.0,102.0,173.0,145.0,3.0,5.0,2.0
21.0,Winda Wardani,1043.0,36.0,53.0,57.0,142.0,116.0,87.0,78.0,46.0,32.0,23.0,14.0,146.0,9.0,197.0,5.0,2.0
22.0,Achmad Rizki Zakaria,1050.0,119.0,75.0,13.0,11.0,12.0,8.0,78.0,46.0,273.0,34.0,26.0,54.0,97.0,197.0,5.0,2.0
23.0,Azaeel Benaya Putra,1055.0,11.0,11.0,60.0,96.0,116.0,87.0,78.0,46.0,22.0,177.0,41.0,87.0,19.0,197.0,5.0,2.0
