Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Arian Geravandi (آرین گراوندی),149.0,9.0,23.0,3.0,2.0,4.0,6.0,2.0,6.0,8.0,16.0,3.0,28.0,30.0,9.0
2.0,Seyyed Mohammad Hossein Fatemi (سید محمد حسین فاطمی),189.0,1.0,6.0,9.0,12.0,14.0,14.0,7.0,3.0,7.0,14.0,4.0,40.0,41.0,17.0
3.0,Farid Fakhrian (فرید فخریان),209.0,12.0,8.0,22.0,26.0,11.0,14.0,7.0,8.0,5.0,30.0,23.0,22.0,2.0,19.0
4.0,Soheil Lotfi (سهیل لطفی),238.0,23.0,37.0,10.0,4.0,3.0,8.0,7.0,15.0,18.0,30.0,11.0,41.0,12.0,19.0
5.0,Saman Parvizi (سامان پرویزی),251.0,6.0,3.0,19.0,32.0,10.0,9.0,7.0,20.0,22.0,30.0,32.0,26.0,16.0,19.0
6.0,Mohammad Sarlaki (محمد سرلکی),262.0,13.0,18.0,11.0,9.0,7.0,4.0,7.0,20.0,25.0,30.0,14.0,50.0,35.0,19.0
7.0,Mehrzad Goli (مهرزاد گلی),268.0,40.0,3.0,37.0,42.0,20.0,14.0,4.0,20.0,32.0,12.0,10.0,12.0,3.0,19.0
8.0,Amirali Farajnezhad (امیرعلی فرج نژاد),269.0,5.0,24.0,23.0,27.0,20.0,14.0,7.0,20.0,11.0,30.0,45.0,14.0,10.0,19.0
9.0,Ilia Rashidi (ایلیا رشیدی),285.0,19.0,7.0,73.0,38.0,9.0,14.0,7.0,20.0,17.0,30.0,18.0,10.0,4.0,19.0
10.0,Sam Mehmani (سام مهمانی),291.0,25.0,1.0,14.0,31.0,20.0,14.0,7.0,7.0,35.0,30.0,45.0,29.0,14.0,19.0
11.0,Ali Chegini (علی چگینی),302.0,37.0,13.0,28.0,16.0,8.0,14.0,7.0,20.0,23.0,30.0,45.0,35.0,7.0,19.0
12.0,Fardin Bahadory Nejad (فردین بهادری نژاد),370.0,10.0,14.0,12.0,7.0,20.0,5.0,7.0,20.0,1.0,30.0,7.0,86.0,132.0,19.0
13.0,Kasra Sarebanha (کسری ساربانها),373.0,7.0,38.0,27.0,28.0,20.0,14.0,7.0,20.0,106.0,30.0,40.0,16.0,1.0,19.0
14.0,Parham Saeed Nia (پرهام سعیدنیا),381.0,54.0,15.0,25.0,21.0,20.0,14.0,5.0,4.0,15.0,30.0,31.0,9.0,132.0,6.0
15.0,Rahi Mirmonsef,382.0,31.0,12.0,17.0,10.0,20.0,14.0,7.0,20.0,70.0,30.0,2.0,4.0,132.0,13.0
16.0,Ardavan Jebelli (اردوان جبلی),391.0,65.0,9.0,60.0,97.0,20.0,14.0,7.0,12.0,33.0,20.0,26.0,3.0,6.0,19.0
16.0,Ali Zafarmand (علی ظفرمند),391.0,34.0,31.0,32.0,34.0,20.0,14.0,7.0,20.0,54.0,30.0,45.0,32.0,19.0,19.0
18.0,Ali Valizadeh (علی ولیزاده),394.0,44.0,20.0,68.0,55.0,20.0,14.0,7.0,20.0,16.0,30.0,45.0,18.0,18.0,19.0
19.0,Parsa Saeed Nia (پارسا سعیدنیا),403.0,47.0,16.0,20.0,19.0,20.0,14.0,1.0,20.0,34.0,30.0,21.0,24.0,132.0,5.0
20.0,Mohammad Sepehr Ebadi (محمد سپهر عبادی),448.0,28.0,90.0,44.0,24.0,20.0,14.0,7.0,20.0,2.0,30.0,45.0,111.0,9.0,4.0
21.0,Ali Atashi (علی آتشی),455.0,3.0,35.0,1.0,6.0,20.0,14.0,7.0,20.0,10.0,30.0,45.0,125.0,120.0,19.0
22.0,Ali Farahani (علی فراهانی),461.0,35.0,35.0,65.0,57.0,20.0,14.0,7.0,13.0,30.0,9.0,43.0,34.0,80.0,19.0
23.0,Ali Dadfar (علی دادفر),489.0,21.0,28.0,18.0,25.0,20.0,14.0,7.0,20.0,13.0,30.0,45.0,97.0,132.0,19.0
24.0,Mohammad Soroush Hoseini (محمد سروش حسینی),493.0,17.0,61.0,47.0,40.0,20.0,14.0,7.0,11.0,81.0,23.0,20.0,1.0,132.0,19.0
25.0,Arian Alhani (آرین الحانی),512.0,63.0,38.0,43.0,65.0,19.0,14.0,7.0,20.0,59.0,30.0,35.0,60.0,40.0,19.0
26.0,Seyyed Siavash Seyyedi (سید سیاوش سیدی),514.0,18.0,66.0,7.0,97.0,20.0,14.0,7.0,20.0,40.0,30.0,9.0,35.0,132.0,19.0
27.0,Farzad Karimi (فرزاد کریمی),522.0,41.0,26.0,40.0,64.0,20.0,14.0,7.0,20.0,26.0,30.0,45.0,38.0,132.0,19.0
28.0,Kasra Abbasi (كسری عباسى),542.0,49.0,90.0,48.0,48.0,20.0,14.0,7.0,20.0,89.0,30.0,45.0,39.0,24.0,19.0
29.0,Ramtin Zanganeh (رامتین زنگنه),557.0,106.0,64.0,84.0,51.0,20.0,14.0,7.0,20.0,73.0,30.0,19.0,45.0,5.0,19.0
30.0,Erfan Teimori (عرفان تیموری),569.0,103.0,62.0,67.0,30.0,20.0,14.0,7.0,20.0,131.0,30.0,5.0,17.0,44.0,19.0
31.0,Arvin Mangeri (آروین مانگری),596.0,88.0,103.0,83.0,54.0,16.0,12.0,7.0,20.0,19.0,30.0,16.0,73.0,56.0,19.0
32.0,Mohammad Sadegh Majidi (محمد صادق مجیدی),601.0,52.0,76.0,4.0,1.0,1.0,1.0,7.0,20.0,56.0,30.0,12.0,190.0,132.0,19.0
33.0,Parsa Mohammadi (پارسا محمدی),607.0,100.0,51.0,79.0,59.0,20.0,14.0,7.0,20.0,69.0,30.0,37.0,42.0,71.0,8.0
34.0,Hoomaan Motevallihabibi,623.0,61.0,17.0,226.0,97.0,20.0,14.0,7.0,20.0,46.0,30.0,45.0,6.0,15.0,19.0
35.0,Aria Aghabozorgi,626.0,67.0,51.0,55.0,97.0,20.0,14.0,7.0,20.0,100.0,30.0,45.0,55.0,46.0,19.0
36.0,Mohammad Hosein Abbasi (محمد حسین عباسی),637.0,24.0,53.0,5.0,5.0,2.0,2.0,7.0,20.0,31.0,30.0,45.0,266.0,132.0,15.0
37.0,Ehsan Rajabi Vahdat (احسان رجبی وحدت),639.0,68.0,93.0,49.0,62.0,20.0,14.0,7.0,20.0,39.0,30.0,45.0,119.0,61.0,12.0
38.0,Mohammad Hadi Yazdanian Ardestani (محمد هادی یزدانیان اردستانی),667.0,36.0,69.0,226.0,97.0,20.0,14.0,7.0,20.0,20.0,30.0,45.0,20.0,44.0,19.0
39.0,Erfan Memariani (عرفان معماریانی),675.0,103.0,167.0,53.0,43.0,20.0,14.0,7.0,20.0,67.0,30.0,45.0,11.0,76.0,19.0
40.0,Arashk Alivandi (ارشک علیوندی),677.0,124.0,88.0,69.0,63.0,18.0,14.0,7.0,20.0,105.0,30.0,24.0,57.0,51.0,7.0
41.0,Ali Teimori (علی تیموری),685.0,138.0,63.0,59.0,33.0,17.0,13.0,7.0,20.0,119.0,30.0,39.0,61.0,67.0,19.0
42.0,Amir Reza Motallebi (امیر رضا مطلبی),686.0,132.0,57.0,108.0,97.0,20.0,14.0,7.0,20.0,49.0,30.0,45.0,62.0,26.0,19.0
43.0,Amir Mohammad Ehsani (امیرمحمد احسانی),710.0,92.0,71.0,39.0,56.0,20.0,14.0,7.0,20.0,82.0,30.0,45.0,83.0,132.0,19.0
44.0,Amir Hossein Nafisi (امیر حسین نفیسی),714.0,202.0,20.0,89.0,77.0,20.0,14.0,7.0,20.0,194.0,1.0,22.0,7.0,22.0,19.0
45.0,Mohammad Reza Karimi (محمد رضا کریمی),723.0,29.0,2.0,226.0,97.0,20.0,14.0,7.0,20.0,3.0,30.0,45.0,79.0,132.0,19.0
46.0,Sajad Saghafi (سجاد ثقفی),728.0,76.0,92.0,118.0,73.0,20.0,14.0,7.0,20.0,120.0,30.0,45.0,37.0,57.0,19.0
47.0,Iliya Froughi (ایلیا فروغی),760.0,51.0,5.0,122.0,97.0,20.0,14.0,7.0,20.0,64.0,11.0,45.0,274.0,11.0,19.0
48.0,Seyed Amirparsa Hosseini Nayeri (سید امیرپارسا حسینی نیری),762.0,15.0,74.0,6.0,8.0,20.0,14.0,7.0,20.0,28.0,30.0,6.0,401.0,132.0,1.0
49.0,Ali Reza Pour Abedini (علی رضا پورعابدینی),763.0,53.0,54.0,33.0,37.0,20.0,14.0,7.0,20.0,75.0,15.0,45.0,239.0,132.0,19.0
50.0,Mir Amir Hosein Hoseini (مير امير حسين حسيني),766.0,87.0,114.0,54.0,29.0,6.0,14.0,7.0,20.0,61.0,30.0,45.0,185.0,95.0,19.0
