Rank,name,Sum,333,222,333oh,pyram,skewb
1.0,Layth Alkinani,9.0,3.0,1.0,2.0,2.0,1.0
2.0,Hussein Abdulwahid,15.0,2.0,3.0,1.0,6.0,3.0
3.0,Yousef Aboud,17.0,7.0,2.0,2.0,3.0,3.0
4.0,Bashar Khalil Ibrahim,20.0,5.0,7.0,2.0,4.0,2.0
4.0,Hussein Tariq,20.0,4.0,5.0,2.0,6.0,3.0
6.0,Yousif Al-Juboori,21.0,6.0,4.0,2.0,6.0,3.0
7.0,Misk Hussein Abdulrazak,22.0,10.0,6.0,2.0,1.0,3.0
8.0,Jaafar Hayder Noori Al-Ulsaed Essa,23.0,1.0,11.0,2.0,6.0,3.0
9.0,Anas Obaidi,27.0,8.0,8.0,2.0,6.0,3.0
10.0,Ali Karradi,28.0,9.0,9.0,2.0,5.0,3.0
11.0,Yousif Naseer,31.0,10.0,10.0,2.0,6.0,3.0
