Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Richard Madden,65.0,5.0,6.0,6.0,6.0,3.0,3.0,6.0,10.0,3.0,3.0,4.0,2.0,7.0,1.0
2.0,Ciarán Beahan,85.0,1.0,7.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,42.0,2.0,4.0,14.0,2.0
3.0,Cillian Hainbach,138.0,6.0,13.0,3.0,3.0,5.0,5.0,6.0,4.0,10.0,25.0,11.0,6.0,8.0,33.0
4.0,Rían Burke,201.0,16.0,8.0,28.0,39.0,28.0,31.0,6.0,5.0,21.0,1.0,8.0,5.0,2.0,3.0
5.0,Scott Froggatt,233.0,9.0,11.0,20.0,23.0,41.0,31.0,6.0,10.0,5.0,19.0,3.0,14.0,31.0,10.0
6.0,John O'Connell,263.0,15.0,15.0,8.0,9.0,6.0,7.0,6.0,10.0,14.0,75.0,24.0,53.0,17.0,4.0
7.0,Ben Timmons,264.0,58.0,27.0,15.0,16.0,9.0,9.0,6.0,10.0,25.0,8.0,31.0,26.0,6.0,18.0
8.0,Enda Loftus,278.0,8.0,5.0,33.0,29.0,36.0,31.0,5.0,10.0,41.0,14.0,1.0,1.0,4.0,60.0
9.0,Adam Bermingham,297.0,61.0,24.0,21.0,17.0,12.0,18.0,6.0,10.0,27.0,15.0,10.0,38.0,33.0,5.0
10.0,Ronan Finke,315.0,40.0,2.0,30.0,34.0,33.0,31.0,6.0,10.0,17.0,10.0,54.0,17.0,5.0,26.0
11.0,Maeve Hickey,340.0,14.0,28.0,12.0,15.0,18.0,31.0,6.0,10.0,11.0,88.0,5.0,21.0,21.0,60.0
12.0,CJ Furey,352.0,3.0,2.0,9.0,19.0,41.0,31.0,6.0,10.0,4.0,94.0,54.0,8.0,11.0,60.0
13.0,Liam Craven,378.0,25.0,90.0,25.0,22.0,17.0,22.0,6.0,10.0,0.0,94.0,0.0,34.0,27.0,6.0
14.0,Kalin Doherty,410.0,11.0,1.0,24.0,36.0,41.0,31.0,6.0,10.0,33.0,18.0,40.0,75.0,24.0,60.0
