Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,Ben Baron,31.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,4.0,4.0,2.0
2.0,Ivan Torgashov,56.0,14.0,13.0,3.0,3.0,2.0,1.0,0.0,0.0,5.0,0.0,13.0,0.0,0.0,0.0,2.0
3.0,Roy Tamir,84.0,5.0,3.0,5.0,4.0,3.0,3.0,17.0,3.0,2.0,11.0,5.0,8.0,3.0,10.0,2.0
4.0,Yoav Vishne,123.0,2.0,1.0,7.0,12.0,12.0,23.0,23.0,13.0,4.0,5.0,2.0,8.0,1.0,8.0,2.0
5.0,Netanel Pour,159.0,12.0,9.0,14.0,7.0,7.0,6.0,23.0,10.0,21.0,12.0,21.0,1.0,13.0,1.0,2.0
6.0,Liav Bengayev,231.0,16.0,8.0,6.0,28.0,27.0,59.0,2.0,5.0,13.0,3.0,19.0,18.0,20.0,5.0,2.0
7.0,Itamar Turm,259.0,50.0,30.0,34.0,18.0,14.0,21.0,23.0,4.0,8.0,28.0,9.0,2.0,10.0,6.0,2.0
8.0,Guy Taragano,320.0,58.0,4.0,31.0,17.0,9.0,7.0,23.0,37.0,38.0,32.0,23.0,15.0,6.0,18.0,2.0
9.0,Ofek Egozi,383.0,24.0,40.0,22.0,26.0,29.0,38.0,23.0,37.0,12.0,70.0,20.0,23.0,2.0,15.0,2.0
10.0,Niv Doron,398.0,38.0,30.0,49.0,21.0,26.0,18.0,22.0,24.0,19.0,4.0,32.0,30.0,52.0,31.0,2.0
11.0,Elai Amit-Wender,407.0,6.0,16.0,16.0,13.0,10.0,14.0,23.0,37.0,11.0,45.0,99.0,35.0,60.0,20.0,2.0
12.0,Yoni Strassberg,470.0,27.0,61.0,13.0,8.0,8.0,13.0,8.0,19.0,15.0,60.0,24.0,42.0,69.0,101.0,2.0
13.0,Zecharya Moshavi,509.0,4.0,34.0,1.0,1.0,6.0,10.0,23.0,2.0,7.0,92.0,3.0,47.0,169.0,108.0,2.0
14.0,Amitai Ziv,530.0,59.0,150.0,43.0,38.0,16.0,17.0,13.0,7.0,34.0,38.0,28.0,66.0,7.0,12.0,2.0
15.0,Inbar Segal,538.0,17.0,24.0,50.0,39.0,44.0,59.0,23.0,37.0,18.0,92.0,15.0,77.0,16.0,25.0,2.0
16.0,Daniel Yosef,569.0,63.0,76.0,17.0,5.0,5.0,4.0,23.0,37.0,40.0,78.0,30.0,59.0,50.0,80.0,2.0
17.0,Jonathan Rutenberg,571.0,97.0,12.0,56.0,64.0,42.0,59.0,23.0,37.0,78.0,14.0,6.0,21.0,32.0,28.0,2.0
18.0,Omri Kehila,582.0,21.0,11.0,24.0,31.0,38.0,39.0,23.0,37.0,3.0,49.0,81.0,86.0,29.0,108.0,2.0
19.0,Kfir Havivi,601.0,80.0,60.0,55.0,62.0,72.0,59.0,23.0,17.0,32.0,34.0,9.0,22.0,36.0,38.0,2.0
20.0,Itai Hershberg,602.0,76.0,29.0,74.0,53.0,32.0,30.0,23.0,37.0,23.0,27.0,33.0,32.0,23.0,108.0,2.0
21.0,Achia Engel,613.0,87.0,89.0,35.0,40.0,20.0,16.0,7.0,15.0,39.0,19.0,29.0,107.0,77.0,32.0,1.0
22.0,Dan Boharon,618.0,53.0,16.0,51.0,25.0,33.0,32.0,23.0,11.0,10.0,62.0,22.0,78.0,92.0,108.0,2.0
23.0,Uri Roitgrund,641.0,70.0,22.0,54.0,98.0,55.0,59.0,23.0,37.0,55.0,9.0,48.0,41.0,11.0,57.0,2.0
24.0,Levi Krassenstein,655.0,40.0,48.0,29.0,24.0,23.0,29.0,23.0,31.0,89.0,7.0,99.0,155.0,45.0,11.0,2.0
25.0,Gilad Cohen,666.0,19.0,53.0,32.0,63.0,72.0,59.0,23.0,37.0,28.0,92.0,7.0,31.0,40.0,108.0,2.0
26.0,Avshalom Sharavani,669.0,36.0,42.0,11.0,30.0,72.0,59.0,20.0,37.0,31.0,92.0,25.0,112.0,31.0,69.0,2.0
27.0,Yoel Khanin,690.0,72.0,44.0,96.0,52.0,72.0,59.0,23.0,27.0,45.0,39.0,26.0,7.0,18.0,108.0,2.0
28.0,Ben Matyas,693.0,25.0,5.0,53.0,203.0,72.0,59.0,14.0,37.0,84.0,10.0,17.0,12.0,83.0,17.0,2.0
29.0,Etai Amibar,694.0,42.0,18.0,27.0,32.0,35.0,24.0,9.0,37.0,46.0,92.0,47.0,132.0,86.0,65.0,2.0
30.0,Denis Rapoport,695.0,0.0,0.0,0.0,203.0,72.0,59.0,23.0,37.0,0.0,92.0,99.0,0.0,0.0,108.0,2.0
31.0,Eitan Schild,700.0,7.0,36.0,9.0,15.0,13.0,59.0,23.0,37.0,30.0,90.0,99.0,106.0,114.0,60.0,2.0
32.0,Evgeny Chak,711.0,0.0,0.0,0.0,42.0,22.0,11.0,23.0,37.0,0.0,92.0,0.0,0.0,374.0,108.0,2.0
33.0,Rotem Kagan,730.0,3.0,27.0,18.0,19.0,19.0,25.0,23.0,14.0,29.0,48.0,18.0,3.0,374.0,108.0,2.0
34.0,Noam Katz,748.0,33.0,56.0,46.0,60.0,56.0,56.0,23.0,33.0,20.0,92.0,36.0,88.0,117.0,30.0,2.0
35.0,Rotem Eisner,755.0,10.0,40.0,12.0,6.0,4.0,5.0,23.0,37.0,108.0,92.0,51.0,119.0,138.0,108.0,2.0
36.0,Yair Ron,771.0,119.0,117.0,116.0,99.0,72.0,59.0,23.0,28.0,83.0,21.0,8.0,13.0,9.0,2.0,2.0
37.0,Yoav Mandelzweig,810.0,23.0,13.0,113.0,125.0,72.0,59.0,23.0,37.0,49.0,92.0,99.0,4.0,59.0,40.0,2.0
