Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,Lorenzo Mauro,95.0,4.0,1.0,9.0,13.0,6.0,6.0,2.0,5.0,2.0,22.0,9.0,3.0,1.0,8.0,4.0
2.0,Giovanni Centili,168.0,8.0,4.0,12.0,3.0,3.0,8.0,38.0,14.0,17.0,27.0,6.0,5.0,14.0,5.0,4.0
3.0,Marco Giordano,274.0,35.0,3.0,30.0,25.0,14.0,12.0,33.0,17.0,12.0,14.0,22.0,6.0,13.0,34.0,4.0
4.0,Flavio Rimi,278.0,15.0,8.0,4.0,12.0,17.0,33.0,49.0,54.0,8.0,18.0,11.0,17.0,25.0,3.0,4.0
5.0,Mattia Furlan,319.0,8.0,52.0,2.0,1.0,1.0,1.0,49.0,54.0,3.0,11.0,2.0,48.0,30.0,53.0,4.0
6.0,Alessandro Nicolì,343.0,13.0,62.0,6.0,8.0,16.0,19.0,23.0,11.0,23.0,23.0,48.0,11.0,32.0,44.0,4.0
7.0,Paolo Marino,357.0,25.0,75.0,11.0,11.0,7.0,20.0,39.0,31.0,14.0,2.0,45.0,9.0,50.0,14.0,4.0
8.0,Giacomo Daniele Corò,364.0,3.0,12.0,5.0,6.0,20.0,42.0,49.0,54.0,9.0,21.0,20.0,55.0,36.0,28.0,4.0
9.0,Davide Arnesano,399.0,82.0,14.0,65.0,30.0,41.0,41.0,13.0,15.0,32.0,16.0,15.0,1.0,19.0,11.0,4.0
10.0,Alessandro Zangolini,424.0,26.0,6.0,25.0,46.0,67.0,72.0,49.0,54.0,18.0,10.0,12.0,18.0,8.0,9.0,4.0
11.0,Matteo Parodi,427.0,40.0,5.0,35.0,28.0,42.0,58.0,49.0,54.0,60.0,4.0,21.0,12.0,5.0,10.0,4.0
12.0,Marco Rota,432.0,70.0,36.0,43.0,33.0,22.0,28.0,14.0,8.0,80.0,45.0,16.0,20.0,7.0,6.0,4.0
13.0,Enrico Tenuti,435.0,22.0,25.0,20.0,42.0,23.0,36.0,34.0,54.0,44.0,20.0,4.0,26.0,57.0,24.0,4.0
14.0,Alessandro Fava,448.0,26.0,24.0,23.0,17.0,31.0,40.0,29.0,54.0,6.0,109.0,1.0,14.0,47.0,23.0,4.0
15.0,Alessandro Calzoni,455.0,23.0,78.0,27.0,38.0,45.0,45.0,49.0,54.0,13.0,8.0,5.0,21.0,2.0,43.0,4.0
16.0,Dario Angelo Narbone,480.0,46.0,43.0,19.0,27.0,32.0,46.0,49.0,54.0,34.0,3.0,32.0,37.0,17.0,37.0,4.0
17.0,Edoardo Disarò,486.0,41.0,31.0,33.0,32.0,21.0,23.0,49.0,8.0,25.0,55.0,14.0,63.0,40.0,47.0,4.0
18.0,Sofia Saletnich,503.0,7.0,45.0,34.0,44.0,43.0,64.0,35.0,20.0,22.0,29.0,29.0,7.0,24.0,96.0,4.0
19.0,Matteo Dummar,507.0,104.0,20.0,42.0,43.0,37.0,54.0,10.0,10.0,95.0,1.0,42.0,26.0,15.0,4.0,4.0
20.0,Pietro Furbatto,534.0,56.0,40.0,14.0,14.0,8.0,15.0,49.0,54.0,20.0,73.0,47.0,36.0,62.0,42.0,4.0
21.0,Luca Brasini,547.0,20.0,38.0,7.0,2.0,2.0,2.0,49.0,28.0,11.0,109.0,18.0,101.0,75.0,81.0,4.0
22.0,Daniel Sartori,556.0,2.0,15.0,8.0,9.0,9.0,17.0,49.0,54.0,19.0,28.0,134.0,10.0,35.0,163.0,4.0
23.0,Simone Cantarelli,624.0,28.0,57.0,15.0,21.0,19.0,22.0,49.0,21.0,53.0,81.0,72.0,85.0,45.0,52.0,4.0
24.0,Fabian Tomasovic,638.0,33.0,9.0,22.0,48.0,58.0,66.0,49.0,54.0,91.0,6.0,28.0,41.0,53.0,76.0,4.0
25.0,Sebastiano Tronto,649.0,14.0,47.0,46.0,24.0,63.0,68.0,1.0,1.0,4.0,43.0,33.0,54.0,109.0,138.0,4.0
