Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Zakarya Otair,26.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0
2.0,Abdallah Almaharmeh,67.0,19.0,7.0,9.0,4.0,3.0,3.0,2.0,3.0,7.0,2.0,2.0,4.0,1.0,1.0
3.0,Kamel Hammouri,90.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,11.0,4.0,2.0,44.0,11.0
4.0,Omar Abdlkareem Albalouli,114.0,3.0,2.0,7.0,5.0,8.0,3.0,2.0,4.0,5.0,11.0,9.0,6.0,44.0,5.0
5.0,Albaraa Moqbel,116.0,11.0,11.0,10.0,11.0,8.0,3.0,2.0,4.0,8.0,11.0,9.0,12.0,5.0,11.0
6.0,Layan Sbeitan,126.0,9.0,9.0,42.0,11.0,8.0,3.0,2.0,4.0,14.0,5.0,3.0,3.0,2.0,11.0
7.0,Zaid Doofesh (زيد دوفش),144.0,16.0,14.0,8.0,6.0,5.0,2.0,2.0,4.0,6.0,11.0,9.0,10.0,44.0,7.0
8.0,Baha Alshwaiki,149.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,4.0,1.0,11.0,6.0,89.0,4.0,11.0
9.0,Hani Al-Karrain,155.0,6.0,13.0,15.0,11.0,8.0,3.0,2.0,4.0,21.0,11.0,9.0,18.0,23.0,11.0
10.0,Othman Saleh,156.0,5.0,23.0,14.0,11.0,8.0,3.0,2.0,4.0,4.0,11.0,9.0,9.0,44.0,9.0
11.0,Omar Rayyan,160.0,8.0,22.0,3.0,11.0,8.0,3.0,2.0,4.0,11.0,11.0,9.0,13.0,44.0,11.0
12.0,Mutaz Mahmoud Alsalkhi,166.0,33.0,16.0,17.0,11.0,6.0,3.0,2.0,4.0,10.0,11.0,9.0,20.0,13.0,11.0
13.0,Abdelrahman Issa,168.0,7.0,6.0,5.0,11.0,8.0,3.0,2.0,4.0,42.0,8.0,9.0,8.0,44.0,11.0
14.0,Omar Nanaah,175.0,28.0,19.0,19.0,8.0,8.0,3.0,2.0,4.0,17.0,11.0,9.0,25.0,11.0,11.0
15.0,Ahmad Motaz,179.0,14.0,18.0,11.0,11.0,8.0,3.0,2.0,4.0,9.0,11.0,9.0,27.0,44.0,8.0
16.0,Abdallah Belal Omar,201.0,34.0,5.0,12.0,11.0,8.0,3.0,2.0,4.0,42.0,11.0,9.0,5.0,44.0,11.0
17.0,Waddah Nabulsi,207.0,32.0,17.0,31.0,11.0,8.0,3.0,2.0,4.0,24.0,11.0,9.0,11.0,33.0,11.0
18.0,Shatha Ihab Abdelqader Mokbel,213.0,42.0,31.0,25.0,11.0,8.0,3.0,2.0,4.0,35.0,11.0,9.0,14.0,7.0,11.0
19.0,Abdel Rahman Adnan Alrefae,221.0,30.0,34.0,16.0,10.0,7.0,3.0,2.0,4.0,20.0,11.0,8.0,35.0,30.0,11.0
20.0,Ahmad Sameh AlAssi,226.0,35.0,40.0,21.0,11.0,8.0,3.0,2.0,4.0,23.0,11.0,9.0,28.0,20.0,11.0
21.0,Saif Saleh,230.0,50.0,4.0,42.0,11.0,8.0,3.0,2.0,4.0,40.0,11.0,9.0,37.0,6.0,3.0
22.0,Sanad Khader Al-Bawab,234.0,36.0,28.0,28.0,11.0,8.0,3.0,2.0,4.0,26.0,9.0,9.0,15.0,44.0,11.0
23.0,Omar Qassem,236.0,40.0,25.0,42.0,11.0,8.0,3.0,2.0,4.0,42.0,11.0,9.0,19.0,9.0,11.0
24.0,Zaid Alshaqarin,244.0,44.0,50.0,41.0,11.0,8.0,3.0,2.0,4.0,16.0,11.0,7.0,33.0,10.0,4.0
25.0,Qosai Hamdan,256.0,73.0,15.0,40.0,11.0,8.0,3.0,2.0,4.0,31.0,11.0,9.0,30.0,8.0,11.0
26.0,Natheir Abu-Dahab,260.0,18.0,21.0,18.0,11.0,8.0,3.0,2.0,4.0,42.0,11.0,9.0,70.0,37.0,6.0
27.0,Zeid Zumot,261.0,66.0,24.0,42.0,11.0,8.0,3.0,2.0,4.0,22.0,11.0,9.0,21.0,27.0,11.0
28.0,Mark Abboud,266.0,13.0,26.0,23.0,11.0,8.0,3.0,2.0,4.0,12.0,11.0,9.0,89.0,44.0,11.0
29.0,Adam Zeidan,270.0,20.0,36.0,42.0,11.0,8.0,3.0,2.0,4.0,13.0,11.0,5.0,60.0,44.0,11.0
30.0,Nouredeen Ghazal,273.0,25.0,12.0,22.0,11.0,8.0,3.0,2.0,4.0,38.0,11.0,9.0,89.0,28.0,11.0
31.0,Saad Alnobani,275.0,17.0,63.0,42.0,11.0,8.0,3.0,2.0,4.0,27.0,11.0,9.0,23.0,44.0,11.0
32.0,Rawad Aloqaily,281.0,61.0,42.0,37.0,11.0,8.0,3.0,2.0,4.0,36.0,11.0,9.0,24.0,22.0,11.0
33.0,Yousef Khanfar,292.0,24.0,30.0,26.0,11.0,8.0,3.0,2.0,4.0,25.0,11.0,9.0,89.0,39.0,11.0
34.0,Hamzah Baareh,293.0,65.0,43.0,27.0,11.0,8.0,3.0,2.0,4.0,37.0,11.0,9.0,44.0,18.0,11.0
34.0,Yazan Alae Alwadi,293.0,45.0,27.0,42.0,11.0,8.0,3.0,2.0,4.0,42.0,11.0,9.0,34.0,44.0,11.0
36.0,Awos Omar Alqudah,295.0,27.0,44.0,13.0,11.0,8.0,3.0,2.0,4.0,19.0,11.0,9.0,89.0,44.0,11.0
36.0,Kareem Abdelqader,295.0,53.0,32.0,42.0,11.0,8.0,3.0,2.0,4.0,42.0,7.0,9.0,46.0,25.0,11.0
38.0,Ahmad Ashraf Shjrawi,297.0,72.0,51.0,35.0,11.0,8.0,3.0,2.0,4.0,32.0,6.0,9.0,40.0,14.0,10.0
38.0,Mohamad Salah Abu-Hantash,297.0,10.0,38.0,29.0,11.0,8.0,3.0,2.0,4.0,28.0,11.0,9.0,89.0,44.0,11.0
40.0,Zaid Saadeh,298.0,37.0,35.0,42.0,11.0,8.0,3.0,2.0,4.0,42.0,11.0,9.0,39.0,44.0,11.0
40.0,Albara Mahmoad Shanna'a,298.0,12.0,10.0,42.0,11.0,8.0,3.0,2.0,4.0,42.0,11.0,9.0,89.0,44.0,11.0
42.0,Ahmad Omar,308.0,21.0,91.0,42.0,11.0,8.0,3.0,2.0,4.0,15.0,11.0,9.0,36.0,44.0,11.0
