Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Aset Agabekov (Асет Агабеков),102.0,5.0,3.0,10.0,6.0,8.0,5.0,11.0,3.0,7.0,4.0,2.0,24.0,7.0,7.0
2.0,Farid Mikhailov,129.0,3.0,4.0,2.0,2.0,4.0,1.0,3.0,2.0,1.0,24.0,31.0,6.0,29.0,17.0
3.0,Yerkin Assylbek,147.0,7.0,1.0,1.0,3.0,11.0,11.0,6.0,1.0,26.0,26.0,11.0,22.0,20.0,1.0
4.0,Damir Zhanataev (Дамир Жанатаев),174.0,2.0,19.0,9.0,10.0,16.0,14.0,5.0,4.0,2.0,10.0,24.0,9.0,25.0,25.0
5.0,Alimzhan Kenesbek (Алимжан Кенесбек),181.0,6.0,8.0,8.0,27.0,25.0,29.0,8.0,11.0,18.0,14.0,13.0,7.0,3.0,4.0
6.0,Daniyal Suleimen (Даниял Сулеймен),186.0,13.0,25.0,6.0,11.0,18.0,29.0,11.0,6.0,29.0,2.0,1.0,16.0,8.0,11.0
7.0,Diasbek Zhuraev (Диасбек Жураев),207.0,19.0,30.0,4.0,1.0,2.0,2.0,2.0,5.0,5.0,25.0,18.0,14.0,72.0,8.0
8.0,Yaroslav Usmanov (Ярослав Усманов),227.0,51.0,6.0,22.0,12.0,7.0,6.0,10.0,11.0,30.0,7.0,33.0,15.0,1.0,16.0
9.0,Aral Askarov,242.0,10.0,7.0,15.0,4.0,1.0,3.0,11.0,7.0,10.0,67.0,25.0,58.0,21.0,3.0
10.0,Asanali Zhanabayev (Асанали Жанабаев),279.0,11.0,31.0,3.0,7.0,39.0,29.0,11.0,11.0,19.0,21.0,56.0,8.0,10.0,23.0
11.0,Amir Husain,282.0,32.0,18.0,45.0,17.0,9.0,8.0,11.0,11.0,15.0,12.0,3.0,52.0,40.0,9.0
12.0,Alikhan Yertursyn (Алихан Ертурсын),325.0,14.0,13.0,5.0,5.0,5.0,10.0,11.0,11.0,28.0,52.0,16.0,63.0,58.0,34.0
13.0,Assylkhan Meirkhanov (Асылхан Мейрханов),357.0,17.0,11.0,19.0,16.0,30.0,27.0,4.0,11.0,53.0,3.0,41.0,27.0,38.0,60.0
14.0,Bauyrzhan Zhandossuly (Бауыржан Жандосұлы),375.0,12.0,10.0,35.0,37.0,39.0,29.0,11.0,11.0,31.0,35.0,12.0,35.0,42.0,36.0
15.0,Dias Murzalin (Диас Мурзалин),387.0,56.0,27.0,30.0,36.0,39.0,29.0,11.0,11.0,64.0,8.0,21.0,12.0,15.0,28.0
16.0,Nikita Kolpakov (Никита Колпаков),389.0,33.0,32.0,24.0,52.0,39.0,29.0,11.0,11.0,35.0,47.0,38.0,19.0,9.0,10.0
17.0,Ruslan Kazin (Руслан Казин),405.0,20.0,15.0,38.0,49.0,38.0,29.0,11.0,10.0,3.0,20.0,71.0,28.0,17.0,56.0
18.0,Duman Talgatuly (Думан Талгатулы),406.0,37.0,24.0,46.0,24.0,10.0,29.0,11.0,11.0,8.0,49.0,49.0,17.0,2.0,89.0
19.0,Alisher Kurmash (Алишер Курмаш),412.0,18.0,79.0,20.0,13.0,39.0,29.0,11.0,11.0,16.0,67.0,8.0,30.0,52.0,19.0
20.0,Aibolat Barys,437.0,9.0,2.0,12.0,23.0,39.0,29.0,11.0,11.0,12.0,18.0,113.0,41.0,28.0,89.0
21.0,Nurasyl Kurmangali (Нурасыл Курмангали),443.0,4.0,21.0,11.0,19.0,39.0,29.0,11.0,11.0,14.0,67.0,22.0,21.0,85.0,89.0
22.0,Damir Isakov (Дамир Исаков),476.0,16.0,25.0,18.0,54.0,39.0,29.0,11.0,11.0,4.0,67.0,113.0,51.0,36.0,2.0
23.0,Aziz Olzhagali (Азиз Олжагали),484.0,25.0,9.0,40.0,47.0,39.0,29.0,11.0,11.0,27.0,67.0,35.0,37.0,18.0,89.0
24.0,Ertugan Mulkubai (Ертуган Мулькубай),490.0,38.0,20.0,39.0,48.0,39.0,29.0,11.0,11.0,51.0,67.0,9.0,53.0,34.0,41.0
25.0,Pavel Raschetov (Павел Расчетов),508.0,40.0,22.0,29.0,40.0,32.0,29.0,11.0,11.0,60.0,67.0,19.0,90.0,45.0,13.0
26.0,Zhanat Kazez (Жанат Казез),525.0,61.0,74.0,26.0,15.0,6.0,9.0,11.0,11.0,98.0,67.0,26.0,77.0,38.0,6.0
27.0,Alisher Soltan (Алишер Солтан),534.0,73.0,95.0,59.0,39.0,14.0,29.0,11.0,11.0,55.0,46.0,42.0,26.0,22.0,12.0
28.0,Bakhytzhan Sharipbay (Бахытжан Шарипбай),548.0,59.0,5.0,70.0,115.0,39.0,29.0,11.0,11.0,50.0,67.0,17.0,10.0,6.0,59.0
29.0,Zhansen Shingis (Жансен Шингис),562.0,8.0,13.0,48.0,102.0,39.0,29.0,11.0,11.0,21.0,67.0,57.0,2.0,65.0,89.0
30.0,Dinnur Aitbayev (Диннур Айтбаев),563.0,48.0,15.0,82.0,80.0,39.0,29.0,11.0,11.0,59.0,34.0,39.0,40.0,19.0,57.0
30.0,Alisher Isagaliev (Алишер Исагалиев),563.0,43.0,83.0,23.0,34.0,39.0,29.0,11.0,8.0,46.0,67.0,113.0,31.0,12.0,24.0
32.0,Shyngys Sharapadin (Шынгыс Шарападин),589.0,68.0,77.0,71.0,38.0,33.0,25.0,11.0,11.0,74.0,30.0,47.0,59.0,30.0,15.0
33.0,Abylai Orazalin (Абылай Оразалин),595.0,1.0,34.0,7.0,18.0,31.0,21.0,1.0,11.0,13.0,67.0,20.0,185.0,121.0,65.0
34.0,Aissultan Aizharkynuly (Айсұлтан Айжарқынұлы),598.0,22.0,108.0,41.0,25.0,39.0,29.0,11.0,11.0,111.0,67.0,5.0,67.0,32.0,30.0
35.0,Zhanaidar Uzakov (Жанайдар Узаков),599.0,27.0,40.0,27.0,22.0,15.0,16.0,11.0,11.0,20.0,62.0,27.0,72.0,160.0,89.0
36.0,Zhantuar Zholdasov (Жантуар Жолдасов),637.0,65.0,12.0,78.0,72.0,37.0,29.0,11.0,11.0,38.0,27.0,113.0,46.0,43.0,55.0
37.0,Ernur Ersayynov,644.0,153.0,76.0,65.0,43.0,28.0,26.0,7.0,11.0,84.0,8.0,54.0,49.0,13.0,27.0
38.0,Azamat Seitbekov (Азамат Сейтбеков),652.0,87.0,66.0,69.0,44.0,23.0,23.0,11.0,11.0,61.0,17.0,34.0,96.0,63.0,47.0
39.0,Ramil Safiulin (Рамиль Сафиулин),658.0,65.0,48.0,32.0,45.0,20.0,18.0,11.0,11.0,11.0,67.0,113.0,175.0,11.0,31.0
40.0,Alan Galym (Алан Галым),665.0,47.0,61.0,107.0,100.0,39.0,29.0,11.0,11.0,63.0,67.0,58.0,11.0,16.0,45.0
41.0,Azat Bibossynov (Азат Бибоссынов),666.0,31.0,73.0,50.0,30.0,39.0,29.0,11.0,11.0,36.0,67.0,40.0,147.0,76.0,26.0
42.0,Yerasyl Bolysbek (Ерасыл Болысбек),669.0,33.0,36.0,36.0,26.0,26.0,29.0,11.0,11.0,9.0,67.0,113.0,93.0,90.0,89.0
43.0,Bahtiyar Karabalin (Бахтияр Карабалин),673.0,86.0,71.0,67.0,50.0,29.0,24.0,11.0,11.0,49.0,36.0,43.0,60.0,47.0,89.0
44.0,Askar Shakhman (Аскар Шахман),677.0,59.0,37.0,62.0,94.0,39.0,29.0,11.0,11.0,126.0,42.0,85.0,42.0,5.0,35.0
45.0,Artur Yuldashov (Артур Юлдашов),686.0,58.0,70.0,47.0,59.0,39.0,29.0,11.0,11.0,52.0,6.0,95.0,42.0,78.0,89.0
46.0,Alan Mussin (Алан Муссин),736.0,97.0,47.0,83.0,82.0,39.0,29.0,11.0,11.0,68.0,67.0,80.0,23.0,60.0,39.0
47.0,Asanali Akhtanov (Асанали Ахтанов),755.0,41.0,39.0,34.0,42.0,22.0,29.0,11.0,11.0,34.0,67.0,78.0,117.0,141.0,89.0
48.0,Erdos Toleugazyev (Ердос Толеугазыев),769.0,55.0,48.0,21.0,8.0,3.0,4.0,11.0,11.0,112.0,67.0,113.0,118.0,109.0,89.0
49.0,Amirkhan Islamov (Амирхан Исламов),774.0,15.0,29.0,14.0,51.0,39.0,29.0,11.0,11.0,6.0,67.0,6.0,3.0,404.0,89.0
50.0,Nikita Kim (Никита Ким),775.0,39.0,62.0,80.0,86.0,39.0,29.0,9.0,11.0,75.0,1.0,113.0,112.0,99.0,20.0
51.0,Khaknazar Abilda (Хакназар Абилда),779.0,53.0,81.0,33.0,32.0,39.0,22.0,11.0,11.0,44.0,67.0,23.0,88.0,190.0,85.0
52.0,Nikita Makarenko (Никита Макаренко),784.0,62.0,37.0,88.0,81.0,39.0,29.0,11.0,11.0,82.0,67.0,50.0,44.0,94.0,89.0
53.0,Asar Toleu (Асар Толеу),786.0,79.0,116.0,42.0,41.0,39.0,29.0,11.0,11.0,87.0,67.0,51.0,107.0,54.0,52.0
54.0,Adil Rakhimzhanov (Адиль Рахимжанов),798.0,29.0,17.0,51.0,28.0,39.0,29.0,11.0,11.0,23.0,67.0,113.0,113.0,178.0,89.0
55.0,Alen Alimzhanov (Ален Алимжанов),812.0,35.0,119.0,44.0,75.0,39.0,29.0,11.0,11.0,47.0,61.0,113.0,74.0,65.0,89.0
56.0,Nurym Kudaibergen,821.0,26.0,33.0,13.0,20.0,13.0,13.0,11.0,11.0,41.0,67.0,36.0,95.0,404.0,38.0
57.0,Robert Kim (Роберт Ким),828.0,77.0,138.0,28.0,46.0,24.0,29.0,11.0,11.0,58.0,67.0,68.0,114.0,71.0,86.0
58.0,Abdurakhman Aktay,832.0,36.0,50.0,66.0,77.0,39.0,29.0,11.0,11.0,66.0,67.0,113.0,74.0,104.0,89.0
59.0,Vladislav Andreichik (Владислав Андрейчик),837.0,72.0,23.0,114.0,114.0,39.0,29.0,11.0,11.0,142.0,67.0,63.0,20.0,43.0,89.0
60.0,Zhanadi Abdreimov (Жанади Абдреимов),849.0,174.0,55.0,86.0,95.0,39.0,29.0,11.0,11.0,115.0,31.0,48.0,29.0,37.0,89.0
61.0,Damir Khamitov (Дамир Хамитов),864.0,124.0,62.0,111.0,84.0,39.0,29.0,11.0,11.0,56.0,67.0,90.0,64.0,27.0,89.0
62.0,Daniyal Arstambek (Даниял Арстамбек),893.0,126.0,124.0,129.0,115.0,39.0,29.0,11.0,11.0,140.0,11.0,112.0,5.0,23.0,18.0
63.0,Dias Aibassov (Диас Айбассов),907.0,54.0,44.0,104.0,61.0,39.0,29.0,11.0,11.0,32.0,67.0,106.0,125.0,135.0,89.0
64.0,Aldiyar Dauletuly,919.0,98.0,97.0,96.0,68.0,39.0,29.0,11.0,11.0,62.0,67.0,46.0,98.0,114.0,83.0
65.0,Dmitriy Shulaev (Дмитрий Шулаев),925.0,105.0,68.0,68.0,70.0,39.0,29.0,11.0,11.0,91.0,67.0,86.0,13.0,178.0,89.0
66.0,Sultanbibarys Omar (Султанбибарыс Омар),935.0,57.0,56.0,43.0,57.0,39.0,29.0,11.0,11.0,22.0,67.0,113.0,249.0,92.0,89.0
67.0,Nurlan Zhanabatyr (Нурлан Жанабатыр),943.0,121.0,40.0,127.0,103.0,39.0,29.0,11.0,11.0,67.0,67.0,62.0,72.0,105.0,89.0
68.0,Dias Makhanbetov (Диас Маханбетов),968.0,113.0,129.0,52.0,60.0,39.0,29.0,11.0,11.0,101.0,67.0,65.0,153.0,49.0,89.0
69.0,Tair Zhansultanov,989.0,147.0,58.0,156.0,115.0,39.0,29.0,11.0,11.0,99.0,5.0,111.0,69.0,50.0,89.0
69.0,Alan An (Алан Ан),989.0,99.0,99.0,115.0,115.0,39.0,29.0,11.0,11.0,96.0,67.0,113.0,103.0,30.0,62.0
71.0,Sayan Yesengeldy (Саян Есенгельды),992.0,70.0,91.0,99.0,115.0,39.0,29.0,11.0,11.0,110.0,67.0,113.0,124.0,24.0,89.0
72.0,Ayan Baitusov (Аян Байтусов),994.0,80.0,83.0,117.0,106.0,39.0,29.0,11.0,11.0,212.0,64.0,89.0,54.0,56.0,43.0
73.0,Akezhan Askar (Акежан Аскар),995.0,111.0,212.0,63.0,29.0,17.0,7.0,11.0,11.0,120.0,67.0,45.0,104.0,144.0,54.0
74.0,Asylkhan Onbayev (Асылхан Онбаев),1005.0,93.0,50.0,90.0,101.0,39.0,29.0,11.0,11.0,105.0,67.0,113.0,150.0,57.0,89.0
75.0,Aleksandr Tsoy (Александр Цой),1009.0,92.0,69.0,102.0,115.0,39.0,29.0,11.0,11.0,212.0,67.0,113.0,25.0,35.0,89.0
76.0,Ali Magazbekov (Али Магазбеков),1017.0,82.0,96.0,213.0,115.0,39.0,29.0,11.0,11.0,42.0,67.0,113.0,55.0,55.0,89.0
77.0,Artur Nikolayenko (Артур Николаенко),1027.0,96.0,181.0,64.0,53.0,39.0,29.0,11.0,11.0,89.0,40.0,82.0,156.0,87.0,89.0
78.0,Aibar Amanzholov (Айбар Аманжолов),1042.0,132.0,133.0,171.0,115.0,39.0,29.0,11.0,11.0,102.0,67.0,14.0,32.0,97.0,89.0
79.0,Ilyas Arystanbekov (Ильяс Арыстанбеков),1047.0,23.0,78.0,16.0,21.0,21.0,17.0,11.0,11.0,24.0,67.0,55.0,212.0,404.0,87.0
80.0,Danila Avargin (Данила Аваргин),1048.0,104.0,89.0,185.0,83.0,39.0,29.0,11.0,11.0,117.0,37.0,10.0,141.0,150.0,42.0
81.0,Arnur Yeszhanov,1053.0,50.0,59.0,137.0,107.0,39.0,29.0,11.0,11.0,48.0,67.0,94.0,332.0,48.0,21.0
82.0,Abay Pusyrmanov (Абай Пусырманов),1064.0,30.0,56.0,213.0,115.0,39.0,29.0,11.0,11.0,212.0,67.0,105.0,50.0,65.0,61.0
83.0,Beksultan Tleukanov,1066.0,21.0,92.0,37.0,14.0,39.0,29.0,11.0,11.0,37.0,67.0,113.0,102.0,404.0,89.0
84.0,Ali Ahat (Али Ахат),1086.0,140.0,120.0,124.0,115.0,39.0,29.0,11.0,9.0,76.0,67.0,113.0,71.0,101.0,71.0
85.0,Azat Sarsembaev (Азат Сарсембаев),1096.0,84.0,137.0,77.0,58.0,35.0,29.0,11.0,11.0,57.0,67.0,32.0,298.0,111.0,89.0
86.0,Nurzhanbek Zinulla (Нуржанбек Зинулла),1113.0,173.0,147.0,110.0,115.0,39.0,29.0,11.0,11.0,121.0,67.0,64.0,116.0,32.0,78.0
87.0,Emil Khamitov (Эмиль Хамитов),1131.0,138.0,173.0,109.0,115.0,39.0,29.0,11.0,11.0,106.0,67.0,108.0,61.0,75.0,89.0
88.0,Madiyar Sovetov (Мадияр Советов),1137.0,167.0,159.0,132.0,108.0,39.0,29.0,11.0,11.0,127.0,67.0,113.0,39.0,46.0,89.0
89.0,Damir Shikhiev (Дамир Шихиев),1149.0,181.0,250.0,81.0,90.0,39.0,29.0,11.0,11.0,153.0,28.0,113.0,106.0,4.0,53.0
90.0,Alikhan Mynbay (Алихан Мынбай),1176.0,162.0,157.0,86.0,115.0,39.0,29.0,11.0,11.0,170.0,67.0,113.0,47.0,80.0,89.0
91.0,Isa Daurenbek,1180.0,67.0,53.0,54.0,115.0,39.0,29.0,11.0,11.0,212.0,67.0,77.0,80.0,317.0,48.0
92.0,Ulpan Akhiyatova,1182.0,214.0,219.0,144.0,105.0,39.0,29.0,11.0,11.0,100.0,39.0,37.0,57.0,88.0,89.0
