Rank,name,Sum,333,222,444,555,666,333oh,clock,pyram,skewb,sq1
1.0,Kelvin Muchui,37.0,5.0,9.0,2.0,2.0,1.0,2.0,2.0,4.0,7.0,3.0
1.0,Jay Kuria Muthari,37.0,1.0,1.0,12.0,6.0,3.0,1.0,2.0,1.0,7.0,3.0
3.0,John Muthee Karichu,46.0,2.0,2.0,12.0,6.0,3.0,6.0,2.0,3.0,7.0,3.0
4.0,Amrik Singh Chana,48.0,9.0,5.0,4.0,6.0,3.0,7.0,2.0,2.0,7.0,3.0
5.0,Jaimin Dave,53.0,6.0,6.0,9.0,6.0,3.0,8.0,2.0,5.0,5.0,3.0
6.0,Sur Shah,68.0,7.0,3.0,12.0,6.0,3.0,14.0,2.0,11.0,7.0,3.0
7.0,Teddy Mbingo,82.0,4.0,7.0,12.0,6.0,3.0,4.0,2.0,34.0,7.0,3.0
8.0,John Kamau,85.0,19.0,28.0,7.0,6.0,3.0,5.0,2.0,6.0,6.0,3.0
9.0,Haasya Baadal Shah,89.0,14.0,12.0,12.0,6.0,3.0,14.0,2.0,16.0,7.0,3.0
9.0,Akshay Guptan,89.0,18.0,11.0,12.0,6.0,3.0,14.0,2.0,13.0,7.0,3.0
11.0,Nygel Emmanuel Msagha,93.0,8.0,4.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
12.0,Samarth Manek,96.0,21.0,8.0,5.0,4.0,3.0,14.0,2.0,34.0,2.0,3.0
13.0,Rayan Parmar,97.0,31.0,30.0,6.0,3.0,2.0,10.0,1.0,10.0,3.0,1.0
14.0,Ethan Muleti Mutiga,98.0,23.0,13.0,12.0,6.0,3.0,9.0,2.0,20.0,7.0,3.0
15.0,Mark Bowen,101.0,24.0,16.0,12.0,6.0,3.0,14.0,2.0,14.0,7.0,3.0
16.0,Jainam Shah,103.0,25.0,18.0,10.0,6.0,3.0,14.0,2.0,15.0,7.0,3.0
16.0,Leon Michuki,103.0,12.0,10.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
16.0,Meshack Musundi,103.0,3.0,46.0,1.0,1.0,3.0,3.0,2.0,34.0,7.0,3.0
19.0,Naythun Mwenja,105.0,27.0,22.0,12.0,6.0,3.0,14.0,2.0,9.0,7.0,3.0
20.0,Mrish Parmar,108.0,16.0,17.0,12.0,6.0,3.0,14.0,2.0,34.0,1.0,3.0
21.0,Kabir Vinay Shah,111.0,22.0,25.0,12.0,6.0,3.0,14.0,2.0,17.0,7.0,3.0
21.0,Mark Otieno Achar,111.0,20.0,46.0,8.0,5.0,3.0,13.0,2.0,8.0,4.0,2.0
23.0,Brian Kamau Maro,113.0,13.0,19.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
24.0,Andrew Gitonga,115.0,15.0,27.0,12.0,6.0,3.0,14.0,2.0,26.0,7.0,3.0
25.0,Evanson Mbuthia,122.0,17.0,24.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
26.0,Marc Tarus,127.0,30.0,21.0,12.0,6.0,3.0,14.0,2.0,29.0,7.0,3.0
26.0,Levi Macharia Gachanja,127.0,26.0,20.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
28.0,Denis Ndemwa,128.0,36.0,23.0,12.0,6.0,3.0,12.0,2.0,24.0,7.0,3.0
29.0,Mugo Gituku,131.0,37.0,14.0,12.0,6.0,3.0,14.0,2.0,33.0,7.0,3.0
30.0,Caleb Kinara,132.0,40.0,15.0,12.0,6.0,3.0,14.0,2.0,30.0,7.0,3.0
31.0,Solomon Chege,137.0,10.0,46.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
32.0,Dylan Kerosi,138.0,38.0,46.0,12.0,6.0,3.0,14.0,2.0,7.0,7.0,3.0
32.0,Melvin Ngugi,138.0,11.0,46.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
34.0,Neema Wambui,141.0,45.0,31.0,12.0,6.0,3.0,14.0,2.0,18.0,7.0,3.0
35.0,Naella Zawadi,142.0,35.0,26.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
36.0,Liam Shah,144.0,42.0,32.0,12.0,6.0,3.0,14.0,2.0,23.0,7.0,3.0
37.0,Felix Kiprob,148.0,34.0,33.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
38.0,Theo Quami Psifa,153.0,41.0,46.0,12.0,6.0,3.0,14.0,2.0,19.0,7.0,3.0
38.0,Ethan Muttai,153.0,55.0,29.0,12.0,6.0,3.0,14.0,2.0,22.0,7.0,3.0
40.0,Zenani Maria Akoth,155.0,28.0,46.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
40.0,Adam Christopher Rebeiro,155.0,50.0,46.0,12.0,6.0,3.0,14.0,2.0,12.0,7.0,3.0
42.0,Seth Hassan Benjamin Ngaywa,156.0,29.0,46.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
42.0,Ruby Gathoni Ngunjiri,156.0,46.0,35.0,12.0,6.0,3.0,14.0,2.0,28.0,7.0,3.0
42.0,Jayden Julian Mael D'souza,156.0,51.0,34.0,11.0,6.0,3.0,14.0,2.0,25.0,7.0,3.0
45.0,Aryan S. Khalsa,159.0,39.0,46.0,12.0,6.0,3.0,14.0,2.0,27.0,7.0,3.0
45.0,Varun Kanabar,159.0,32.0,46.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
47.0,Dhruv Kanabar,160.0,33.0,46.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
48.0,Ryan Rureri,161.0,53.0,40.0,12.0,6.0,3.0,14.0,2.0,21.0,7.0,3.0
49.0,Mucoki Waweru,162.0,43.0,38.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
50.0,Ryan Kiplagat Kurui,168.0,48.0,39.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
51.0,Issa Joseph Owaga,171.0,44.0,46.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
51.0,Shem Koech,171.0,47.0,46.0,12.0,6.0,3.0,11.0,2.0,34.0,7.0,3.0
53.0,Shravan Kotecha,173.0,49.0,43.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
54.0,Deeve Gudka,177.0,59.0,37.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
55.0,Maxwel Mutai,178.0,61.0,36.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
56.0,Eleazar Rutto,179.0,52.0,46.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
57.0,Gabriella Munanie Mutiga,181.0,54.0,46.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
58.0,Dayyan Kassiri,182.0,57.0,44.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
59.0,Colin Osidiana,183.0,58.0,46.0,12.0,6.0,3.0,14.0,2.0,32.0,7.0,3.0
59.0,Ashok Xavier Rebeiro,183.0,56.0,46.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
61.0,Tamara Wayu,186.0,64.0,41.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
62.0,Joyblessing Kibet,187.0,60.0,46.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
63.0,Jagmeet Singh Kalsi,188.0,70.0,46.0,3.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
63.0,Caelan Shah,188.0,62.0,45.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
63.0,Michael Nziwa Makanga,188.0,65.0,42.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
66.0,Dancun Opiyo Junior,190.0,63.0,46.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
67.0,Jamie Kenan Baraka,193.0,69.0,46.0,12.0,6.0,3.0,14.0,2.0,31.0,7.0,3.0
67.0,Mwongera Mutiga,193.0,66.0,46.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
69.0,Samuel Kamau,194.0,67.0,46.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
70.0,Barrack Kigen,195.0,68.0,46.0,12.0,6.0,3.0,14.0,2.0,34.0,7.0,3.0
