Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Ahmad Alolaimi,24.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0
2.0,Ghanim Abdulaziz Almutawa,37.0,4.0,2.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0
3.0,Saoud Abdulaziz Almutawa,67.0,6.0,10.0,6.0,6.0,3.0,2.0,2.0,2.0,8.0,7.0,6.0,4.0,2.0,3.0
4.0,Husain Nasser Al-Marhon,84.0,5.0,7.0,5.0,4.0,5.0,3.0,3.0,2.0,4.0,10.0,6.0,11.0,16.0,3.0
5.0,Sayyed Haidar Almousawi,100.0,7.0,5.0,20.0,7.0,5.0,3.0,3.0,2.0,3.0,10.0,6.0,13.0,13.0,3.0
6.0,Nour Alkout,115.0,14.0,17.0,3.0,3.0,5.0,3.0,3.0,2.0,25.0,10.0,6.0,10.0,11.0,3.0
6.0,Mohammad Almoumen,115.0,19.0,11.0,20.0,7.0,5.0,3.0,1.0,2.0,25.0,5.0,6.0,2.0,6.0,3.0
8.0,Hussain Merza,118.0,12.0,14.0,12.0,7.0,5.0,3.0,3.0,2.0,9.0,8.0,6.0,15.0,19.0,3.0
9.0,Afnan Khalid Alawadi,120.0,16.0,9.0,10.0,7.0,5.0,3.0,3.0,2.0,20.0,10.0,6.0,16.0,10.0,3.0
10.0,Eissa Alshemali,125.0,8.0,3.0,7.0,2.0,5.0,3.0,3.0,2.0,10.0,10.0,3.0,44.0,22.0,3.0
11.0,Husain Khuraibet,126.0,11.0,19.0,17.0,7.0,5.0,3.0,3.0,2.0,12.0,10.0,6.0,21.0,7.0,3.0
12.0,Abdullah Alhaddad,127.0,3.0,4.0,13.0,7.0,5.0,3.0,3.0,2.0,14.0,10.0,6.0,32.0,22.0,3.0
13.0,Hasan Hashem Alwazzan,129.0,9.0,11.0,8.0,7.0,5.0,3.0,3.0,2.0,6.0,1.0,5.0,44.0,22.0,3.0
14.0,Shaikha Albarjas,137.0,10.0,13.0,11.0,7.0,5.0,3.0,3.0,2.0,17.0,10.0,6.0,30.0,17.0,3.0
15.0,Fares Altamime,140.0,31.0,8.0,20.0,7.0,5.0,3.0,3.0,2.0,25.0,10.0,6.0,12.0,5.0,3.0
16.0,Ali Albloushi,144.0,25.0,21.0,20.0,7.0,5.0,3.0,3.0,2.0,25.0,10.0,6.0,5.0,9.0,3.0
17.0,Haidar Hassan,147.0,18.0,6.0,20.0,7.0,5.0,3.0,3.0,2.0,13.0,10.0,6.0,29.0,22.0,3.0
18.0,Farah Omar Alomar,151.0,35.0,25.0,16.0,7.0,5.0,3.0,3.0,2.0,18.0,10.0,6.0,6.0,12.0,3.0
19.0,Mohammad Meshal Almutawa,163.0,36.0,22.0,20.0,7.0,5.0,3.0,3.0,2.0,11.0,10.0,6.0,20.0,15.0,3.0
20.0,Ali Albasser,169.0,27.0,15.0,20.0,7.0,5.0,3.0,3.0,2.0,16.0,10.0,6.0,44.0,8.0,3.0
21.0,Mohammed Hani Alali,170.0,13.0,18.0,9.0,7.0,5.0,3.0,3.0,2.0,25.0,10.0,6.0,44.0,22.0,3.0
22.0,Ali Hasan Ashknani,171.0,15.0,32.0,15.0,7.0,2.0,3.0,3.0,2.0,7.0,10.0,6.0,44.0,22.0,3.0
23.0,Saleh Nawaf Al Ahmad,172.0,32.0,16.0,20.0,7.0,5.0,3.0,3.0,2.0,25.0,10.0,6.0,18.0,22.0,3.0
24.0,Aws Alkanderi,173.0,21.0,27.0,20.0,7.0,5.0,3.0,3.0,2.0,25.0,10.0,6.0,19.0,22.0,3.0
