Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,Roberts Dreijers,49.0,4.0,1.0,1.0,3.0,6.0,5.0,4.0,5.0,5.0,1.0,3.0,4.0,3.0,1.0,3.0
2.0,Mikus Lembergs,52.0,1.0,2.0,3.0,2.0,5.0,6.0,1.0,7.0,2.0,7.0,5.0,3.0,4.0,3.0,1.0
3.0,Rūdolfs Vīnkalns,58.0,2.0,7.0,4.0,1.0,1.0,3.0,9.0,13.0,1.0,2.0,1.0,2.0,2.0,7.0,3.0
4.0,Jēkabs Janovs,88.0,7.0,5.0,5.0,5.0,8.0,9.0,3.0,1.0,9.0,8.0,4.0,6.0,7.0,8.0,3.0
5.0,Frederiks Rūdolfs Kronbergs,106.0,3.0,6.0,6.0,10.0,9.0,19.0,9.0,2.0,3.0,6.0,10.0,12.0,6.0,2.0,3.0
6.0,Francis Daniels Veğeris,128.0,16.0,10.0,10.0,13.0,7.0,7.0,9.0,10.0,13.0,4.0,7.0,9.0,1.0,9.0,3.0
7.0,Jānis Zirnis,132.0,14.0,8.0,13.0,6.0,4.0,2.0,2.0,4.0,14.0,10.0,14.0,18.0,15.0,6.0,2.0
8.0,Kristiāns Pietkuns,138.0,5.0,9.0,14.0,11.0,12.0,19.0,9.0,3.0,8.0,15.0,2.0,15.0,8.0,5.0,3.0
9.0,Markuss Pietkuns,149.0,8.0,13.0,9.0,14.0,13.0,19.0,9.0,5.0,10.0,11.0,8.0,1.0,13.0,13.0,3.0
10.0,Vladislavs Baranovs,150.0,11.0,12.0,2.0,4.0,3.0,4.0,9.0,8.0,4.0,23.0,12.0,17.0,18.0,20.0,3.0
11.0,Aleksejs Oglobļins,194.0,9.0,16.0,7.0,9.0,10.0,11.0,8.0,13.0,28.0,17.0,13.0,5.0,28.0,17.0,3.0
12.0,Rūdolfs Dubovs,200.0,17.0,15.0,12.0,12.0,22.0,12.0,9.0,13.0,6.0,3.0,16.0,24.0,22.0,14.0,3.0
13.0,Imants Liepiņš,218.0,5.0,3.0,8.0,8.0,22.0,19.0,9.0,13.0,7.0,13.0,6.0,72.0,5.0,25.0,3.0
14.0,Ivans Gorbunovs,252.0,23.0,14.0,19.0,23.0,22.0,19.0,9.0,13.0,19.0,20.0,29.0,11.0,18.0,10.0,3.0
15.0,Matīss Maksis Podinskis,256.0,18.0,19.0,22.0,18.0,22.0,19.0,9.0,13.0,20.0,27.0,11.0,14.0,23.0,18.0,3.0
16.0,Reinis Grīnbergs,265.0,9.0,25.0,11.0,15.0,16.0,19.0,9.0,13.0,15.0,30.0,29.0,13.0,30.0,28.0,3.0
17.0,Darja Makurina,266.0,24.0,60.0,17.0,7.0,2.0,1.0,7.0,8.0,16.0,5.0,29.0,50.0,9.0,28.0,3.0
18.0,Krišjānis Nurža,296.0,35.0,21.0,40.0,37.0,22.0,19.0,9.0,13.0,25.0,30.0,17.0,10.0,11.0,4.0,3.0
