Rank,name,Sum,333,222,444,555,666,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Rami El Mallah,17.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
2.0,Hussein Saleh,38.0,6.0,2.0,3.0,3.0,2.0,2.0,2.0,5.0,2.0,2.0,5.0,1.0,3.0
3.0,Issam Imad El Halabi,42.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,3.0,12.0,9.0,2.0
4.0,Fawaz Taha,45.0,5.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,9.0,3.0
5.0,Rayan Al Hobayb,50.0,3.0,5.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,4.0,5.0,3.0
6.0,Ali Bassam,54.0,9.0,6.0,6.0,4.0,2.0,2.0,2.0,4.0,2.0,3.0,8.0,3.0,3.0
7.0,Luna Faour,66.0,15.0,8.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,3.0,7.0,3.0
8.0,Daniel Omar Saad,68.0,4.0,7.0,5.0,4.0,2.0,2.0,2.0,7.0,2.0,3.0,18.0,9.0,3.0
9.0,Malek El Habboub,71.0,11.0,12.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,9.0,6.0,3.0
10.0,Mohamad Moudallal,74.0,7.0,9.0,7.0,4.0,2.0,2.0,2.0,6.0,2.0,3.0,18.0,9.0,3.0
11.0,Hassan Slim,75.0,17.0,11.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,5.0,9.0,3.0
12.0,Shadi Halabi,78.0,8.0,10.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,18.0,9.0,3.0
13.0,Nasri Matthew Estephan,83.0,10.0,18.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,18.0,4.0,3.0
14.0,Rami Diab Lahib,84.0,14.0,15.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,13.0,9.0,3.0
15.0,Karim Akl,85.0,20.0,13.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,10.0,9.0,3.0
16.0,Mohamed Yehya,88.0,21.0,19.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,7.0,8.0,3.0
16.0,Mohammad Bassam,88.0,16.0,14.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,16.0,9.0,3.0
16.0,Ahmad Koumaiha,88.0,12.0,16.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,18.0,9.0,3.0
19.0,Rassem Osmani,95.0,18.0,17.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,18.0,9.0,3.0
20.0,Talal Naamani,98.0,13.0,25.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,18.0,9.0,3.0
21.0,Michel Bitar,102.0,24.0,25.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,11.0,9.0,3.0
22.0,Gabriel El Khoury,104.0,19.0,25.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,18.0,9.0,3.0
23.0,Sami Khatib,105.0,23.0,22.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,18.0,9.0,3.0
24.0,Jamil Monah Debian,106.0,26.0,20.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,18.0,9.0,3.0
25.0,Noah Kadaf,107.0,22.0,25.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,18.0,9.0,3.0
26.0,Jad El Mallah,109.0,28.0,21.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,18.0,9.0,3.0
26.0,Rim El Mallah,109.0,29.0,24.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,14.0,9.0,3.0
28.0,Omar Halimi,110.0,25.0,25.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,18.0,9.0,3.0
29.0,Ali Reda Nader Merhi,112.0,27.0,25.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,18.0,9.0,3.0
30.0,Tarek Badih,115.0,32.0,23.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,18.0,9.0,3.0
30.0,Ahmed Abyad,115.0,30.0,25.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,18.0,9.0,3.0
32.0,Nadine El Mays,116.0,34.0,25.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,15.0,9.0,3.0
32.0,Mohammad Jawad Nader Merhi,116.0,31.0,25.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,18.0,9.0,3.0
34.0,Hady Yehya,118.0,34.0,25.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,17.0,9.0,3.0
34.0,Lynn Ahmad Fares,118.0,33.0,25.0,7.0,4.0,2.0,2.0,2.0,8.0,2.0,3.0,18.0,9.0,3.0
