Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf
1.0,Carlo Glod,21.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0
2.0,Andrea Thull,37.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0
3.0,Philippe Schwartz,58.0,14.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,6.0,6.0,5.0,3.0,1.0
4.0,Joe Theis,65.0,3.0,10.0,3.0,4.0,5.0,5.0,3.0,4.0,6.0,4.0,1.0,8.0,3.0,4.0,2.0
5.0,Daniel Freymann,70.0,6.0,6.0,5.0,8.0,5.0,5.0,3.0,4.0,0.0,4.0,8.0,0.0,10.0,4.0,2.0
6.0,Rahul Kannan,72.0,2.0,1.0,12.0,8.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,10.0,4.0,2.0
7.0,Sebastian Ziekman,90.0,9.0,8.0,8.0,8.0,5.0,5.0,3.0,4.0,7.0,4.0,4.0,11.0,8.0,4.0,2.0
7.0,Jill Stoltz,90.0,11.0,7.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,4.0,4.0,4.0,2.0
9.0,Reyanksh Deb,97.0,5.0,12.0,11.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,7.0,10.0,4.0,2.0
10.0,Jacob Cahoon,101.0,8.0,11.0,9.0,5.0,5.0,4.0,3.0,4.0,9.0,4.0,8.0,18.0,7.0,4.0,2.0
11.0,Steve Mendeleev,103.0,7.0,9.0,7.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,18.0,10.0,4.0,2.0
12.0,Chris Hermes,105.0,10.0,13.0,6.0,7.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,15.0,10.0,4.0,2.0
13.0,Joel Spang,115.0,15.0,16.0,10.0,6.0,4.0,5.0,3.0,4.0,8.0,4.0,7.0,17.0,10.0,4.0,2.0
13.0,Marcel Reuter,115.0,18.0,5.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,18.0,10.0,4.0,2.0
15.0,Helene Natsina,116.0,22.0,15.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,5.0,10.0,4.0,2.0
16.0,Philipp Weisser,118.0,20.0,14.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,10.0,10.0,4.0,2.0
17.0,Stanislas Briaud,122.0,13.0,21.0,12.0,8.0,5.0,5.0,3.0,4.0,5.0,4.0,8.0,18.0,10.0,4.0,2.0
18.0,Gregory Saar,125.0,17.0,16.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,18.0,10.0,4.0,2.0
19.0,Yasin Kaan Ocakdan,126.0,16.0,22.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,14.0,10.0,4.0,2.0
20.0,Félix Jung,131.0,19.0,20.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,18.0,10.0,4.0,2.0
21.0,Livio Nicoletti,132.0,12.0,28.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,18.0,10.0,4.0,2.0
21.0,Aurel Nicula,132.0,27.0,23.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,9.0,9.0,4.0,2.0
21.0,Bob Thoma,132.0,21.0,25.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,12.0,10.0,4.0,2.0
24.0,Julien Scheiff,133.0,23.0,18.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,18.0,10.0,4.0,2.0
25.0,Pierre Roth,139.0,29.0,27.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,13.0,6.0,4.0,2.0
26.0,Mats Schroeder,140.0,26.0,24.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,16.0,10.0,4.0,2.0
27.0,André Gomes Coelho,144.0,24.0,28.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,18.0,10.0,4.0,2.0
28.0,François Maindiaux,145.0,25.0,28.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,18.0,10.0,4.0,2.0
28.0,Max Ernzen,145.0,34.0,19.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,18.0,10.0,4.0,2.0
30.0,Alex Jilke,148.0,28.0,28.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,18.0,10.0,4.0,2.0
31.0,Charel Muller,149.0,31.0,26.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,18.0,10.0,4.0,2.0
32.0,Sam Coelho,150.0,30.0,28.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,18.0,10.0,4.0,2.0
33.0,Steffen Alexander Küster,152.0,32.0,28.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,18.0,10.0,4.0,2.0
34.0,Thierry Frising,153.0,33.0,28.0,12.0,8.0,5.0,5.0,3.0,4.0,9.0,4.0,8.0,18.0,10.0,4.0,2.0
