Rank,name,Sum,333,222,444,555,666,777,333bf,333oh,clock,minx,pyram,skewb,sq1
1.0,Max Kwok U Sam (郭愉琛),18.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0
2.0,Chan Sai Chong (陳世聰),26.0,2.0,1.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0
3.0,Chio Wai Cheng (趙偉程),48.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,5.0,7.0,5.0
4.0,Alvarez Edel (于璐正),52.0,4.0,3.0,7.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0
5.0,Zhulu Ke (柯助錄),61.0,6.0,10.0,6.0,4.0,3.0,2.0,2.0,5.0,3.0,3.0,6.0,7.0,4.0
6.0,Vitor Jose Shen (沈偉棟),69.0,8.0,9.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,2.0,5.0,5.0
7.0,Eddie Chai (柴华),75.0,5.0,19.0,5.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,3.0,5.0
7.0,Hu Shan Jie (胡善杰),75.0,9.0,7.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
9.0,Jason Vu Ka Ieong (胡加揚),76.0,7.0,11.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,6.0,5.0
10.0,Chan Wai Nok (陳偉諾),77.0,12.0,6.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
10.0,Lio Chi Hei (廖志熙),77.0,13.0,5.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
12.0,Kwok Man Hei (郭汶羲),78.0,11.0,8.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
13.0,Wong Hoi Kuan (黃凱君),83.0,10.0,19.0,4.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
14.0,Sio Ian Son,84.0,14.0,15.0,8.0,5.0,4.0,4.0,2.0,6.0,3.0,4.0,7.0,7.0,5.0
15.0,Meng Chon Kuok (郭明臻),85.0,16.0,12.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,3.0
16.0,Brian Wong,91.0,19.0,14.0,9.0,5.0,4.0,4.0,2.0,8.0,3.0,4.0,7.0,7.0,5.0
17.0,Tim Choi (蔡振華),93.0,15.0,19.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
17.0,Cheang Chi San,93.0,18.0,18.0,9.0,5.0,4.0,4.0,2.0,7.0,3.0,4.0,7.0,7.0,5.0
17.0,Wong Chon Kit (黃俊傑),93.0,17.0,17.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
20.0,Chan Sai Long (陳世朗),96.0,21.0,16.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
21.0,Liren Sun,98.0,20.0,19.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
22.0,Tam Hou Meng (譚浩銘),99.0,27.0,13.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
23.0,Wong Cheng (王靖),100.0,22.0,19.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
24.0,Liang Wan Teng (梁韻婷),101.0,23.0,19.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
25.0,Peng Ieng Leong (梁冰瑩),102.0,24.0,19.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
26.0,Chiwa Wu (胡志華),103.0,25.0,19.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
27.0,Ngai Fong Wong,104.0,26.0,19.0,9.0,5.0,4.0,4.0,2.0,9.0,3.0,4.0,7.0,7.0,5.0
