Rank,name,Sum,333,222,444,555,333oh,pyram
1.0,Andry Lala Fanasina Antsamampionona,21.0,5.0,1.0,5.0,3.0,5.0,2.0
2.0,Ismaël Mamy Randriamalanto,34.0,15.0,8.0,4.0,1.0,4.0,2.0
3.0,Tafitasoa Livah Nomenjanahary,46.0,19.0,5.0,7.0,11.0,2.0,2.0
4.0,Fitiavana Sylvestre Rabevohitra,51.0,13.0,2.0,13.0,11.0,10.0,2.0
5.0,Bekoto Ranarison,54.0,3.0,18.0,12.0,11.0,8.0,2.0
6.0,Manantsoa Micky Marc Monjitiana,55.0,18.0,13.0,3.0,5.0,14.0,2.0
7.0,Ravo Pascal Randrianantoanina,60.0,30.0,6.0,2.0,4.0,16.0,2.0
8.0,Valisoa Tiavina Léonard Razafindrainibe,61.0,4.0,17.0,24.0,11.0,3.0,2.0
9.0,Mahefa Sandratra Rabarisoa,76.0,14.0,22.0,20.0,9.0,9.0,2.0
10.0,Justin Lantomalala,81.0,20.0,4.0,24.0,11.0,20.0,2.0
11.0,Antsa Razafimpahanana,83.0,26.0,3.0,14.0,7.0,31.0,2.0
12.0,Mickaël Randrianarison,89.0,2.0,46.0,6.0,2.0,31.0,2.0
12.0,Heriniaina Luc Brice Rakotomanana,89.0,10.0,46.0,19.0,11.0,1.0,2.0
14.0,Tolotsoa Joanah Lalarijaona,90.0,27.0,11.0,8.0,11.0,31.0,2.0
15.0,Toavina Ranaivoarisoa,91.0,8.0,15.0,24.0,11.0,31.0,2.0
16.0,Daniel Mikaia Ramandaniarivo,95.0,6.0,46.0,24.0,11.0,6.0,2.0
17.0,Toky Andrianina Randriamanantena,97.0,17.0,28.0,24.0,11.0,15.0,2.0
18.0,Nilaina Rakotondrasoa,102.0,12.0,42.0,24.0,11.0,11.0,2.0
19.0,Rina Andriamihaja,104.0,36.0,7.0,17.0,11.0,31.0,2.0
20.0,Hery Zo Andriamanantena,107.0,43.0,34.0,9.0,6.0,13.0,2.0
21.0,Tolotra Ny Avo Andriamamonjisoa,110.0,31.0,16.0,24.0,11.0,26.0,2.0
22.0,Ravaka Rabemanantsoa,111.0,16.0,46.0,24.0,11.0,12.0,2.0
23.0,Aro Antenaina Rabenoavy,114.0,35.0,35.0,24.0,11.0,7.0,2.0
24.0,Toavina Zanaparien Randrianatoandro,115.0,1.0,46.0,24.0,11.0,31.0,2.0
25.0,Naly Rakotondrambahy,117.0,57.0,10.0,10.0,11.0,27.0,2.0
26.0,Ny Antsa,118.0,37.0,27.0,23.0,11.0,18.0,2.0
27.0,Tsiaroniaina Randy Mandimbisoa,119.0,45.0,21.0,18.0,11.0,22.0,2.0
28.0,Fanasindratsimba Fanoela Rafanaterantsoa,121.0,7.0,46.0,24.0,11.0,31.0,2.0
29.0,John Francio Rabemahavory,123.0,9.0,46.0,24.0,11.0,31.0,2.0
30.0,Aina Nirina Johnny Rakotovololona,125.0,11.0,46.0,24.0,11.0,31.0,2.0
31.0,Arilova Niela Ratsima,127.0,39.0,20.0,24.0,11.0,31.0,2.0
32.0,Andriambola Stephen Lalao Ravelonarivo,128.0,48.0,12.0,24.0,11.0,31.0,2.0
33.0,Maminirina Luckas Rakotonarivo,130.0,22.0,46.0,24.0,11.0,25.0,2.0
34.0,Ny Aina Toky Mahenina Rakotondrazafy,131.0,33.0,32.0,24.0,11.0,29.0,2.0
35.0,Jean Eric Razafindralay,132.0,55.0,23.0,16.0,8.0,28.0,2.0
36.0,Ranarison Fiderana Lioka,135.0,21.0,46.0,24.0,11.0,31.0,2.0
37.0,Alex Andoniaina Raherinjatovo,137.0,23.0,46.0,24.0,11.0,31.0,2.0
38.0,Harimihaja Thierry Tsiorimanana Ramilison,138.0,24.0,46.0,24.0,11.0,31.0,2.0
39.0,Johary Randriamanantena,139.0,25.0,46.0,24.0,11.0,31.0,2.0
39.0,Haja Gabriel Rakotonoely,139.0,53.0,26.0,24.0,11.0,23.0,2.0
41.0,Sandaniaina Toavina Randrianarivony,142.0,38.0,46.0,24.0,11.0,21.0,2.0
41.0,Fanilo Manoa Rajaonary,142.0,28.0,46.0,24.0,11.0,31.0,2.0
43.0,Arinosy Nilaina Ruddy Rakotonirina,143.0,29.0,46.0,24.0,11.0,31.0,2.0
44.0,Raparaoelina Mandresy,146.0,32.0,46.0,24.0,11.0,31.0,2.0
45.0,Abasse Tafita Sefoudine,147.0,33.0,46.0,24.0,11.0,31.0,2.0
46.0,Mparany Ndriandahy,148.0,63.0,19.0,22.0,11.0,31.0,2.0
46.0,Andrianasolo Rakotobe Andoniaina,148.0,46.0,46.0,24.0,11.0,19.0,2.0
48.0,Tchelsee Fanomezandimby,149.0,49.0,46.0,24.0,11.0,17.0,2.0
48.0,Steeve Gaël Raharinjatovo,149.0,44.0,46.0,15.0,11.0,31.0,2.0
50.0,Andy Kanto Rakotoarimalala,150.0,58.0,24.0,24.0,11.0,31.0,2.0
51.0,Jary Voara Razafindrakoto,153.0,66.0,29.0,21.0,11.0,24.0,2.0
52.0,Finaritra Randriahifidisoa,154.0,40.0,46.0,24.0,11.0,31.0,2.0
53.0,Nomena Andriantsoa Oliarijao,155.0,41.0,46.0,24.0,11.0,31.0,2.0
54.0,Saotra Ny Aina Amyo Rajaofera,156.0,42.0,46.0,24.0,11.0,31.0,2.0
55.0,Dinoh Liantsoa Ratiarisandy,161.0,47.0,46.0,24.0,11.0,31.0,2.0
56.0,Tsaramanana Steve Randriambola,164.0,50.0,46.0,24.0,11.0,31.0,2.0
57.0,Hajatiana Clément Ramonjiharison,165.0,51.0,46.0,24.0,11.0,31.0,2.0
58.0,Fehizoro Andriamasinoro,166.0,52.0,46.0,24.0,11.0,31.0,2.0
59.0,Tahiry Fanambinana Rafidimanantsoa,168.0,54.0,46.0,24.0,11.0,31.0,2.0
60.0,Andriantsihoaramahery Harentsoa Rakotovao,169.0,55.0,46.0,24.0,11.0,31.0,2.0
61.0,Iloniaina Tohifitahiana Randrianasolo,172.0,73.0,31.0,24.0,11.0,31.0,2.0
