Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Ng Jia Quan (黄佳铨),53.0,6.0,1.0,1.0,6.0,4.0,6.0,4.0,3.0,3.0,2.0,3.0,1.0,3.0,1.0,6.0,3.0
2.0,Lim Hung (林弘),115.0,3.0,13.0,7.0,1.0,1.0,1.0,13.0,11.0,7.0,4.0,8.0,28.0,10.0,2.0,2.0,4.0
3.0,Ainesh Sevellaraja,125.0,5.0,3.0,6.0,7.0,11.0,13.0,3.0,4.0,8.0,9.0,10.0,10.0,19.0,3.0,10.0,4.0
4.0,Ang Chin Zhen (洪靖程),233.0,15.0,24.0,14.0,12.0,7.0,15.0,11.0,1.0,27.0,44.0,17.0,2.0,25.0,5.0,10.0,4.0
5.0,Lim Chun Yik (林峻毅),315.0,41.0,64.0,33.0,17.0,12.0,18.0,31.0,6.0,14.0,10.0,15.0,3.0,25.0,12.0,10.0,4.0
6.0,Ivan Lew Yi Wen (刘义文),321.0,30.0,27.0,4.0,2.0,2.0,5.0,18.0,14.0,21.0,53.0,4.0,29.0,69.0,29.0,10.0,4.0
7.0,Darren Siew Ee Yaang (蕭奕暘),347.0,19.0,30.0,17.0,52.0,49.0,50.0,16.0,7.0,5.0,8.0,2.0,32.0,38.0,8.0,10.0,4.0
8.0,Ang Chin Xiang,375.0,24.0,69.0,5.0,5.0,6.0,8.0,37.0,14.0,50.0,29.0,23.0,76.0,5.0,10.0,10.0,4.0
9.0,Nordarwish Akmal Bin Noor Ibrahim,392.0,8.0,8.0,8.0,13.0,14.0,9.0,37.0,54.0,52.0,48.0,16.0,23.0,42.0,46.0,10.0,4.0
10.0,William Gan Wei Ren (颜伟仁),425.0,96.0,51.0,23.0,29.0,27.0,21.0,9.0,5.0,16.0,25.0,24.0,31.0,29.0,28.0,7.0,4.0
11.0,Tan Jun (陈俊),452.0,44.0,22.0,36.0,24.0,20.0,20.0,37.0,25.0,86.0,6.0,18.0,7.0,67.0,26.0,10.0,4.0
12.0,Shawn Lee Zhi Xuan (李致轩),475.0,21.0,12.0,31.0,37.0,40.0,43.0,14.0,10.0,10.0,83.0,39.0,24.0,35.0,68.0,4.0,4.0
13.0,Muhammad Razin Bin Roslan,485.0,12.0,49.0,28.0,11.0,15.0,14.0,37.0,54.0,74.0,17.0,22.0,5.0,48.0,85.0,10.0,4.0
14.0,Hill Pong Yong Feng,594.0,16.0,5.0,19.0,9.0,50.0,37.0,1.0,11.0,101.0,31.0,1.0,13.0,263.0,34.0,1.0,2.0
15.0,Muhammad Fitri Hakim Bin Dzulkarnain,595.0,19.0,52.0,22.0,26.0,28.0,42.0,29.0,54.0,71.0,46.0,9.0,39.0,45.0,99.0,10.0,4.0
16.0,Ernest Eh Zhong Yu,618.0,14.0,7.0,20.0,86.0,82.0,109.0,37.0,54.0,53.0,21.0,32.0,27.0,24.0,38.0,10.0,4.0
17.0,Yap Jia Yang,635.0,2.0,10.0,3.0,3.0,8.0,7.0,37.0,8.0,6.0,104.0,7.0,172.0,237.0,17.0,10.0,4.0
18.0,Chia Poh Xuan,652.0,33.0,41.0,50.0,42.0,33.0,27.0,37.0,54.0,42.0,129.0,41.0,30.0,36.0,43.0,10.0,4.0
19.0,Tan Yong Jie,729.0,28.0,16.0,65.0,59.0,78.0,52.0,37.0,54.0,123.0,45.0,45.0,4.0,17.0,92.0,10.0,4.0
20.0,Muhammad Syahmi,744.0,61.0,41.0,42.0,36.0,37.0,31.0,32.0,25.0,137.0,15.0,59.0,9.0,74.0,131.0,10.0,4.0
21.0,Muhammad Hafizuddin Akhtar Bin Mohd Zainal Abidin,755.0,45.0,72.0,32.0,53.0,64.0,74.0,37.0,54.0,15.0,61.0,71.0,101.0,56.0,6.0,10.0,4.0
22.0,Eason Siew Ee Son (蕭奕晨),760.0,105.0,147.0,51.0,41.0,31.0,32.0,10.0,39.0,58.0,11.0,20.0,93.0,73.0,36.0,9.0,4.0
23.0,Muhammad Ammar Aufa B. Rosman,763.0,24.0,2.0,15.0,25.0,42.0,109.0,37.0,9.0,20.0,129.0,19.0,34.0,78.0,206.0,10.0,4.0
24.0,Yee Wen Foo,790.0,35.0,41.0,162.0,76.0,79.0,72.0,37.0,44.0,24.0,70.0,44.0,77.0,1.0,14.0,10.0,4.0
25.0,Mohamad Adrian Syahirin Bin Mohd Faizal,792.0,72.0,47.0,53.0,94.0,91.0,92.0,37.0,47.0,13.0,64.0,84.0,51.0,9.0,24.0,10.0,4.0
26.0,Manfred Siew Ee Sheng (蕭奕晟),801.0,79.0,157.0,18.0,13.0,5.0,4.0,28.0,29.0,145.0,3.0,43.0,105.0,117.0,41.0,10.0,4.0
27.0,Luqman Hakim Bin Hairil Azli,848.0,73.0,33.0,54.0,82.0,128.0,109.0,37.0,54.0,31.0,129.0,60.0,18.0,7.0,19.0,10.0,4.0
28.0,Nieh Zee Ernn Ryan (聶資恩),868.0,80.0,66.0,36.0,51.0,48.0,59.0,37.0,38.0,12.0,85.0,95.0,116.0,69.0,62.0,10.0,4.0
29.0,Aaron Ariff,902.0,107.0,116.0,66.0,35.0,19.0,29.0,37.0,11.0,111.0,65.0,88.0,102.0,98.0,4.0,10.0,4.0
30.0,Ahmad Kamil Ihsan Bin Ikhwan,911.0,56.0,54.0,120.0,102.0,128.0,109.0,37.0,29.0,87.0,35.0,87.0,21.0,21.0,11.0,10.0,4.0
