Rank,name,Sum,333,222,444,555,666,777,333oh,clock,minx,pyram,skewb,sq1
1.0,Benjamin Chetcuti Cauchi,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,Guze Vella Gera,35.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,6.0,2.0
3.0,Carl Galea,38.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
4.0,James Mizzi,41.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
5.0,Andrew Caruana,46.0,5.0,11.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,7.0,3.0,2.0
5.0,Timothy Lanfranco,46.0,9.0,8.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,5.0,2.0
7.0,Gerard Tabone,48.0,13.0,6.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,8.0,2.0,2.0
8.0,Josef Falzon,52.0,10.0,7.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
8.0,David Brincat,52.0,14.0,12.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0
10.0,Jean Borg,53.0,16.0,5.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,6.0,6.0,2.0
11.0,Kurt Cristina,54.0,6.0,13.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
12.0,Martina Catania,55.0,7.0,13.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
12.0,Philippa Marie Chetcuti Cauchi,55.0,15.0,10.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,2.0
14.0,Juan Scerri,56.0,8.0,13.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
14.0,Jake Gauci,56.0,12.0,9.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
16.0,Neil Desira,59.0,11.0,13.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
17.0,John Andreas Baldacchino,65.0,17.0,13.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
18.0,Glenn Abela,66.0,18.0,13.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
19.0,Giorgio Grigolo,67.0,19.0,13.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
20.0,Dean Zammit,68.0,20.0,13.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
21.0,Clive Ciantar,69.0,21.0,13.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
22.0,Mattias Azzopardi,70.0,22.0,13.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
23.0,James Chircop,71.0,23.0,13.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
24.0,Zack Scicluna,72.0,24.0,13.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
25.0,Martina Sammut,73.0,25.0,13.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,9.0,6.0,2.0
