Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1,444bf,555bf
1.0,Alexis Rodrigo Cazu Mendoza,98.0,5.0,10.0,3.0,1.0,1.0,1.0,22.0,3.0,10.0,4.0,3.0,11.0,13.0,4.0,4.0,3.0
2.0,Julián García Sánchez,213.0,4.0,2.0,9.0,5.0,31.0,19.0,35.0,6.0,2.0,31.0,25.0,17.0,10.0,10.0,4.0,3.0
3.0,Joaquin Ruenes Hernández,252.0,3.0,1.0,10.0,12.0,41.0,70.0,35.0,14.0,9.0,3.0,41.0,1.0,3.0,2.0,4.0,3.0
4.0,Diego Villarreal Salinas,308.0,33.0,22.0,13.0,10.0,8.0,9.0,35.0,59.0,18.0,11.0,14.0,32.0,24.0,13.0,4.0,3.0
5.0,Daniel Guardado Cabral,314.0,25.0,21.0,7.0,11.0,25.0,26.0,35.0,5.0,27.0,46.0,42.0,7.0,7.0,23.0,4.0,3.0
6.0,Emilio Alberto Rodríguez Jiménez,316.0,15.0,5.0,35.0,54.0,45.0,54.0,1.0,18.0,47.0,8.0,11.0,8.0,1.0,7.0,4.0,3.0
7.0,Gamaliel Jimenez Oropeza,324.0,18.0,7.0,5.0,13.0,32.0,10.0,35.0,59.0,26.0,33.0,32.0,16.0,26.0,5.0,4.0,3.0
8.0,César Abraham Briones Arreola,363.0,14.0,13.0,20.0,25.0,26.0,31.0,35.0,59.0,15.0,41.0,15.0,14.0,34.0,14.0,4.0,3.0
9.0,Angel Armando Jaime Sánchez,409.0,1.0,32.0,2.0,2.0,2.0,4.0,35.0,59.0,12.0,17.0,9.0,99.0,36.0,92.0,4.0,3.0
10.0,Isaac Vergara Castillo,439.0,51.0,26.0,8.0,3.0,3.0,2.0,35.0,59.0,20.0,35.0,10.0,69.0,35.0,76.0,4.0,3.0
11.0,Juan de Dios Noriega Sánchez,452.0,6.0,38.0,1.0,17.0,7.0,16.0,35.0,59.0,32.0,59.0,22.0,34.0,65.0,54.0,4.0,3.0
12.0,Diego Brizuela Crespo,526.0,17.0,38.0,6.0,20.0,35.0,46.0,35.0,54.0,40.0,70.0,50.0,70.0,37.0,1.0,4.0,3.0
13.0,Eduardo Antonio Lara Martínez,637.0,30.0,104.0,29.0,52.0,28.0,25.0,35.0,59.0,17.0,37.0,82.0,96.0,4.0,32.0,4.0,3.0
14.0,Marcos Meibel Corral Murillo,649.0,7.0,11.0,19.0,42.0,47.0,63.0,35.0,20.0,6.0,188.0,54.0,38.0,50.0,62.0,4.0,3.0
15.0,Diego Isai Mijangos Flores,654.0,53.0,23.0,32.0,19.0,16.0,41.0,26.0,59.0,60.0,110.0,46.0,95.0,38.0,29.0,4.0,3.0
16.0,Jesús Jorge García López,666.0,75.0,61.0,75.0,66.0,43.0,73.0,35.0,59.0,76.0,6.0,17.0,5.0,10.0,58.0,4.0,3.0
17.0,Alejandro Daniel Salceda Corvera,691.0,2.0,4.0,14.0,14.0,13.0,27.0,35.0,59.0,1.0,16.0,85.0,65.0,79.0,270.0,4.0,3.0
18.0,Jorge Leonardo Sánchez Salazar,701.0,10.0,26.0,4.0,4.0,5.0,5.0,35.0,13.0,5.0,77.0,19.0,164.0,226.0,101.0,4.0,3.0
19.0,Esteban Elías González Méndez,702.0,37.0,44.0,17.0,21.0,21.0,32.0,35.0,9.0,29.0,92.0,31.0,60.0,148.0,119.0,4.0,3.0
20.0,Angel Arrioja Landa,714.0,67.0,68.0,21.0,47.0,39.0,58.0,18.0,46.0,79.0,27.0,71.0,87.0,61.0,18.0,4.0,3.0
21.0,Fabian Emiliano Escareño Gonzalez,733.0,45.0,95.0,11.0,7.0,10.0,14.0,35.0,59.0,85.0,119.0,39.0,71.0,42.0,94.0,4.0,3.0
22.0,Diego Trujeque,808.0,22.0,11.0,89.0,53.0,77.0,82.0,35.0,7.0,63.0,125.0,21.0,25.0,41.0,150.0,4.0,3.0
23.0,Joaquín Infante Medrano,905.0,19.0,51.0,15.0,16.0,23.0,47.0,35.0,59.0,7.0,84.0,1.0,214.0,202.0,125.0,4.0,3.0
24.0,Alfredo Vasquez Mendoza,928.0,69.0,52.0,53.0,89.0,57.0,84.0,35.0,59.0,46.0,2.0,130.0,76.0,73.0,96.0,4.0,3.0
25.0,Alonso Moreno,935.0,45.0,42.0,16.0,24.0,19.0,13.0,35.0,59.0,90.0,205.0,78.0,31.0,55.0,216.0,4.0,3.0
26.0,Jesús Fernando Castelán Gómez,939.0,87.0,43.0,104.0,168.0,146.0,153.0,35.0,50.0,42.0,5.0,51.0,3.0,29.0,16.0,4.0,3.0
27.0,Abraham Torres Ortíz Aguirre,952.0,71.0,79.0,63.0,99.0,86.0,89.0,35.0,59.0,66.0,93.0,68.0,4.0,45.0,88.0,4.0,3.0
28.0,Stephano Saucedo Reyes,959.0,107.0,69.0,58.0,43.0,40.0,53.0,35.0,59.0,83.0,87.0,56.0,55.0,107.0,100.0,4.0,3.0
29.0,Daniel Waldo,996.0,87.0,73.0,64.0,67.0,88.0,71.0,35.0,40.0,10.0,115.0,20.0,108.0,131.0,80.0,4.0,3.0
30.0,Fidel Urias Godínez,1032.0,35.0,93.0,50.0,26.0,18.0,24.0,35.0,59.0,32.0,205.0,76.0,117.0,188.0,67.0,4.0,3.0
31.0,Juan Bernardo Mora Alonso,1089.0,29.0,48.0,59.0,46.0,44.0,72.0,35.0,59.0,13.0,116.0,61.0,142.0,88.0,270.0,4.0,3.0
32.0,Dante Jesus Arevalo Leal,1112.0,64.0,85.0,39.0,18.0,20.0,17.0,35.0,59.0,68.0,45.0,24.0,248.0,181.0,202.0,4.0,3.0
33.0,Miguel Reyes,1124.0,21.0,89.0,12.0,8.0,14.0,22.0,35.0,12.0,109.0,56.0,63.0,471.0,127.0,78.0,4.0,3.0
34.0,Angel Torres Perez,1128.0,185.0,160.0,38.0,41.0,30.0,23.0,35.0,16.0,219.0,23.0,48.0,60.0,111.0,132.0,4.0,3.0
35.0,Abraham Ismael Hernandez Sabido,1131.0,62.0,54.0,87.0,32.0,17.0,12.0,35.0,59.0,135.0,205.0,137.0,18.0,106.0,165.0,4.0,3.0
36.0,Victor Rafael Ortiz Villaseñor,1138.0,91.0,49.0,92.0,83.0,94.0,90.0,35.0,59.0,119.0,194.0,6.0,83.0,71.0,65.0,4.0,3.0
37.0,Rodrigo Castañeda Lopez,1145.0,131.0,33.0,92.0,86.0,78.0,51.0,35.0,59.0,103.0,205.0,44.0,79.0,60.0,82.0,4.0,3.0
38.0,Alejandro Romero,1172.0,60.0,17.0,61.0,107.0,187.0,103.0,35.0,59.0,34.0,205.0,30.0,46.0,110.0,111.0,4.0,3.0
39.0,Axel Uriel Sánchez Zúñiga,1183.0,74.0,33.0,28.0,15.0,6.0,7.0,33.0,30.0,86.0,167.0,111.0,157.0,278.0,151.0,4.0,3.0
40.0,Rodrigo Noe Gonzalez Hidalgo,1193.0,133.0,60.0,31.0,65.0,11.0,30.0,35.0,45.0,45.0,64.0,389.0,128.0,51.0,99.0,4.0,3.0
41.0,Jorge Rafael Castañeda Sánchez,1201.0,92.0,276.0,56.0,27.0,37.0,29.0,35.0,59.0,151.0,47.0,18.0,102.0,178.0,87.0,4.0,3.0
42.0,Miguel Alejandro Blanco Ríos,1229.0,162.0,107.0,114.0,74.0,64.0,64.0,35.0,59.0,127.0,13.0,87.0,222.0,22.0,72.0,4.0,3.0
43.0,Isaac Adair Nava Ozorio,1234.0,96.0,158.0,52.0,50.0,62.0,28.0,35.0,18.0,62.0,81.0,108.0,127.0,205.0,145.0,4.0,3.0
44.0,Hazel Moises Ruiz Gutierrez,1253.0,190.0,132.0,71.0,96.0,127.0,139.0,34.0,59.0,208.0,26.0,26.0,99.0,33.0,6.0,4.0,3.0
45.0,Alejandro Bertin Ruiz Arriaga,1266.0,82.0,15.0,133.0,155.0,163.0,182.0,35.0,59.0,70.0,97.0,120.0,68.0,17.0,63.0,4.0,3.0
46.0,Carlos Joaquín Sánchez Oliva,1285.0,183.0,107.0,106.0,36.0,48.0,33.0,35.0,11.0,95.0,205.0,72.0,192.0,76.0,79.0,4.0,3.0
47.0,Christian Yael Rivera Rivera,1290.0,48.0,213.0,18.0,22.0,12.0,11.0,35.0,59.0,50.0,205.0,91.0,298.0,67.0,154.0,4.0,3.0
48.0,Angel Omar Pérez Cuate,1330.0,170.0,240.0,25.0,23.0,36.0,15.0,35.0,59.0,225.0,75.0,103.0,2.0,142.0,173.0,4.0,3.0
49.0,Luis Sinhue Medina Salas,1336.0,206.0,87.0,97.0,79.0,79.0,80.0,21.0,48.0,75.0,106.0,7.0,90.0,192.0,162.0,4.0,3.0
50.0,Saúl Emmanuel Ramírez González,1347.0,73.0,6.0,219.0,158.0,238.0,199.0,35.0,59.0,24.0,6.0,67.0,212.0,8.0,36.0,4.0,3.0
51.0,Luis Gerardo Martínez Hernández,1368.0,65.0,137.0,67.0,82.0,112.0,114.0,35.0,59.0,69.0,205.0,65.0,37.0,84.0,230.0,4.0,3.0
52.0,Eduardo Daniel Perez Miramontes,1393.0,122.0,113.0,57.0,30.0,15.0,20.0,35.0,59.0,115.0,205.0,64.0,230.0,51.0,270.0,4.0,3.0
53.0,Gabriel Alejandro Gómez Aguilar,1428.0,189.0,110.0,233.0,103.0,89.0,91.0,35.0,59.0,67.0,21.0,155.0,58.0,122.0,89.0,4.0,3.0
54.0,Xavier Escalante Bulbarela,1465.0,115.0,77.0,154.0,220.0,211.0,199.0,35.0,48.0,129.0,76.0,45.0,52.0,20.0,77.0,4.0,3.0
55.0,Víctor Adán Solis Martinez,1467.0,167.0,26.0,142.0,215.0,168.0,143.0,35.0,21.0,55.0,136.0,202.0,30.0,81.0,39.0,4.0,3.0
56.0,Benjamin Sanchez Magaña,1470.0,32.0,3.0,103.0,322.0,238.0,199.0,35.0,26.0,14.0,123.0,221.0,44.0,68.0,35.0,4.0,3.0
57.0,Fernando Matadamas Luévanos,1486.0,92.0,64.0,72.0,49.0,50.0,50.0,30.0,15.0,251.0,151.0,29.0,125.0,393.0,108.0,4.0,3.0
58.0,Jesús Julián De Niz Hernandez,1489.0,43.0,29.0,24.0,154.0,238.0,199.0,35.0,59.0,28.0,205.0,389.0,50.0,5.0,24.0,4.0,3.0
59.0,Claudio Ramón Castillo Salazar,1505.0,200.0,175.0,85.0,61.0,33.0,37.0,35.0,59.0,149.0,122.0,129.0,144.0,133.0,136.0,4.0,3.0
60.0,Rodrigo González Hernández,1551.0,90.0,38.0,33.0,51.0,59.0,59.0,35.0,59.0,74.0,205.0,172.0,39.0,360.0,270.0,4.0,3.0
61.0,David Angel Gonzalez Hidalgo,1588.0,111.0,182.0,158.0,35.0,29.0,6.0,35.0,59.0,192.0,101.0,263.0,40.0,302.0,68.0,4.0,3.0
62.0,Gerardo Emmanuel Gutierrez Galvez,1602.0,123.0,162.0,80.0,156.0,238.0,199.0,35.0,59.0,113.0,154.0,128.0,10.0,78.0,60.0,4.0,3.0
63.0,Arcadio Soriano Velázquez,1646.0,66.0,153.0,131.0,48.0,102.0,121.0,35.0,31.0,37.0,134.0,113.0,426.0,231.0,11.0,4.0,3.0
63.0,Álvaro Pérez Posas,1646.0,69.0,119.0,153.0,125.0,136.0,138.0,35.0,59.0,159.0,25.0,158.0,252.0,96.0,115.0,4.0,3.0
