Rank,name,Sum,333,222,444,555,666,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Ilie Nagrineac,25.0,2.0,1.0,3.0,5.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0
2.0,Alex Casian,29.0,5.0,2.0,1.0,2.0,1.0,2.0,6.0,2.0,2.0,3.0,1.0,2.0
3.0,Costea Livadari,33.0,1.0,5.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0
4.0,Ivan Coțiubinschii,98.0,21.0,7.0,12.0,9.0,4.0,2.0,24.0,3.0,4.0,5.0,4.0,3.0
5.0,Andrei Ciupac,103.0,11.0,6.0,18.0,9.0,4.0,2.0,5.0,3.0,4.0,16.0,21.0,4.0
6.0,Artin Alexandru,105.0,4.0,17.0,24.0,9.0,4.0,2.0,2.0,3.0,4.0,11.0,21.0,4.0
7.0,Nicolae Pojar,117.0,10.0,4.0,4.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,5.0,4.0
8.0,Vlad Ciobanu,123.0,3.0,3.0,5.0,6.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
9.0,Ionel Bălteanu,125.0,13.0,8.0,7.0,4.0,3.0,2.0,15.0,1.0,3.0,44.0,21.0,4.0
10.0,David Cararus,127.0,30.0,9.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,4.0,10.0,4.0
11.0,Alexandr Mitskul (Александр Мицкул),131.0,17.0,12.0,8.0,9.0,4.0,2.0,3.0,3.0,4.0,44.0,21.0,4.0
12.0,Valentin Leșan,136.0,14.0,19.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,8.0,21.0,4.0
13.0,Eugeniu Moscalenco,146.0,43.0,14.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,9.0,6.0,4.0
14.0,Alexandr Abramenco,147.0,16.0,18.0,10.0,8.0,4.0,2.0,13.0,3.0,4.0,44.0,21.0,4.0
15.0,Octavian Panuta,153.0,26.0,16.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,24.0,13.0,4.0
16.0,Denis Busuioc,156.0,28.0,23.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,10.0,21.0,4.0
17.0,Victor Sava,157.0,47.0,15.0,24.0,9.0,4.0,2.0,18.0,3.0,4.0,6.0,21.0,4.0
18.0,Ştefan Baeş,158.0,8.0,26.0,24.0,9.0,4.0,2.0,9.0,3.0,4.0,44.0,21.0,4.0
19.0,Adrian Iamandii,161.0,12.0,10.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
20.0,Nicu Guranda,169.0,20.0,25.0,9.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
21.0,Cătălin Corolevschi,170.0,15.0,30.0,24.0,9.0,4.0,2.0,10.0,3.0,4.0,44.0,21.0,4.0
21.0,Dmitrii Shulga (Дмитрий Шульга),170.0,31.0,13.0,14.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,18.0,4.0
23.0,Eugen Donescu,174.0,44.0,32.0,20.0,9.0,4.0,2.0,24.0,3.0,4.0,7.0,21.0,4.0
23.0,Alexandru Munteanu,174.0,38.0,21.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,27.0,14.0,4.0
25.0,Alexandru Jerebtov,179.0,34.0,38.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,12.0,21.0,4.0
26.0,Mihai Vrabi,180.0,18.0,23.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
26.0,Alexander Jalba,180.0,45.0,10.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,7.0,4.0
28.0,Țurcan Liviu,190.0,42.0,40.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,26.0,8.0,4.0
29.0,Vladislav Manolov,193.0,36.0,31.0,24.0,9.0,4.0,2.0,17.0,3.0,4.0,38.0,21.0,4.0
30.0,Andrei Andrieș,194.0,23.0,43.0,16.0,9.0,4.0,2.0,21.0,3.0,4.0,44.0,21.0,4.0
31.0,Andrei Vulpe,197.0,25.0,33.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
32.0,Nicolai Posmac (Николай Посмак),202.0,27.0,36.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
33.0,Nichita Cobasnean,204.0,52.0,44.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,13.0,21.0,4.0
34.0,Liviu Munteanu,205.0,32.0,39.0,19.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
35.0,Spartak Timoscov,206.0,51.0,49.0,15.0,7.0,4.0,2.0,24.0,3.0,4.0,22.0,21.0,4.0
35.0,Adrian Saca,206.0,46.0,21.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
37.0,Artyom Roșcov,207.0,40.0,28.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
38.0,Liviu-Mihai Oncioiu,210.0,7.0,88.0,6.0,3.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
38.0,Denis Bragarenco,210.0,70.0,27.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,18.0,21.0,4.0
40.0,Maxim Ghervas,212.0,59.0,45.0,17.0,9.0,4.0,2.0,24.0,3.0,4.0,20.0,21.0,4.0
41.0,Eni Bogdan,213.0,39.0,35.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,44.0,21.0,4.0
42.0,Daniil Ocolitii,216.0,67.0,37.0,24.0,9.0,4.0,2.0,24.0,3.0,4.0,17.0,21.0,4.0
43.0,Marcel Rotaru,219.0,41.0,50.0,21.0,9.0,4.0,2.0,16.0,3.0,4.0,44.0,21.0,4.0
43.0,Gennady Iliin,219.0,9.0,88.0,24.0,9.0,4.0,2.0,7.0,3.0,4.0,44.0,21.0,4.0
45.0,Roma Canja,222.0,49.0,46.0,23.0,9.0,4.0,2.0,24.0,3.0,4.0,33.0,21.0,4.0
45.0,Pavel Caraus,222.0,55.0,34.0,22.0,9.0,4.0,2.0,20.0,3.0,4.0,44.0,21.0,4.0
