Rank,name,Sum,333,222,444,555,666,777,333bf,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Myagmardorj Ulziijargal (Өлзийжаргал Мягмардорж),71.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,18.0,4.0,12.0,15.0,7.0
2.0,Namuun Natsagdorj,108.0,8.0,7.0,11.0,16.0,9.0,5.0,3.0,6.0,11.0,1.0,7.0,13.0,7.0,4.0
3.0,Munkhdelger Shinekhuu,132.0,2.0,4.0,2.0,5.0,16.0,10.0,3.0,6.0,2.0,27.0,14.0,22.0,16.0,3.0
4.0,Orgil Otgonbayar (Отгонбаяр Оргил),140.0,3.0,2.0,8.0,3.0,3.0,6.0,3.0,6.0,16.0,10.0,12.0,9.0,42.0,17.0
5.0,Bat-Erdene Sambuudolgor (Самбуудолгор Бат-Эрдэнэ),143.0,13.0,19.0,18.0,4.0,4.0,3.0,3.0,6.0,8.0,12.0,3.0,15.0,18.0,17.0
6.0,Amarsanaa Enkhbaatar,146.0,11.0,8.0,12.0,9.0,11.0,7.0,3.0,6.0,10.0,27.0,25.0,1.0,8.0,8.0
7.0,Erdenebayar Otgonjargal,152.0,23.0,9.0,6.0,8.0,7.0,8.0,3.0,6.0,7.0,27.0,6.0,3.0,22.0,17.0
8.0,Esukhei Bat-Erdene (Бат-Эрдэнэ Есүхэй),157.0,6.0,22.0,3.0,6.0,5.0,10.0,3.0,6.0,6.0,27.0,5.0,18.0,23.0,17.0
9.0,Zayabaatar Batbayr,163.0,4.0,14.0,9.0,15.0,16.0,10.0,3.0,2.0,3.0,27.0,17.0,24.0,2.0,17.0
9.0,Ariunbold Bayanmunkh (Баянмөнх Ариунболд),163.0,26.0,6.0,10.0,11.0,8.0,9.0,3.0,6.0,14.0,14.0,9.0,26.0,19.0,2.0
11.0,Khuslen Gan-Ochir,196.0,7.0,18.0,13.0,39.0,16.0,10.0,3.0,6.0,24.0,2.0,2.0,51.0,4.0,1.0
12.0,Sumiyabazar Munkhzaya (Мөнхзаяа Сумъяабазар),200.0,19.0,16.0,4.0,20.0,16.0,10.0,3.0,6.0,5.0,27.0,18.0,18.0,21.0,17.0
13.0,Munkhchuluun Buyanduuren,213.0,18.0,4.0,24.0,39.0,16.0,10.0,3.0,6.0,18.0,6.0,26.0,16.0,10.0,17.0
14.0,Uuganbayar Bayalagnasan,224.0,28.0,31.0,14.0,27.0,15.0,10.0,3.0,6.0,30.0,5.0,19.0,29.0,1.0,6.0
