Rank,name,Sum,333,222,444,555,666,777,333fm,333oh,clock,minx,pyram,skewb,sq1
1.0,Salon Ngakhushi,61.0,4.0,6.0,1.0,2.0,7.0,4.0,2.0,1.0,2.0,2.0,26.0,3.0,1.0
2.0,Anup Adhikari,81.0,13.0,2.0,2.0,6.0,3.0,1.0,6.0,27.0,5.0,8.0,2.0,2.0,4.0
3.0,Surav Krishna Shrestha,84.0,2.0,1.0,8.0,5.0,7.0,4.0,3.0,9.0,9.0,10.0,6.0,12.0,8.0
4.0,Raman Shakya,101.0,10.0,18.0,3.0,1.0,1.0,2.0,8.0,4.0,9.0,3.0,5.0,16.0,21.0
5.0,Ankit Sanjel,110.0,9.0,15.0,14.0,9.0,7.0,4.0,4.0,6.0,4.0,1.0,1.0,21.0,15.0
6.0,Binaya Dhakal,154.0,18.0,13.0,4.0,14.0,7.0,4.0,8.0,24.0,9.0,18.0,18.0,6.0,11.0
7.0,Saiman Adhikari,170.0,15.0,23.0,13.0,4.0,7.0,4.0,8.0,8.0,9.0,18.0,15.0,27.0,19.0
8.0,Risab Subedi,179.0,16.0,18.0,17.0,12.0,7.0,4.0,8.0,10.0,9.0,15.0,32.0,10.0,21.0
9.0,Aarbid Bhattarai,188.0,1.0,7.0,7.0,21.0,7.0,4.0,8.0,3.0,9.0,18.0,12.0,70.0,21.0
10.0,Samir Bikram Dhami,194.0,20.0,3.0,18.0,20.0,6.0,4.0,8.0,64.0,9.0,9.0,13.0,14.0,6.0
11.0,Bihan Thapa Magar,202.0,26.0,21.0,29.0,19.0,7.0,4.0,8.0,43.0,9.0,4.0,8.0,8.0,16.0
11.0,Abhash Rajbhandari,202.0,23.0,22.0,15.0,21.0,7.0,4.0,8.0,20.0,9.0,18.0,33.0,1.0,21.0
13.0,Rajin Shrestha,209.0,14.0,29.0,9.0,17.0,7.0,4.0,8.0,12.0,9.0,18.0,39.0,22.0,21.0
13.0,Manjil Karmacharya,209.0,11.0,8.0,19.0,8.0,4.0,4.0,8.0,23.0,9.0,17.0,7.0,70.0,21.0
15.0,Sakar Gurubacharya,231.0,22.0,16.0,21.0,21.0,7.0,4.0,8.0,39.0,9.0,11.0,34.0,18.0,21.0
16.0,Hardic Sharma,237.0,37.0,14.0,33.0,21.0,7.0,4.0,8.0,41.0,9.0,18.0,9.0,15.0,21.0
17.0,Serene Aryal,241.0,3.0,4.0,5.0,21.0,7.0,4.0,8.0,16.0,9.0,18.0,55.0,70.0,21.0
18.0,Aayas Dhoj Joshi,243.0,29.0,12.0,20.0,21.0,7.0,4.0,8.0,11.0,9.0,18.0,66.0,20.0,18.0
19.0,Bimal Mahara,246.0,43.0,31.0,24.0,18.0,7.0,4.0,8.0,34.0,9.0,5.0,11.0,31.0,21.0
20.0,Rojan Raj Rajbhandari,247.0,21.0,9.0,62.0,21.0,7.0,4.0,8.0,17.0,9.0,18.0,10.0,40.0,21.0
21.0,Shakar De Panta,248.0,32.0,28.0,22.0,13.0,5.0,4.0,8.0,25.0,9.0,18.0,37.0,26.0,21.0
22.0,Krischal Dhungel,249.0,6.0,17.0,10.0,7.0,7.0,4.0,8.0,2.0,9.0,18.0,135.0,5.0,21.0
23.0,Pratyush Ale Magar,251.0,8.0,5.0,16.0,11.0,7.0,4.0,8.0,18.0,9.0,18.0,56.0,70.0,21.0
24.0,Aabhushan Khanal,253.0,5.0,18.0,62.0,21.0,7.0,4.0,8.0,7.0,9.0,18.0,3.0,70.0,21.0
25.0,Aniket Kanth,276.0,42.0,35.0,27.0,21.0,7.0,4.0,8.0,35.0,9.0,18.0,29.0,38.0,3.0
26.0,Shreedhar Pandey,287.0,57.0,36.0,38.0,21.0,7.0,4.0,8.0,32.0,9.0,14.0,4.0,36.0,21.0
27.0,Ajar Shrestha,289.0,7.0,11.0,40.0,21.0,7.0,4.0,8.0,13.0,9.0,18.0,135.0,7.0,9.0
28.0,Avishek Prajapati,292.0,12.0,10.0,6.0,3.0,2.0,3.0,1.0,14.0,9.0,6.0,135.0,70.0,21.0
29.0,Bishnu Aryal,294.0,24.0,44.0,28.0,21.0,7.0,4.0,8.0,40.0,9.0,18.0,25.0,45.0,21.0
30.0,Bibhushan Saakha,295.0,46.0,24.0,41.0,21.0,7.0,4.0,8.0,21.0,9.0,18.0,53.0,22.0,21.0
31.0,Suraj Pheudin,308.0,34.0,29.0,30.0,21.0,7.0,4.0,5.0,30.0,9.0,18.0,94.0,17.0,10.0
32.0,Adrim Thapa Magar,321.0,58.0,42.0,62.0,21.0,7.0,4.0,7.0,52.0,9.0,18.0,16.0,4.0,21.0
33.0,Abi Shrestha,337.0,27.0,38.0,34.0,21.0,7.0,4.0,8.0,38.0,9.0,18.0,42.0,70.0,21.0
34.0,Bishal Shrestha,348.0,40.0,55.0,25.0,21.0,7.0,4.0,8.0,71.0,9.0,18.0,48.0,28.0,14.0
35.0,Anjal Timsina,356.0,25.0,27.0,12.0,10.0,7.0,4.0,8.0,21.0,9.0,7.0,135.0,70.0,21.0
